Teen perspectives on positive effects of social media in the U.S. 2018,,
Leading reasons why teenagers in the United States feel that social media has a mostly positive effect on people their own age as of April 2018,,
,,
Connecting with friends/family,40,in %
Easier to find news/info,16,in %
Meeting others with the same interests,15,in %
Keeps you entertained/upbeat,9,in %
Self-expression,7,in %
Getting support from others,5,in %
Learning new things,4,in %
Other,6,in %
