Preferred U.S. teen digital communication methods 2015,,
Most popular types of digital communication methods among teenagers in the United States as of March 2015,,
,,
Instant messaging,79,in %
Social media,72,in %
E-mail,64,in %
Video chat,59,in %
Video games,52,in %
Messaging apps,42,in %
