School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2017-18 Learning Network,2018-19 Learning Network,Notes,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,K-2 Rdg Score,K-2 Rdg Denom,K-2 Rdg Pts Earn,K-2 Rdg Pts Poss,K-2 Rdg Pct Earn,K-2 Rdg Tier,PSSA ELA Prof/Adv Score,PSSA ELA Prof/Adv Denom,PSSA ELA Prof/Adv Pts Earn,PSSA ELA Prof/Adv Pts Poss,PSSA ELA Prof/Adv Pct Earn,PSSA ELA Prof/Adv Tier,PSSA GR3 ELA Prof/Adv Score,PSSA GR3 ELA Prof/Adv Denom,PSSA GR4 ELA Prof/Adv Score,PSSA GR4 ELA Prof/Adv Denom,PSSA GR5 ELA Prof/Adv Score,PSSA GR5 ELA Prof/Adv Denom,PSSA GR6 ELA Prof/Adv Score,PSSA GR6 ELA Prof/Adv Denom,PSSA GR7 ELA Prof/Adv Score,PSSA GR7 ELA Prof/Adv Denom,PSSA GR8 ELA Prof/Adv Score,PSSA GR8 ELA Prof/Adv Denom,PSSA ELA Adv Score,PSSA ELA Adv Denom,PSSA ELA Adv Pts Earn,PSSA ELA Adv Pts Poss,PSSA ELA Adv Pct Earn,PSSA ELA Adv Tier,PSSA Math Prof/Adv Score,PSSA Math Prof/Adv Denom,PSSA Math Prof/Adv Pts Earn,PSSA Math Prof/Adv Pts Poss,PSSA Math Prof/Adv Pct Earn,PSSA Math Prof/Adv Tier,PSSA GR3 Math Prof/Adv Score,PSSA GR3 Math Prof/Adv Denom,PSSA GR4 Math Prof/Adv Score,PSSA GR4 Math Prof/Adv Denom,PSSA GR5 Math Prof/Adv Score,PSSA GR5 Math Prof/Adv Denom,PSSA GR6 Math Prof/Adv Score,PSSA GR6 Math Prof/Adv Denom,PSSA GR7 Math Prof/Adv Score,PSSA GR7 Math Prof/Adv Denom,PSSA GR8 Math Prof/Adv Score,PSSA GR8 Math Prof/Adv Denom,PSSA Math Adv Score,PSSA Math Adv Denom,PSSA Math Adv Pts Earn,PSSA Math Adv Pts Poss,PSSA Math Adv Pct Earn,PSSA Math Adv Tier,PSSA Sci Prof/Adv Score,PSSA Sci Prof/Adv Denom,PSSA Sci Prof/Adv Pts Earn,PSSA Sci Prof/Adv Pts Poss,PSSA Sci Prof/Adv Pct Earn,PSSA Sci Prof/Adv Tier,PSSA GR4 Sci Prof/Adv Score,PSSA GR4 Sci Prof/Adv Denom,PSSA GR8 Sci Prof/Adv Score,PSSA GR8 Sci Prof/Adv Denom,PSSA Sci Adv Score,PSSA Sci Adv Denom,PSSA Sci Adv Pts Earn,PSSA Sci Adv Pts Poss,PSSA Sci Adv Pct Earn,PSSA Sci Adv Tier,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,PSSA Math AGI Score,PSSA Math AGI Pts Earn,PSSA Math AGI Pts Poss,PSSA Math AGI Pct Earn,PSSA Math AGI Tier,PSSA ELA AGI Score,PSSA ELA AGI Pts Earn,PSSA ELA AGI Pts Poss,PSSA ELA AGI Pct Earn,PSSA ELA AGI Tier,PSSA GR4 Sci AGI Score,PSSA GR4 Sci AGI Pts Earn,PSSA GR4 Sci AGI Pts Poss,PSSA GR4 Sci AGI Pct Earn,PSSA GR4 Sci AGI Tier,PSSA GR8 Sci AGI Score,PSSA GR8 Sci AGI Pts Earn,PSSA GR8 Sci AGI Pts Poss,PSSA GR8 Sci AGI Pct Earn,PSSA GR8 Sci AGI Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,PSSA Math AGI (L33P) Score,PSSA Math AGI (L33P) Pts Earn,PSSA Math AGI (L33P) Pts Poss,PSSA Math AGI (L33P) Pct Earn,PSSA Math AGI (L33P) Tier,PSSA ELA AGI (L33P) Score,PSSA ELA AGI (L33P) Pts Earn,PSSA ELA AGI (L33P) Pts Poss,PSSA ELA AGI (L33P) Pct Earn,PSSA ELA AGI (L33P) Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
John M. Patterson School,140,1400,ES,Elementary School,7000 Buist Ave.,Philadelphia,PA,19142,215-400-8190,215-400-8191,District,N/A,582,philasd.org/patterson,'K-4',Neighborhood,ES-1,Network 1,Network 10,,29,28.58,97,WATCH,10th out of 17,41st out of 56,13,3.85,30,INTERVENE,4th out of 17,35th out of 56,19,7,37,INTERVENE,15th out of 17,48th out of 56,59,17.73,30,REINFORCE,3rd out of 18,26th out of 58,.,.,.,.,,,40,348,1.12,3,37,WATCH,30,194,1.17,9,13,INTERVENE,36,90,26,104,.,.,.,.,.,.,.,.,4,194,0.33,2,16,INTERVENE,12,201,0,9,0,INTERVENE,19,94,7,107,.,.,.,.,.,.,.,.,1,201,0.08,2,4,INTERVENE,36,106,0.59,3,20,INTERVENE,36,106,.,.,5,106,0.09,0.5,19,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,62,0.46,1.5,31,WATCH,-2.63,0,12,0,INTERVENE,0.37,5.48,12,46,WATCH,-3.68,0,5,0,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-2.48,0,4,0,INTERVENE,0.14,1.52,4,38,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,50,671,7.91,12,66,REINFORCE,27,671,10,671,6,671,7,671,79,545,2.97,10,30,WATCH,100,671,0.93,1,93,MODEL,100,671,3.88,4,97,MODEL,59,0.59,1,59,REINFORCE,83,0.83,1,83,MODEL,35,0.63,1,63,REINFORCE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,49,66
Furness High School,216,2160,HS,High School,1900 S. 3rd St.,Philadelphia,PA,19148,215-400-8300,215-400-8301,District,N/A,669,philasd.org/furness,'9-12',Neighborhood,HS-6,Network 3,Network 13,,26,25.79,98,WATCH,9th out of 10,53rd out of 83,3,0.79,30,INTERVENE,10th out of 10,54th out of 77,30,11.24,38,WATCH,8th out of 10,44th out of 83,61,12.24,20,REINFORCE,6th out of 10,43rd out of 83,15,1.52,10,INTERVENE,10th out of 10,62nd out of 81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,313,0,8,0,INTERVENE,10,144,3,313,0.15,1.5,10,INTERVENE,19,193,0,8,0,INTERVENE,5,193,0.28,1.5,19,INTERVENE,16,183,0,8,0,INTERVENE,0,183,0,1.5,0,INTERVENE,7,339,0.36,1.5,24,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-3.1,0,6.5,0,INTERVENE,-0.06,2.04,6.5,31,WATCH,-4.5,0,6.5,0,INTERVENE,92,357,5.91,8,74,REINFORCE,56,41,1.93,6,32,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.27,0.64,1.5,42,WATCH,0.45,0.73,1.5,48,WATCH,-3.1,0,1.5,0,INTERVENE,38,766,2.94,8,37,WATCH,22,766,11,766,5,766,23,766,86,626,6,6,100,MODEL,100,766,0.49,0.5,97,MODEL,87,766,1.39,2.5,56,REINFORCE,51,0.51,1,51,REINFORCE,74,0.74,1,74,REINFORCE,17,0.18,1,18,INTERVENE,76,162,0.17,4.5,4,INTERVENE,45,149,0.54,1.5,36,WATCH,8,147,0,1,0,INTERVENE,22,147,70,147,6,147,0,1,0,INTERVENE,82,147,12,147,50,147,0.51,1,51,REINFORCE,31,0.31,1,31,WATCH,.,.,72,48
D. Newlin Fell School,219,2190,K8,K8 School,900 W. Oregon Ave.,Philadelphia,PA,19148,215-400-8260,215-400-8261,District,N/A,574,philasd.org/fell,'K-8',Neighborhood,K8-8,Network 1,Network 10,,65,63.11,97,REINFORCE,2nd out of 6,18th out of 147,44,13.28,30,WATCH,1st out of 6,18th out of 147,83,30.54,37,MODEL,4th out of 6,35th out of 146,64,19.29,30,REINFORCE,6th out of 6,50th out of 147,.,.,.,.,,,46,148,1.26,3,42,WATCH,51,374,3.53,9,39,WATCH,60,43,41,59,52,75,53,70,54,65,50,62,15,374,1.22,2,61,REINFORCE,44,374,2.65,9,29,WATCH,50,44,29,58,51,75,40,70,51,65,40,62,19,374,1.5,2,75,MODEL,55,120,1.31,3,44,WATCH,64,58,47,62,16,120,0.32,0.5,63,REINFORCE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,147,1.5,1.5,100,MODEL,2.95,12,12,100,MODEL,2.79,12,12,100,MODEL,-1.79,0,2.5,0,INTERVENE,0.37,1.14,2.5,46,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.9,3.87,4,97,MODEL,0.15,1.53,4,38,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,59,625,7.74,12,65,REINFORCE,21,625,8,625,4,625,7,625,86,543,5.41,10,54,REINFORCE,100,625,1,1,100,MODEL,97,625,3.42,4,86,MODEL,55,0.55,1,55,REINFORCE,83,0.83,1,83,MODEL,24,0.34,1,34,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,59
F. Amedee Bregy School,224,2240,K8,K8 School,1700 Bigler St.,Philadelphia,PA,19145,215-400-8210,215-400-8211,District,N/A,340,philasd.org/bregy,'K-8',Neighborhood,K8-3,Network 1,Network 12,,32,30.51,95.5,WATCH,19th out of 21,105th out of 147,11,3.21,28.5,INTERVENE,17th out of 21,94th out of 147,42,15.57,37,WATCH,17th out of 21,100th out of 146,39,11.73,30,WATCH,19th out of 21,98th out of 147,.,.,.,.,,,50,86,1.5,3,50,REINFORCE,25,201,0.6,9,7,INTERVENE,Insufficient Sample,Insufficient Sample,24,34,23,47,31,35,28,39,Insufficient Sample,Insufficient Sample,3,201,0.28,2,14,INTERVENE,17,201,0,9,0,INTERVENE,Insufficient Sample,Insufficient Sample,24,34,11,47,24,34,15,39,Insufficient Sample,Insufficient Sample,4,201,0.32,2,16,INTERVENE,30,57,0.37,3,12,INTERVENE,47,34,Insufficient Sample,Insufficient Sample,7,57,0.14,0.5,28,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,1.68,10.72,12,89,MODEL,-1.34,0,12,0,INTERVENE,0.86,1.55,2.5,62,REINFORCE,0.1,0.92,2.5,37,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1.24,0,4,0,INTERVENE,0.79,2.39,4,60,REINFORCE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,385,2.25,12,19,INTERVENE,34,385,12,385,6,385,10,385,86,327,5.32,10,53,REINFORCE,100,385,1,1,100,MODEL,93,385,2.6,4,65,REINFORCE,56,0.56,1,56,REINFORCE,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,61
Francis S. Key School,254,2540,ES,Elementary School,2230 S. 8th St.,Philadelphia,PA,19148,215-400-8250,215-400-8251,District,N/A,468,philasd.org/key,'K-6',Neighborhood,ES-3,Network 1,Network 12,,61,59.23,97,REINFORCE,4th out of 13,10th out of 56,11,3.22,30,INTERVENE,13th out of 13,36th out of 56,75,27.57,37,MODEL,5th out of 13,11th out of 56,95,28.44,30,MODEL,1st out of 13,3rd out of 58,.,.,.,.,,,33,198,0.62,3,21,INTERVENE,32,240,1.31,9,15,INTERVENE,21,61,28,64,25,63,56,52,.,.,.,.,3,240,0.27,2,13,INTERVENE,16,242,0,9,0,INTERVENE,15,62,9,65,19,63,21,52,.,.,.,.,2,242,0.2,2,10,INTERVENE,34,65,0.52,3,17,INTERVENE,34,65,.,.,3,65,0.06,0.5,12,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,259,0.23,1.5,16,INTERVENE,1.16,8.64,12,72,REINFORCE,2.04,12,12,100,MODEL,-3.45,0,5,0,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.2,2.93,4,73,REINFORCE,2.39,4,4,100,MODEL,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,506,12,12,100,MODEL,22,506,10,506,4,506,3,506,91,445,10,10,100,MODEL,100,506,1,1,100,MODEL,98,506,3.37,4,84,MODEL,53,0.53,1,53,REINFORCE,83,0.83,1,83,MODEL,39,0.71,1,71,REINFORCE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,59
George W. Sharswood School,263,2630,K8,K8 School,2300 S. 2nd St.,Philadelphia,PA,19148,215-400-8270,215-400-8271,District,N/A,549,philasd.org/sharswood,'K-8',Neighborhood,K8-7,Network 3,Network 10,,61,58.81,97,REINFORCE,8th out of 13,27th out of 147,24,7.35,30,INTERVENE,13th out of 13,46th out of 147,96,35.59,37,MODEL,1st out of 13,2nd out of 146,53,15.88,30,REINFORCE,12th out of 13,72nd out of 147,.,.,.,.,,,42,177,1.04,3,35,WATCH,44,318,2.67,9,30,WATCH,47,58,39,41,35,55,57,58,41,59,43,47,8,318,0.68,2,34,WATCH,27,318,0.79,9,9,INTERVENE,40,58,22,41,22,55,31,58,25,59,19,47,7,318,0.53,2,26,WATCH,44,87,0.89,3,30,WATCH,54,41,35,46,8,87,0.16,0.5,32,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,56,0.59,1.5,39,WATCH,4.84,12,12,100,MODEL,2.66,12,12,100,MODEL,0.97,1.64,2.5,66,REINFORCE,1.34,1.95,2.5,78,MODEL,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.16,4,4,100,MODEL,2.11,4,4,100,MODEL,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,586,3.65,12,30,WATCH,29,586,13,586,5,586,8,586,88,512,6.25,10,63,REINFORCE,100,586,1,1,100,MODEL,98,586,3.52,4,88,MODEL,62,0.62,1,62,REINFORCE,83,0.83,1,83,MODEL,10,0,1,0,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,62
The Science Leadership Academy at Beeber,268,2680,HS,High School,5925 Malvern Ave.,Philadelphia,PA,19131,215-400-7270,215-400-7271,District,N/A,484,philasd.org/slabeeber,'9-12',Special Admit,HS-4,Innovation,Innovation,,55,50.06,90.5,REINFORCE,4th out of 9,16th out of 83,33,9.27,28.5,WATCH,5th out of 9,15th out of 77,54,17.19,32,REINFORCE,5th out of 9,27th out of 83,85,16.92,20,MODEL,5th out of 9,13th out of 83,67,6.68,10,REINFORCE,7th out of 9,15th out of 81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,172,1.55,8,19,INTERVENE,43,114,6,172,0.35,1.5,23,INTERVENE,45,109,2.5,8,31,WATCH,6,109,0.39,1.5,26,WATCH,64,146,4.37,8,55,REINFORCE,2,146,0.12,1.5,8,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.38,1.34,6.5,21,INTERVENE,-2.69,0,6.5,0,INTERVENE,2.65,6.5,6.5,100,MODEL,99,320,7.75,8,97,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.72,0.14,1.5,9,INTERVENE,-1.02,0,1.5,0,INTERVENE,1.92,1.46,1.5,97,MODEL,76,498,8,8,100,MODEL,18,498,4,498,1,498,1,498,96,475,6,6,100,MODEL,100,498,0.49,0.5,98,MODEL,99,498,2.43,2.5,97,MODEL,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,96,128,3.8,4.5,84,MODEL,84,123,1.5,1.5,100,MODEL,0,123,0,1,0,INTERVENE,11,123,89,123,25,123,0.38,1,38,WATCH,73,123,2,123,83,123,1,1,100,MODEL,0,0,1,0,INTERVENE,.,.,79,0
John H. Taggart School,269,2690,K8,K8 School,400 W. Porter St.,Philadelphia,PA,19148,215-400-8290,215-400-8291,District,N/A,447,philasd.org/taggart,'K-8',Neighborhood,K8-8,Network 3,Network 12,,60,58.05,97,REINFORCE,5th out of 6,31st out of 147,16,4.73,30,INTERVENE,5th out of 6,74th out of 147,87,32.18,37,MODEL,3rd out of 6,17th out of 146,70,21.15,30,REINFORCE,4th out of 6,36th out of 147,.,.,.,.,,,55,165,1.81,3,60,REINFORCE,30,251,1.16,9,13,INTERVENE,31,48,27,44,18,33,32,50,19,37,51,39,6,251,0.48,2,24,INTERVENE,15,251,0,9,0,INTERVENE,22,49,16,44,21,33,14,50,3,37,13,38,4,251,0.32,2,16,INTERVENE,36,84,0.59,3,20,INTERVENE,44,45,26,39,8,84,0.17,0.5,33,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,156,0.21,1.5,14,INTERVENE,2.37,12,12,100,MODEL,2.41,12,12,100,MODEL,-1.36,0,2.5,0,INTERVENE,0.59,1.33,2.5,53,REINFORCE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.14,2.85,4,71,REINFORCE,2.17,4,4,100,MODEL,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,487,8.32,12,69,REINFORCE,25,487,9,487,2,487,2,487,91,410,7.87,10,79,MODEL,100,487,1,1,100,MODEL,97,487,3.43,4,86,MODEL,54,0.54,1,54,REINFORCE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,62
Overbrook High School,402,4020,HS,High School,5898 Lancaster Ave.,Philadelphia,PA,19131,215-400-7300,215-400-7301,District,N/A,568,philasd.org/overbrookhs,'9-12',Neighborhood,HS-1,Network 2,Network 13,,7,6.92,96.5,INTERVENE,22nd out of 23,82nd out of 83,0,0.09,28.5,INTERVENE,11th out of 19,62nd out of 77,14,5.43,38,INTERVENE,15th out of 23,72nd out of 83,3,0.7,20,INTERVENE,23rd out of 23,83rd out of 83,7,0.69,10,INTERVENE,14th out of 22,73rd out of 81,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,160,0,8,0,INTERVENE,1,76,0,160,0,1.5,0,INTERVENE,1,81,0,8,0,INTERVENE,0,81,0,1.5,0,INTERVENE,21,43,0.09,8,1,INTERVENE,0,43,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-4.25,0,6.5,0,INTERVENE,-3.18,0,6.5,0,INTERVENE,-2.41,0,6.5,0,INTERVENE,79,213,2.49,8,31,WATCH,55,104,1.78,6,30,WATCH,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.19,0.6,1.5,40,WATCH,0.14,0.57,1.5,38,WATCH,-1.77,0,1.5,0,INTERVENE,16,742,0,8,0,INTERVENE,13,742,13,742,10,742,48,742,64,520,0,6,0,INTERVENE,99,742,0.47,0.5,93,MODEL,73,742,0.23,2.5,9,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,2,0,1,0,INTERVENE,50,151,0,4.5,0,INTERVENE,33,84,0.23,1.5,15,INTERVENE,0,87,0,1,0,INTERVENE,1,87,99,87,0,87,0,1,0,INTERVENE,74,87,26,87,48,87,0.47,1,47,WATCH,0,0,1,0,INTERVENE,.,.,43,0
