building_id,lat,lng,geometry
772176000.0,39.9820256530612,-75.1708924897959,POINT (-75.1708924897959 39.9820256530612)
786461400.0,40.029457,-75.06273,POINT (-75.06273 40.029457)
776615005.0,40.0057578571429,-75.1568262857143,POINT (-75.1568262857143 40.0057578571429)
786309400.0,40.088645,-75.028671,POINT (-75.028671 40.088645)
884177600.0,40.013114,-75.066731,POINT (-75.066731 40.013114)
784472600.0,40.0652263440911,-75.1598293389116,POINT (-75.15982933891161 40.0652263440911)
776545000.0,40.0049833996821,-75.1670681306366,POINT (-75.16706813063659 40.0049833996821)
882497505.0,40.1428859,-75.3143469,POINT (-75.3143469 40.1428859)
775069000.0,40.0086624,-75.1695669,POINT (-75.16956690000001 40.0086624)
777557000.0,40.0043707346939,-75.150313244898,POINT (-75.150313244898 40.0043707346939)
884110000.0,40.008717,-75.147779,POINT (-75.147779 40.008717)
781458200.0,39.924212,-75.150252,POINT (-75.15025199999999 39.924212)
783394400.0,39.967337,-75.218817,POINT (-75.218817 39.967337)
884282500.0,40.0876345,-74.9902211,POINT (-74.9902211 40.0876345)
785056600.0,40.0389748055556,-75.1459600833333,POINT (-75.14596008333331 40.0389748055556)
883041500.0,39.9496467,-75.1673495,POINT (-75.1673495 39.9496467)
883045400.0,39.9487706,-75.1673943006832,POINT (-75.1673943006832 39.9487706)
773628000.0,39.916457,-75.179767,POINT (-75.179767 39.916457)
785405400.0,40.007411,-75.137982,POINT (-75.13798199999999 40.007411)
884260000.0,40.04446,-75.008639,POINT (-75.008639 40.04446)
786010800.0,39.997372,-75.121183,POINT (-75.121183 39.997372)
784190100.0,40.0487233,-75.2230685773692,POINT (-75.2230685773692 40.0487233)
883088901.0,40.080727,-75.028266,POINT (-75.028266 40.080727)
786249200.0,40.0842007821351,-74.9738971176471,POINT (-74.9738971176471 40.0842007821351)
881147275.0,39.98343045,-75.1500824494666,POINT (-75.15008244946659 39.98343045)
773717100.0,39.9530660204082,-75.1852494489796,POINT (-75.1852494489796 39.9530660204082)
778253500.0,40.1296594,-75.0174485629959,POINT (-75.0174485629959 40.1296594)
884233810.0,40.1122371773492,-74.9992268846859,POINT (-74.9992268846859 40.1122371773492)
785099400.0,40.0475195306122,-75.1601147346939,POINT (-75.16011473469391 40.0475195306122)
786456000.0,39.98527225,-75.0972305,POINT (-75.09723049999999 39.98527225)
784378900.0,40.0224331262596,-75.2074077252452,POINT (-75.2074077252452 40.0224331262596)
883010900.0,39.948852,-75.1553920698701,POINT (-75.1553920698701 39.948852)
883065200.0,39.95785865,-75.1663728594669,POINT (-75.1663728594669 39.95785865)
781609000.0,39.9263211428571,-75.1605288095238,POINT (-75.1605288095238 39.9263211428571)
883073700.0,39.9582793513514,-75.2052218648649,POINT (-75.2052218648649 39.9582793513514)
783130800.0,39.9214696666667,-75.23401775,POINT (-75.23401775000001 39.9214696666667)
884121701.0,40.054488,-75.096493,POINT (-75.096493 40.054488)
884182000.0,40.0212235017484,-75.0387031667744,POINT (-75.0387031667744 40.0212235017484)
786594000.0,39.9807702631579,-75.1271759736842,POINT (-75.1271759736842 39.9807702631579)
785137405.0,39.988047,-75.146243,POINT (-75.146243 39.988047)
884588700.0,39.9728946,-75.1404664,POINT (-75.14046639999999 39.9728946)
786160485.0,40.01392475,-75.1271273333333,POINT (-75.12712733333331 40.01392475)
775619505.0,40.07434645,-75.2047510526002,POINT (-75.2047510526002 40.07434645)
884130500.0,40.007841,-75.186256,POINT (-75.186256 40.007841)
884186505.0,40.015948755102,-75.1172321836735,POINT (-75.11723218367349 40.015948755102)
785356200.0,40.04336035,-75.1508335454644,POINT (-75.15083354546439 40.04336035)
785547740.0,39.9906334489796,-75.1404050408163,POINT (-75.1404050408163 39.9906334489796)
786457800.0,40.0003716,-75.0666754,POINT (-75.06667539999999 40.0003716)
884213400.0,40.011255,-75.060589,POINT (-75.06058899999999 40.011255)
781490600.0,39.917242,-75.154677,POINT (-75.15467700000001 39.917242)
785531600.0,40.024619,-75.123052,POINT (-75.123052 40.024619)
785177400.0,40.028542,-75.129404,POINT (-75.12940399999999 40.028542)
883019502.0,39.9501644,-75.1613060389817,POINT (-75.16130603898171 39.9501644)
781052550.0,39.9458656587683,-75.1415512346869,POINT (-75.1415512346869 39.9458656587683)
781485800.0,39.939658,-75.1507534793215,POINT (-75.15075347932149 39.939658)
884114000.0,40.0074678282828,-75.1130434242424,POINT (-75.11304342424241 40.0074678282828)
772727205.0,39.9467456,-75.1657393262413,POINT (-75.16573932624129 39.9467456)
