building_id,street_address,postal_code,energy_star_score,property_name
776545000.0,2350 W Westmoreland Street,19140.0,Not Available,The Arc of Philadelphia
882497505.0,100 Penn Square East,19107.0,80,The Wanamaker Building
775069000.0,2900 W Hunting Park Ave,19129.0,60,Mercy Vocational High School
777557000.0,1316 W ONTARIO ST,19140.0,47,JONES HALL
884110000.0,1200 E. Erie Avenue,19124.0,Not Available,1200 E. Erie Avenue
781458200.0,1900 S 3RD ST,19148.0,44,Furness HS
783394400.0,4901 PARRISH ST,19139.0,8,Rhoads J
884282500.0,10901 DUTTON ROAD,19154.0,Not Available,DUTTON ROAD ASSOC.
785056600.0,1450 WEST OLNEY AVE,19141.0,1,Widener
883041500.0,1528 Walnut Street,19102.0,81,1528 Walnut
883045400.0,1525 LOCUST ST,19102.0,50,"1525 LOCUST STREET, Site # 603090"
773628000.0,1900 Johnston Street,19145.0,Not Available,Southern Depot
785405400.0,3698 NORTH RANDOLPH ST,19140.0,61,Taylor
884260000.0,8701 TORRESDALE AVE,19136.0,Not Available,Wolf Investment Corp. #7
786010800.0,3199 D ST,19134.0,21,Elkin
784190100.0,7100 HENRY AVE,19128.0,67,Saul CTE
883088901.0,9501 Roosevelt Blvd,19114.0,100,9501 Pavillion
786249200.0,11901 Knights Rd,19154.0,4,Rush
881147275.0,1000 Diamond St,19122.0,58,Diamond Green
773717100.0,125 S. 31st Street,19104.0,Not Available,TRL 31st Street
778253500.0,13500 Philmont Av.,19116.0,21,Calvary Chapel of Phila.
884233810.0,2100 Hornig Rd,19114.0,40,2100 Hornig Rd
785099400.0,5650 SPRAGUE ST,19138.0,84,Pastorius
786456000.0,3380 RICHMOND ST,19134.0,31,Amy at Martin
784378900.0,531 RIGHTER ST.,19128.0,64,Cook-Wissahickon
883010900.0,125 S. 9th St.,19107.0,77,125 S. 9th St. (Sheridan Building)
883065200.0,1600 Vine Street,19102.0,14,DeMedici Corporation II
781609000.0,1835 S 9TH ST,19148.0,78,Southwark
883073700.0,30 N 41st Street,19104.0,79,2.0 University Place
783130800.0,2401 S 67TH ST,19142.0,87,Bartram HS
884121701.0,6610 Hasbrook Ave.,19111.0,75,6610 Hasbrook Partnership
884182000.0,6951 NEW STATE ROAD,19135.0,88,MARJAM SUPPLY
786594000.0,2161 E YORK ST,19125.0,57,Hackett
785137405.0,2400 N 8TH ST,19133.0,6,Hartranft Community
884588700.0,1400 North American St,19122.0,100,Crane Arts LLC
786160485.0,120 W HUNTING PARK AV,19140.0,81,Alt. Ed. Center (Hunting Park)
775619505.0,8318 GERMANTOWN AVE,19118.0,46,GLC 14010/8318 GERMANTOWN AVE/PHILADELPHIA/PA
884130500.0,3500 Scotts Lane,19129.0,Not Available,SoHo South
884186505.0,4411 WHITAKER AVENUE,19120.0,97,4411WHITAKERLLC
785356200.0,1800 NEDRO AVE,19141.0,8,Pennell
785547740.0,2603 N 5TH ST,19133.0,73,Admin - Rivera Building
