w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_pctbpSaved,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_pctbpSaved
0.0,0.0,28.0,23.0,5.0,75.0,1.0,10.0,38.0,23.0,3.0,25.0
9.0,2.0,45.0,35.0,8.0,100.0,1.0,0.0,30.0,16.0,12.0,57.14285714285714
2.0,1.0,31.0,26.0,9.0,0.0,1.0,3.0,36.0,23.0,7.0,42.857142857142854
0.0,2.0,36.0,25.0,11.0,66.66666666666666,6.0,3.0,39.0,22.0,10.0,58.333333333333336
1.0,0.0,36.0,28.0,10.0,100.0,3.0,5.0,31.0,20.0,9.0,25.0
2.0,4.0,42.0,31.0,7.0,25.0,3.0,9.0,58.0,42.0,12.0,50.0
9.0,4.0,50.0,40.0,10.0,100.0,6.0,3.0,38.0,26.0,15.0,71.42857142857143
3.0,2.0,53.0,41.0,6.0,25.0,7.0,3.0,51.0,34.0,12.0,54.54545454545454
3.0,1.0,36.0,26.0,6.0,0.0,2.0,1.0,40.0,19.0,10.0,14.285714285714285
4.0,5.0,49.0,37.0,17.0,66.66666666666666,0.0,2.0,48.0,32.0,14.0,50.0
4.0,1.0,37.0,26.0,13.0,50.0,4.0,2.0,35.0,25.0,12.0,71.42857142857143
2.0,4.0,31.0,25.0,8.0,50.0,2.0,2.0,31.0,16.0,4.0,40.0
2.0,1.0,31.0,21.0,9.0,0.0,1.0,4.0,33.0,20.0,7.0,37.5
3.0,1.0,63.0,41.0,8.0,80.0,0.0,2.0,36.0,19.0,3.0,28.57142857142857
2.0,4.0,47.0,31.0,15.0,42.857142857142854,2.0,2.0,58.0,34.0,16.0,45.45454545454545
2.0,2.0,23.0,19.0,10.0,66.66666666666666,0.0,1.0,30.0,13.0,7.0,33.33333333333333
3.0,0.0,33.0,29.0,12.0,100.0,3.0,1.0,31.0,24.0,9.0,75.0
2.0,0.0,35.0,28.0,5.0,0.0,0.0,3.0,29.0,16.0,11.0,20.0
1.0,0.0,58.0,38.0,11.0,71.42857142857143,2.0,0.0,46.0,27.0,11.0,55.55555555555556
4.0,4.0,56.0,40.0,16.0,40.0,3.0,2.0,45.0,32.0,12.0,20.0
7.0,1.0,45.0,29.0,17.0,100.0,0.0,0.0,31.0,15.0,9.0,0.0
7.0,0.0,31.0,23.0,10.0,,3.0,1.0,24.0,15.0,6.0,42.857142857142854
11.0,2.0,32.0,28.0,14.0,100.0,3.0,3.0,31.0,17.0,14.0,57.14285714285714
4.0,1.0,51.0,33.0,6.0,25.0,0.0,5.0,48.0,28.0,11.0,33.33333333333333
0.0,3.0,61.0,36.0,13.0,25.0,3.0,4.0,53.0,32.0,17.0,28.57142857142857
2.0,1.0,26.0,18.0,7.0,50.0,1.0,3.0,30.0,17.0,4.0,57.14285714285714
9.0,3.0,38.0,30.0,8.0,66.66666666666666,1.0,4.0,34.0,20.0,6.0,42.857142857142854
1.0,2.0,47.0,26.0,10.0,28.57142857142857,1.0,2.0,47.0,27.0,20.0,58.333333333333336
3.0,4.0,75.0,49.0,8.0,60.0,4.0,6.0,62.0,35.0,11.0,12.5
2.0,1.0,50.0,35.0,13.0,85.71428571428571,9.0,9.0,42.0,31.0,12.0,66.66666666666666
5.0,4.0,40.0,26.0,18.0,50.0,1.0,2.0,52.0,28.0,18.0,80.0
0.0,2.0,11.0,10.0,6.0,,1.0,1.0,22.0,12.0,3.0,66.66666666666666
0.0,2.0,29.0,19.0,6.0,50.0,0.0,5.0,29.0,11.0,14.0,46.15384615384615
2.0,3.0,27.0,23.0,8.0,100.0,1.0,2.0,37.0,16.0,8.0,28.57142857142857
6.0,2.0,48.0,31.0,20.0,37.5,0.0,6.0,47.0,27.0,10.0,36.36363636363637
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
4.0,1.0,64.0,37.0,18.0,60.0,3.0,2.0,68.0,39.0,16.0,50.0
1.0,1.0,55.0,35.0,15.0,78.57142857142857,3.0,7.0,33.0,20.0,14.0,28.57142857142857
4.0,4.0,31.0,21.0,9.0,50.0,0.0,6.0,28.0,14.0,7.0,41.66666666666667
3.0,3.0,45.0,34.0,16.0,75.0,4.0,4.0,31.0,21.0,16.0,0.0
1.0,10.0,69.0,38.0,8.0,37.5,1.0,3.0,80.0,29.0,20.0,40.0
5.0,2.0,87.0,51.0,24.0,61.53846153846154,2.0,8.0,57.0,35.0,17.0,30.0
1.0,0.0,65.0,41.0,10.0,37.5,0.0,5.0,54.0,34.0,14.0,60.0
