w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_pctbpSaved,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_pctbpSaved
8.0,1.0,56.0,42.0,17.0,60.0,13.0,9.0,65.0,39.0,15.0,60.0
0.0,2.0,34.0,22.0,10.0,50.0,1.0,0.0,30.0,15.0,4.0,37.5
0.0,2.0,55.0,35.0,8.0,42.857142857142854,1.0,0.0,38.0,23.0,18.0,28.57142857142857
2.0,2.0,42.0,25.0,8.0,25.0,1.0,4.0,42.0,21.0,13.0,64.28571428571429
1.0,1.0,21.0,16.0,15.0,75.0,0.0,2.0,41.0,21.0,6.0,50.0
9.0,1.0,61.0,44.0,14.0,60.0,8.0,4.0,51.0,40.0,15.0,60.0
3.0,1.0,34.0,30.0,6.0,,0.0,3.0,33.0,17.0,12.0,33.33333333333333
0.0,3.0,74.0,43.0,9.0,44.44444444444444,2.0,5.0,63.0,37.0,11.0,12.5
8.0,5.0,36.0,23.0,14.0,40.0,1.0,2.0,44.0,20.0,14.0,25.0
5.0,1.0,66.0,49.0,15.0,63.63636363636363,4.0,7.0,59.0,46.0,14.0,44.44444444444444
4.0,4.0,59.0,43.0,17.0,37.5,2.0,3.0,57.0,38.0,25.0,58.333333333333336
2.0,1.0,40.0,28.0,15.0,85.71428571428571,4.0,5.0,37.0,23.0,14.0,50.0
3.0,2.0,41.0,26.0,8.0,33.33333333333333,0.0,1.0,37.0,17.0,6.0,28.57142857142857
4.0,0.0,43.0,31.0,8.0,62.5,1.0,2.0,39.0,25.0,13.0,44.44444444444444
4.0,8.0,55.0,35.0,21.0,61.53846153846154,4.0,4.0,42.0,27.0,21.0,25.0
0.0,0.0,41.0,26.0,12.0,87.5,1.0,4.0,49.0,30.0,7.0,58.333333333333336
0.0,3.0,43.0,27.0,5.0,50.0,4.0,6.0,32.0,22.0,3.0,41.66666666666667
12.0,5.0,50.0,36.0,26.0,71.42857142857143,0.0,2.0,57.0,34.0,19.0,0.0
1.0,5.0,30.0,21.0,12.0,100.0,0.0,2.0,19.0,12.0,5.0,37.5
4.0,1.0,21.0,18.0,7.0,100.0,2.0,2.0,23.0,10.0,8.0,25.0
9.0,7.0,63.0,40.0,21.0,54.54545454545454,11.0,13.0,63.0,48.0,16.0,57.14285714285714
6.0,3.0,32.0,26.0,15.0,100.0,1.0,0.0,62.0,38.0,15.0,85.71428571428571
5.0,4.0,34.0,25.0,11.0,80.0,7.0,3.0,27.0,18.0,9.0,16.666666666666664
1.0,2.0,42.0,22.0,13.0,50.0,4.0,7.0,25.0,17.0,9.0,33.33333333333333
12.0,2.0,55.0,41.0,18.0,66.66666666666666,7.0,6.0,53.0,36.0,17.0,70.58823529411765
2.0,4.0,49.0,30.0,11.0,66.66666666666666,1.0,4.0,32.0,17.0,17.0,58.333333333333336
7.0,4.0,65.0,41.0,27.0,57.14285714285714,7.0,10.0,67.0,50.0,21.0,50.0
3.0,6.0,57.0,36.0,9.0,33.33333333333333,2.0,10.0,65.0,37.0,6.0,27.27272727272727
3.0,0.0,33.0,23.0,5.0,0.0,0.0,0.0,32.0,15.0,6.0,50.0
2.0,5.0,43.0,33.0,7.0,60.0,2.0,5.0,30.0,20.0,10.0,54.54545454545454
1.0,3.0,56.0,31.0,24.0,33.33333333333333,2.0,7.0,50.0,30.0,16.0,16.666666666666664
4.0,5.0,27.0,24.0,11.0,0.0,0.0,2.0,44.0,25.0,6.0,66.66666666666666
2.0,1.0,22.0,17.0,10.0,100.0,1.0,5.0,30.0,16.0,4.0,40.0
0.0,4.0,49.0,26.0,10.0,40.0,2.0,6.0,36.0,15.0,9.0,38.46153846153847
2.0,2.0,28.0,23.0,8.0,80.0,0.0,5.0,23.0,12.0,8.0,44.44444444444444
1.0,3.0,30.0,20.0,5.0,33.33333333333333,0.0,3.0,31.0,13.0,5.0,41.66666666666667
7.0,1.0,34.0,27.0,9.0,66.66666666666666,1.0,1.0,23.0,14.0,7.0,0.0
2.0,1.0,26.0,21.0,11.0,0.0,2.0,2.0,18.0,8.0,5.0,16.666666666666664
9.0,0.0,66.0,43.0,13.0,87.5,3.0,7.0,41.0,29.0,20.0,57.14285714285714
1.0,1.0,39.0,25.0,9.0,25.0,0.0,3.0,53.0,22.0,11.0,40.0
6.0,1.0,36.0,30.0,9.0,100.0,0.0,4.0,30.0,20.0,12.0,25.0
1.0,1.0,47.0,29.0,11.0,25.0,2.0,1.0,57.0,29.0,9.0,46.15384615384615
5.0,2.0,35.0,25.0,16.0,83.33333333333334,2.0,2.0,31.0,18.0,14.0,66.66666666666666
6.0,3.0,63.0,41.0,13.0,60.0,7.0,4.0,54.0,24.0,13.0,40.0
5.0,4.0,37.0,24.0,12.0,50.0,1.0,8.0,24.0,14.0,6.0,37.5
0.0,0.0,3.0,3.0,1.0,,0.0,0.0,0.0,0.0,1.0,
0.0,1.0,37.0,29.0,11.0,100.0,2.0,5.0,31.0,22.0,13.0,40.0
12.0,8.0,73.0,51.0,22.0,66.66666666666666,4.0,5.0,64.0,44.0,17.0,60.0
4.0,0.0,7.0,7.0,6.0,100.0,1.0,2.0,9.0,8.0,1.0,0.0
3.0,3.0,73.0,45.0,16.0,62.5,4.0,4.0,55.0,34.0,23.0,75.0
6.0,0.0,36.0,30.0,12.0,100.0,2.0,3.0,30.0,22.0,10.0,40.0
2.0,2.0,69.0,41.0,18.0,50.0,12.0,10.0,54.0,37.0,29.0,75.0
3.0,1.0,28.0,21.0,11.0,75.0,0.0,0.0,52.0,24.0,3.0,54.54545454545454
4.0,4.0,66.0,45.0,19.0,70.58823529411765,14.0,6.0,47.0,32.0,22.0,40.0
5.0,4.0,40.0,27.0,22.0,66.66666666666666,2.0,6.0,48.0,23.0,12.0,45.45454545454545
1.0,0.0,30.0,23.0,7.0,75.0,1.0,1.0,31.0,12.0,7.0,0.0
8.0,2.0,50.0,43.0,22.0,66.66666666666666,2.0,2.0,51.0,35.0,22.0,62.5
4.0,3.0,23.0,19.0,6.0,0.0,1.0,5.0,28.0,10.0,7.0,57.14285714285714
7.0,6.0,38.0,30.0,15.0,40.0,2.0,8.0,40.0,27.0,18.0,28.57142857142857
0.0,8.0,44.0,31.0,18.0,60.0,2.0,8.0,54.0,31.0,7.0,53.333333333333336
1.0,2.0,28.0,20.0,13.0,100.0,3.0,4.0,35.0,17.0,10.0,37.5
0.0,1.0,46.0,31.0,11.0,60.0,0.0,1.0,32.0,18.0,13.0,55.55555555555556
4.0,10.0,79.0,49.0,17.0,66.66666666666666,1.0,8.0,62.0,35.0,16.0,50.0
0.0,4.0,37.0,26.0,12.0,75.0,1.0,1.0,33.0,16.0,8.0,45.45454545454545
0.0,8.0,55.0,34.0,15.0,71.42857142857143,2.0,0.0,38.0,24.0,9.0,45.45454545454545
1.0,2.0,37.0,24.0,7.0,40.0,1.0,7.0,36.0,18.0,10.0,45.45454545454545
2.0,1.0,34.0,22.0,14.0,25.0,1.0,2.0,41.0,24.0,4.0,37.5
1.0,1.0,44.0,29.0,17.0,83.33333333333334,1.0,9.0,38.0,21.0,9.0,42.857142857142854
2.0,2.0,32.0,24.0,7.0,66.66666666666666,5.0,4.0,31.0,15.0,10.0,50.0
3.0,1.0,23.0,16.0,13.0,100.0,1.0,6.0,21.0,9.0,3.0,37.5
4.0,3.0,41.0,27.0,20.0,50.0,0.0,3.0,46.0,30.0,13.0,62.5
1.0,6.0,55.0,30.0,11.0,61.53846153846154,1.0,1.0,54.0,29.0,6.0,12.5
8.0,3.0,30.0,23.0,21.0,66.66666666666666,3.0,7.0,37.0,25.0,18.0,76.92307692307693
3.0,3.0,33.0,23.0,19.0,50.0,2.0,4.0,29.0,19.0,18.0,60.0
7.0,5.0,41.0,27.0,22.0,69.23076923076923,1.0,0.0,44.0,27.0,10.0,0.0
4.0,3.0,35.0,20.0,18.0,33.33333333333333,0.0,0.0,47.0,24.0,7.0,37.5
4.0,6.0,51.0,28.0,22.0,66.66666666666666,0.0,5.0,37.0,21.0,14.0,53.333333333333336
1.0,6.0,80.0,46.0,20.0,71.42857142857143,3.0,7.0,67.0,36.0,22.0,57.89473684210527
1.0,4.0,39.0,24.0,12.0,62.5,3.0,2.0,45.0,22.0,7.0,45.45454545454545
2.0,4.0,60.0,40.0,15.0,80.0,1.0,7.0,50.0,28.0,16.0,57.14285714285714
7.0,1.0,25.0,23.0,13.0,,0.0,3.0,33.0,20.0,12.0,40.0
1.0,4.0,37.0,28.0,10.0,80.0,0.0,2.0,28.0,14.0,4.0,37.5
5.0,3.0,49.0,33.0,17.0,80.0,2.0,6.0,35.0,22.0,15.0,55.55555555555556
4.0,8.0,43.0,32.0,21.0,62.5,2.0,6.0,49.0,31.0,19.0,50.0
4.0,1.0,44.0,28.0,20.0,71.42857142857143,2.0,3.0,42.0,27.0,16.0,50.0
4.0,4.0,44.0,33.0,7.0,33.33333333333333,1.0,6.0,43.0,28.0,11.0,63.63636363636363
2.0,2.0,28.0,19.0,7.0,25.0,0.0,4.0,35.0,14.0,6.0,12.5
3.0,1.0,26.0,20.0,4.0,0.0,1.0,1.0,37.0,14.0,7.0,40.0
3.0,5.0,56.0,39.0,5.0,50.0,1.0,0.0,57.0,31.0,7.0,54.54545454545454
3.0,0.0,17.0,14.0,6.0,,0.0,1.0,28.0,11.0,3.0,60.0
1.0,3.0,57.0,37.0,12.0,63.63636363636363,1.0,2.0,85.0,46.0,8.0,57.14285714285714
0.0,1.0,33.0,23.0,11.0,,2.0,4.0,40.0,22.0,6.0,20.0
3.0,2.0,74.0,48.0,17.0,66.66666666666666,0.0,3.0,67.0,37.0,21.0,64.28571428571429
0.0,0.0,63.0,37.0,4.0,70.0,2.0,1.0,51.0,24.0,4.0,40.0
2.0,4.0,39.0,26.0,11.0,57.14285714285714,2.0,0.0,49.0,27.0,5.0,16.666666666666664
1.0,3.0,53.0,31.0,6.0,72.72727272727273,0.0,0.0,48.0,17.0,5.0,30.0
2.0,4.0,60.0,28.0,20.0,45.45454545454545,5.0,10.0,66.0,37.0,13.0,45.45454545454545
4.0,2.0,43.0,25.0,13.0,66.66666666666666,1.0,4.0,24.0,10.0,11.0,25.0
1.0,0.0,30.0,20.0,18.0,75.0,2.0,1.0,50.0,28.0,12.0,50.0
0.0,3.0,60.0,29.0,6.0,36.36363636363637,1.0,4.0,41.0,17.0,6.0,0.0
2.0,2.0,76.0,41.0,11.0,30.0,2.0,11.0,67.0,39.0,32.0,64.70588235294117
2.0,3.0,44.0,25.0,19.0,75.0,0.0,5.0,33.0,14.0,14.0,45.45454545454545
0.0,4.0,34.0,25.0,11.0,66.66666666666666,2.0,3.0,37.0,16.0,5.0,53.84615384615385
2.0,1.0,74.0,46.0,16.0,66.66666666666666,0.0,1.0,122.0,67.0,9.0,66.66666666666666
0.0,5.0,48.0,27.0,8.0,41.66666666666667,6.0,3.0,69.0,35.0,15.0,66.66666666666666
3.0,3.0,71.0,42.0,17.0,71.42857142857143,1.0,4.0,55.0,37.0,12.0,33.33333333333333
2.0,2.0,46.0,29.0,18.0,66.66666666666666,1.0,5.0,34.0,20.0,12.0,33.33333333333333
2.0,1.0,36.0,28.0,10.0,0.0,3.0,1.0,36.0,22.0,5.0,0.0
3.0,1.0,31.0,20.0,10.0,80.0,0.0,7.0,26.0,14.0,10.0,57.14285714285714
1.0,1.0,32.0,20.0,8.0,0.0,0.0,2.0,38.0,16.0,10.0,40.0
2.0,1.0,37.0,23.0,19.0,83.33333333333334,2.0,6.0,30.0,19.0,13.0,55.55555555555556
0.0,0.0,40.0,20.0,5.0,57.14285714285714,0.0,2.0,30.0,11.0,4.0,42.857142857142854
6.0,4.0,33.0,26.0,12.0,57.14285714285714,1.0,3.0,68.0,36.0,7.0,50.0
2.0,0.0,87.0,50.0,6.0,40.0,1.0,9.0,61.0,33.0,12.0,41.66666666666667
3.0,0.0,38.0,25.0,11.0,60.0,1.0,5.0,38.0,21.0,10.0,44.44444444444444
1.0,2.0,92.0,54.0,8.0,60.0,2.0,2.0,76.0,37.0,21.0,63.63636363636363
1.0,15.0,67.0,43.0,18.0,65.21739130434783,3.0,7.0,70.0,38.0,21.0,50.0
0.0,2.0,33.0,19.0,9.0,20.0,1.0,1.0,39.0,24.0,11.0,50.0
3.0,1.0,33.0,24.0,10.0,100.0,0.0,3.0,24.0,13.0,5.0,37.5
0.0,1.0,63.0,36.0,10.0,16.666666666666664,8.0,4.0,71.0,41.0,16.0,66.66666666666666
0.0,0.0,36.0,24.0,11.0,40.0,0.0,1.0,42.0,20.0,5.0,14.285714285714285
8.0,2.0,65.0,47.0,13.0,84.61538461538461,3.0,1.0,53.0,35.0,8.0,58.333333333333336
9.0,6.0,71.0,52.0,20.0,72.72727272727273,6.0,4.0,62.0,39.0,25.0,83.33333333333334
2.0,2.0,60.0,33.0,29.0,54.54545454545454,1.0,2.0,72.0,37.0,11.0,58.82352941176471
0.0,4.0,39.0,28.0,9.0,60.0,2.0,4.0,26.0,12.0,8.0,28.57142857142857
0.0,10.0,52.0,36.0,17.0,73.33333333333333,5.0,3.0,35.0,19.0,13.0,30.0
3.0,3.0,40.0,26.0,15.0,57.14285714285714,0.0,11.0,35.0,20.0,10.0,53.84615384615385
1.0,3.0,26.0,18.0,10.0,83.33333333333334,0.0,1.0,28.0,9.0,8.0,40.0
3.0,5.0,51.0,35.0,10.0,25.0,5.0,3.0,60.0,34.0,9.0,60.0
2.0,0.0,42.0,25.0,7.0,75.0,1.0,6.0,27.0,11.0,4.0,14.285714285714285
2.0,3.0,17.0,13.0,18.0,50.0,0.0,3.0,38.0,18.0,8.0,44.44444444444444
5.0,4.0,30.0,26.0,7.0,100.0,0.0,4.0,28.0,10.0,7.0,37.5
0.0,4.0,65.0,44.0,12.0,20.0,3.0,5.0,58.0,35.0,14.0,57.14285714285714
2.0,11.0,60.0,38.0,8.0,80.0,1.0,4.0,41.0,23.0,8.0,45.45454545454545
2.0,7.0,33.0,23.0,22.0,50.0,1.0,4.0,29.0,17.0,9.0,0.0
0.0,2.0,47.0,32.0,5.0,50.0,0.0,1.0,57.0,27.0,7.0,44.44444444444444
4.0,3.0,38.0,33.0,4.0,80.0,0.0,0.0,55.0,30.0,1.0,69.23076923076923
1.0,1.0,84.0,47.0,13.0,69.23076923076923,0.0,5.0,58.0,32.0,21.0,66.66666666666666
7.0,3.0,32.0,28.0,9.0,100.0,0.0,2.0,44.0,24.0,9.0,54.54545454545454
0.0,7.0,34.0,25.0,11.0,55.55555555555556,3.0,2.0,55.0,28.0,5.0,53.84615384615385
2.0,2.0,53.0,32.0,18.0,83.33333333333334,0.0,5.0,43.0,21.0,10.0,50.0
1.0,3.0,61.0,36.0,12.0,73.33333333333333,1.0,0.0,44.0,27.0,14.0,25.0
2.0,2.0,39.0,24.0,13.0,40.0,2.0,3.0,34.0,14.0,11.0,33.33333333333333
2.0,4.0,34.0,23.0,12.0,66.66666666666666,2.0,3.0,27.0,14.0,5.0,28.57142857142857
2.0,3.0,34.0,21.0,18.0,50.0,2.0,1.0,36.0,17.0,8.0,0.0
0.0,3.0,43.0,27.0,11.0,83.33333333333334,1.0,4.0,28.0,14.0,10.0,28.57142857142857
4.0,6.0,64.0,42.0,16.0,44.44444444444444,5.0,5.0,64.0,39.0,17.0,42.857142857142854
5.0,6.0,53.0,38.0,15.0,42.857142857142854,3.0,5.0,59.0,31.0,22.0,50.0
1.0,2.0,36.0,24.0,10.0,66.66666666666666,3.0,8.0,24.0,12.0,10.0,14.285714285714285
9.0,1.0,41.0,29.0,12.0,100.0,0.0,3.0,51.0,30.0,9.0,57.14285714285714
2.0,2.0,44.0,25.0,19.0,75.0,8.0,1.0,44.0,29.0,3.0,37.5
5.0,4.0,60.0,35.0,17.0,41.66666666666667,4.0,2.0,63.0,33.0,12.0,33.33333333333333
1.0,8.0,56.0,36.0,25.0,66.66666666666666,7.0,9.0,55.0,38.0,20.0,68.75
5.0,2.0,30.0,25.0,7.0,50.0,0.0,4.0,30.0,15.0,5.0,37.5
2.0,4.0,45.0,27.0,6.0,55.55555555555556,2.0,8.0,35.0,21.0,6.0,36.36363636363637
3.0,5.0,37.0,28.0,13.0,0.0,0.0,7.0,37.0,21.0,11.0,60.0
5.0,4.0,48.0,30.0,12.0,44.44444444444444,2.0,1.0,57.0,35.0,21.0,57.14285714285714
5.0,2.0,44.0,32.0,18.0,80.0,6.0,4.0,49.0,35.0,9.0,62.5
3.0,1.0,21.0,13.0,13.0,0.0,0.0,3.0,19.0,3.0,8.0,36.36363636363637
7.0,4.0,53.0,34.0,18.0,63.63636363636363,8.0,4.0,60.0,42.0,11.0,50.0
0.0,3.0,63.0,40.0,18.0,80.0,3.0,3.0,54.0,33.0,11.0,44.44444444444444
3.0,3.0,43.0,28.0,13.0,40.0,2.0,3.0,52.0,28.0,12.0,58.333333333333336
2.0,2.0,36.0,21.0,14.0,33.33333333333333,0.0,6.0,39.0,24.0,7.0,45.45454545454545
8.0,4.0,31.0,22.0,16.0,0.0,0.0,5.0,33.0,18.0,18.0,55.55555555555556
2.0,8.0,62.0,48.0,11.0,66.66666666666666,1.0,5.0,56.0,37.0,14.0,44.44444444444444
1.0,1.0,24.0,22.0,14.0,,1.0,6.0,31.0,20.0,9.0,66.66666666666666
2.0,6.0,86.0,51.0,23.0,68.42105263157895,4.0,8.0,79.0,49.0,11.0,46.15384615384615
3.0,1.0,32.0,21.0,12.0,0.0,3.0,1.0,43.0,24.0,11.0,58.333333333333336
1.0,5.0,32.0,21.0,13.0,50.0,3.0,1.0,35.0,17.0,5.0,25.0
4.0,5.0,64.0,47.0,15.0,50.0,2.0,3.0,61.0,35.0,24.0,66.66666666666666
1.0,2.0,42.0,28.0,7.0,71.42857142857143,0.0,4.0,32.0,11.0,12.0,14.285714285714285
0.0,0.0,45.0,27.0,14.0,50.0,0.0,6.0,37.0,20.0,10.0,57.14285714285714
7.0,5.0,52.0,41.0,18.0,28.57142857142857,4.0,4.0,52.0,34.0,21.0,30.0
1.0,2.0,32.0,25.0,6.0,100.0,1.0,5.0,29.0,15.0,2.0,54.54545454545454
2.0,2.0,65.0,36.0,13.0,63.63636363636363,1.0,7.0,71.0,42.0,9.0,68.75
0.0,5.0,65.0,44.0,21.0,66.66666666666666,4.0,11.0,62.0,41.0,21.0,37.5
3.0,5.0,62.0,43.0,17.0,76.92307692307693,0.0,6.0,72.0,43.0,8.0,64.28571428571429
5.0,4.0,36.0,29.0,10.0,81.81818181818183,1.0,2.0,35.0,17.0,12.0,0.0
1.0,3.0,47.0,29.0,11.0,75.0,2.0,4.0,41.0,28.0,6.0,50.0
1.0,1.0,37.0,27.0,5.0,100.0,3.0,7.0,30.0,16.0,10.0,66.66666666666666
0.0,3.0,36.0,24.0,11.0,66.66666666666666,0.0,6.0,35.0,19.0,4.0,37.5
1.0,9.0,76.0,49.0,14.0,70.0,6.0,10.0,62.0,44.0,15.0,57.14285714285714
4.0,3.0,27.0,22.0,19.0,100.0,3.0,1.0,34.0,26.0,8.0,50.0
5.0,1.0,45.0,35.0,12.0,100.0,3.0,4.0,38.0,27.0,13.0,71.42857142857143
9.0,4.0,70.0,52.0,16.0,50.0,4.0,8.0,58.0,38.0,11.0,54.54545454545454
3.0,3.0,59.0,37.0,15.0,58.333333333333336,2.0,3.0,49.0,27.0,9.0,41.66666666666667
3.0,1.0,36.0,24.0,7.0,,1.0,3.0,27.0,12.0,8.0,58.333333333333336
2.0,4.0,61.0,41.0,12.0,40.0,2.0,4.0,47.0,27.0,12.0,66.66666666666666
8.0,3.0,31.0,24.0,6.0,0.0,2.0,3.0,43.0,21.0,10.0,44.44444444444444
2.0,4.0,73.0,45.0,23.0,58.333333333333336,6.0,3.0,61.0,44.0,25.0,70.0
7.0,2.0,53.0,36.0,14.0,66.66666666666666,0.0,2.0,61.0,36.0,8.0,40.0
13.0,3.0,41.0,31.0,27.0,55.55555555555556,1.0,4.0,74.0,45.0,14.0,45.45454545454545
4.0,2.0,26.0,20.0,12.0,80.0,0.0,2.0,33.0,14.0,5.0,16.666666666666664
5.0,6.0,67.0,44.0,23.0,40.0,4.0,4.0,43.0,34.0,25.0,0.0
1.0,9.0,55.0,39.0,8.0,44.44444444444444,1.0,2.0,62.0,32.0,11.0,53.333333333333336
0.0,3.0,38.0,24.0,10.0,40.0,4.0,3.0,50.0,27.0,4.0,40.0
3.0,5.0,37.0,21.0,8.0,50.0,3.0,12.0,51.0,25.0,6.0,46.15384615384615
0.0,4.0,57.0,42.0,15.0,50.0,6.0,11.0,61.0,42.0,24.0,54.54545454545454
4.0,4.0,37.0,26.0,18.0,80.0,0.0,3.0,47.0,27.0,9.0,42.857142857142854
1.0,4.0,46.0,22.0,16.0,60.0,7.0,8.0,48.0,28.0,16.0,57.14285714285714
1.0,0.0,30.0,24.0,4.0,,4.0,7.0,24.0,14.0,7.0,44.44444444444444
3.0,1.0,31.0,21.0,8.0,100.0,1.0,5.0,21.0,11.0,1.0,28.57142857142857
2.0,3.0,47.0,35.0,8.0,40.0,0.0,4.0,48.0,23.0,14.0,55.55555555555556
1.0,1.0,40.0,29.0,6.0,0.0,1.0,5.0,41.0,24.0,4.0,28.57142857142857
5.0,9.0,64.0,44.0,17.0,58.333333333333336,1.0,5.0,69.0,43.0,13.0,50.0
2.0,4.0,76.0,50.0,10.0,83.33333333333334,1.0,3.0,55.0,38.0,17.0,66.66666666666666
4.0,3.0,37.0,20.0,16.0,50.0,0.0,4.0,52.0,25.0,2.0,42.857142857142854
1.0,0.0,48.0,30.0,1.0,0.0,1.0,0.0,40.0,17.0,10.0,45.45454545454545
2.0,6.0,49.0,34.0,18.0,72.72727272727273,1.0,1.0,45.0,31.0,6.0,37.5
2.0,0.0,51.0,33.0,9.0,66.66666666666666,2.0,1.0,36.0,21.0,4.0,54.54545454545454
1.0,0.0,37.0,28.0,3.0,66.66666666666666,1.0,0.0,36.0,15.0,3.0,28.57142857142857
1.0,1.0,32.0,20.0,15.0,57.14285714285714,0.0,0.0,46.0,20.0,8.0,53.84615384615385
3.0,0.0,43.0,32.0,5.0,33.33333333333333,0.0,1.0,48.0,29.0,8.0,66.66666666666666
2.0,6.0,54.0,40.0,9.0,50.0,0.0,3.0,61.0,34.0,10.0,44.44444444444444
2.0,0.0,57.0,35.0,7.0,85.71428571428571,0.0,1.0,46.0,24.0,10.0,44.44444444444444
1.0,1.0,34.0,20.0,25.0,80.0,1.0,2.0,47.0,30.0,6.0,63.63636363636363
0.0,1.0,54.0,30.0,6.0,33.33333333333333,2.0,6.0,70.0,35.0,7.0,55.55555555555556
0.0,1.0,58.0,36.0,7.0,77.77777777777779,0.0,0.0,26.0,10.0,16.0,37.5
0.0,2.0,75.0,37.0,11.0,53.333333333333336,2.0,3.0,70.0,35.0,12.0,56.25
3.0,0.0,34.0,20.0,13.0,57.14285714285714,0.0,7.0,37.0,19.0,1.0,45.45454545454545
0.0,1.0,50.0,28.0,11.0,70.0,1.0,4.0,30.0,17.0,3.0,25.0
0.0,3.0,70.0,47.0,19.0,76.92307692307693,2.0,2.0,64.0,36.0,15.0,30.0
2.0,2.0,32.0,24.0,7.0,83.33333333333334,0.0,5.0,33.0,16.0,14.0,61.53846153846154
5.0,2.0,26.0,18.0,18.0,57.14285714285714,0.0,4.0,36.0,15.0,7.0,25.0
0.0,1.0,40.0,24.0,18.0,42.857142857142854,2.0,2.0,41.0,24.0,12.0,44.44444444444444
0.0,3.0,86.0,50.0,17.0,37.5,0.0,4.0,74.0,38.0,9.0,12.5
5.0,2.0,27.0,22.0,7.0,100.0,0.0,1.0,25.0,8.0,4.0,33.33333333333333
3.0,8.0,71.0,41.0,11.0,50.0,1.0,6.0,70.0,36.0,23.0,58.82352941176471
2.0,4.0,74.0,45.0,18.0,76.47058823529412,2.0,6.0,50.0,31.0,15.0,50.0
2.0,4.0,36.0,26.0,14.0,66.66666666666666,1.0,3.0,29.0,20.0,13.0,57.14285714285714
1.0,1.0,45.0,32.0,7.0,66.66666666666666,0.0,3.0,40.0,22.0,8.0,55.55555555555556
1.0,2.0,41.0,27.0,12.0,50.0,0.0,4.0,33.0,16.0,7.0,28.57142857142857
4.0,2.0,68.0,44.0,18.0,66.66666666666666,3.0,1.0,83.0,50.0,15.0,68.75
0.0,4.0,34.0,22.0,8.0,62.5,0.0,3.0,43.0,18.0,5.0,41.66666666666667
1.0,1.0,35.0,18.0,13.0,44.44444444444444,0.0,2.0,47.0,16.0,7.0,20.0
3.0,4.0,44.0,31.0,15.0,80.0,3.0,2.0,45.0,27.0,9.0,0.0
0.0,1.0,31.0,20.0,9.0,0.0,1.0,2.0,38.0,16.0,7.0,45.45454545454545
2.0,1.0,46.0,29.0,2.0,0.0,2.0,4.0,44.0,25.0,7.0,61.53846153846154
1.0,4.0,68.0,47.0,13.0,76.92307692307693,4.0,9.0,52.0,38.0,8.0,50.0
3.0,4.0,54.0,34.0,15.0,70.0,8.0,6.0,48.0,34.0,9.0,61.53846153846154
4.0,0.0,39.0,25.0,9.0,50.0,0.0,1.0,41.0,20.0,6.0,54.54545454545454
6.0,0.0,44.0,33.0,10.0,0.0,6.0,7.0,51.0,33.0,7.0,50.0
3.0,0.0,35.0,27.0,9.0,50.0,0.0,0.0,38.0,21.0,8.0,50.0
1.0,2.0,52.0,33.0,12.0,57.14285714285714,0.0,3.0,53.0,31.0,10.0,16.666666666666664
10.0,1.0,40.0,26.0,8.0,66.66666666666666,1.0,4.0,31.0,20.0,5.0,50.0
0.0,2.0,40.0,27.0,8.0,50.0,0.0,0.0,23.0,12.0,2.0,16.666666666666664
3.0,0.0,41.0,27.0,13.0,50.0,3.0,1.0,32.0,21.0,13.0,50.0
3.0,5.0,55.0,34.0,21.0,54.54545454545454,0.0,2.0,81.0,47.0,12.0,54.54545454545454
5.0,5.0,31.0,23.0,12.0,77.77777777777779,2.0,5.0,41.0,20.0,7.0,50.0
2.0,0.0,38.0,31.0,6.0,100.0,2.0,2.0,46.0,23.0,14.0,73.33333333333333
3.0,3.0,50.0,34.0,11.0,53.84615384615385,0.0,4.0,74.0,39.0,6.0,55.00000000000001
3.0,2.0,40.0,26.0,9.0,66.66666666666666,1.0,6.0,43.0,26.0,8.0,37.5
4.0,1.0,44.0,33.0,11.0,75.0,0.0,3.0,37.0,22.0,8.0,42.857142857142854
16.0,3.0,67.0,52.0,17.0,63.63636363636363,12.0,9.0,61.0,45.0,20.0,55.55555555555556
3.0,2.0,37.0,28.0,7.0,50.0,0.0,2.0,46.0,23.0,9.0,28.57142857142857
1.0,0.0,25.0,21.0,11.0,50.0,0.0,3.0,26.0,15.0,8.0,50.0
6.0,1.0,61.0,42.0,14.0,40.0,0.0,3.0,71.0,43.0,17.0,57.14285714285714
3.0,0.0,19.0,17.0,8.0,100.0,0.0,3.0,31.0,14.0,5.0,40.0
0.0,2.0,37.0,26.0,7.0,80.0,0.0,1.0,27.0,10.0,5.0,14.285714285714285
2.0,1.0,62.0,38.0,13.0,50.0,8.0,3.0,39.0,27.0,14.0,40.0
4.0,1.0,33.0,25.0,9.0,75.0,1.0,3.0,22.0,8.0,13.0,58.333333333333336
4.0,1.0,36.0,30.0,6.0,66.66666666666666,3.0,4.0,43.0,22.0,12.0,55.55555555555556
1.0,0.0,45.0,31.0,12.0,100.0,0.0,4.0,58.0,36.0,9.0,78.57142857142857
14.0,2.0,57.0,41.0,15.0,66.66666666666666,5.0,7.0,44.0,30.0,20.0,25.0
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
3.0,2.0,54.0,39.0,12.0,66.66666666666666,9.0,3.0,41.0,30.0,18.0,71.42857142857143
11.0,2.0,63.0,37.0,21.0,44.44444444444444,4.0,4.0,69.0,43.0,14.0,14.285714285714285
