tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-560,Us Open,Hard,128,G,20160829,174,211951,,,Ana Konjuh,R,174.0,CRO,18.67214237,92.0,719.0,201597,,,Kurumi Nara,R,155.0,JPN,24.66529774,80.0,828.0,6-3 6-3,3,R64,79.0,10.0,4.0,67.0,29.0,24.0,19.0,9.0,2.0,3.0,0.0,4.0,54.0,33.0,20.0,9.0,9.0,3.0,7.0,2,42.857142857142854,66.66666666666666
2016-0825,Tashkent,Hard,32,I,20160926,274,211702,4,,Nao Hibino,R,163.0,JPN,21.82888433,78.0,864.0,214534,,WC,Komola Umarova,U,,UZB,16.92813142,814.0,17.0,6-3 6-1,3,R32,57.0,3.0,0.0,46.0,29.0,20.0,11.0,8.0,3.0,5.0,0.0,8.0,49.0,34.0,16.0,3.0,8.0,4.0,10.0,2,40.0,60.0
2016-580,Australian Open,Hard,128,G,20160118,111,201320,23,,Svetlana Kuznetsova,R,174.0,RUS,30.55989049,20.0,2475.0,201290,,,Daniela Hantuchova,R,181.0,SVK,32.73921971,89.0,719.0,6-0 6-2,3,R128,61.0,10.0,0.0,33.0,24.0,21.0,7.0,7.0,0.0,0.0,0.0,8.0,57.0,34.0,17.0,7.0,7.0,7.0,12.0,2,58.333333333333336,
2016-520,French Open,Clay,128,G,20160523,199,201709,,,Yulia Putintseva,R,163.0,KAZ,21.374401100000004,60.0,1025.0,201498,,,Karin Knapp,R,180.0,ITA,28.90349076,118.0,565.0,6-1 6-1,3,R32,74.0,0.0,0.0,44.0,35.0,24.0,7.0,7.0,4.0,4.0,2.0,1.0,60.0,43.0,22.0,5.0,7.0,6.0,11.0,2,54.54545454545454,100.0
2016-1003,Doha,Hard,64,I,20160222,281,202469,4,,Garbine Muguruza,R,182.0,ESP,22.37371663,5.0,4642.0,211702,,,Nao Hibino,R,163.0,JPN,21.23477071,60.0,962.0,6-2 6-0,3,R32,58.0,4.0,1.0,46.0,36.0,27.0,5.0,7.0,3.0,3.0,0.0,1.0,40.0,25.0,11.0,6.0,7.0,1.0,6.0,2,16.666666666666664,100.0
2016-560,Us Open,Hard,128,G,20160829,181,211768,,,Naomi Osaka,R,180.0,JPN,18.86926762,81.0,817.0,202504,,,Ying Ying Duan,R,186.0,CHN,27.23887748,103.0,619.0,6-4 7-6(3),3,R64,83.0,8.0,6.0,71.0,33.0,24.0,20.0,11.0,2.0,5.0,4.0,3.0,66.0,45.0,30.0,8.0,11.0,1.0,5.0,2,20.0,40.0
2016-1080,Nottingham,Grass,32,I,20160606,270,202427,2,,Johanna Konta,R,180.0,GBR,25.0568104,18.0,2250.0,202497,,,Victoria Duval,R,,USA,20.5174538,580.0,40.0,6-3 6-0,3,R32,68.0,2.0,4.0,43.0,25.0,19.0,9.0,7.0,1.0,2.0,0.0,5.0,56.0,33.0,16.0,7.0,8.0,7.0,13.0,2,53.84615384615385,50.0
2016-540,Wimbledon,Grass,128,G,20160627,165,202470,,,Annika Beck,R,170.0,GER,22.36002738,43.0,1293.0,205925,,,Aliaksandra Sasnovich,R,174.0,BLR,22.26694045,98.0,673.0,6-2 6-1,3,R64,54.0,1.0,1.0,37.0,25.0,17.0,9.0,8.0,0.0,1.0,3.0,6.0,51.0,26.0,12.0,7.0,7.0,3.0,9.0,2,33.33333333333333,0.0
2016-0703,Stanford,Hard,32,I,20160718,276,202453,,,Saisai Zheng,R,170.0,CHN,22.4476386,74.0,885.0,215064,,WC,Maria Mateas,U,,USA,16.99383984,1058.0,7.0,7-5 6-1,3,R32,85.0,3.0,2.0,60.0,43.0,29.0,8.0,9.0,4.0,6.0,0.0,7.0,58.0,42.0,23.0,3.0,10.0,3.0,9.0,2,33.33333333333333,66.66666666666666
2016-1077,Nanchang,Hard,32,I,20160801,282,203552,7,,Risa Ozaki,R,162.0,JPN,22.31074606,133.0,432.0,204291,,LL,Na Lae Han,L,,KOR,24.07118412,200.0,266.0,6-3 6-1,3,R32,81.0,0.0,3.0,53.0,35.0,21.0,10.0,8.0,2.0,5.0,0.0,3.0,50.0,22.0,8.0,10.0,8.0,5.0,12.0,2,41.66666666666667,40.0
2016-1083,Dalian,Hard,32,I,20160905,270,202504,3,,Ying Ying Duan,R,186.0,CHN,27.25804244,103.0,619.0,204427,,,Sara Sorribes Tormo,R,176.0,ESP,19.90965092,134.0,428.0,6-3 7-5,3,R32,95.0,1.0,3.0,88.0,53.0,30.0,19.0,11.0,9.0,12.0,1.0,5.0,61.0,36.0,23.0,8.0,10.0,0.0,5.0,2,0.0,75.0
2016-M020,Brisbane,Hard,32,I,20160104,298,201493,4,,Angelique Kerber,L,173.0,GER,27.96167009,10.0,3590.0,201521,6,,Carla Suarez Navarro,R,162.0,ESP,27.33470226,13.0,3090.0,6-2 6-3,3,SF,75.0,1.0,0.0,46.0,25.0,17.0,17.0,8.0,2.0,2.0,0.0,2.0,66.0,47.0,24.0,11.0,9.0,3.0,7.0,2,42.857142857142854,100.0
2016-520,French Open,Clay,128,G,20160523,123,201619,15,,Madison Keys,R,178.0,USA,21.26214921,17.0,2482.0,202499,,,Donna Vekic,R,179.0,CRO,19.90143737,96.0,706.0,6-3 6-2,3,R128,64.0,4.0,1.0,46.0,28.0,24.0,8.0,9.0,3.0,4.0,0.0,9.0,67.0,35.0,23.0,8.0,8.0,7.0,12.0,2,58.333333333333336,75.0
2016-580,Australian Open,Hard,128,G,20160118,106,201580,,,Xinyun Han,L,172.0,CHN,25.63723477,162.0,346.0,201531,,,Mariana Duque Marino,R,169.0,COL,26.43394935,77.0,792.0,6-2 2-1,3,R128,53.0,1.0,0.0,30.0,19.0,17.0,6.0,6.0,0.0,0.0,1.0,3.0,33.0,14.0,8.0,9.0,5.0,4.0,7.0,2,57.14285714285714,
2016-1080,Nottingham,Grass,32,I,20160606,282,201599,,LL,Andrea Hlavackova,R,174.0,CZE,29.82340862,192.0,276.0,201518,5,,Yanina Wickmayer,R,182.0,BEL,26.62833676,50.0,1215.0,7-5 7-6(7),3,R32,121.0,6.0,4.0,91.0,49.0,35.0,22.0,12.0,8.0,9.0,7.0,3.0,88.0,54.0,38.0,15.0,12.0,3.0,5.0,2,60.0,88.88888888888889
2016-1059,Taipei,Hard,32,I,20161114,286,201554,,WC,Vitalia Diatchenko,R,170.0,RUS,26.28610541,553.0,47.0,203504,,,Miyu Kato,R,156.0,JPN,21.98220397,192.0,286.0,7-5 6-4,3,R16,81.0,2.0,5.0,62.0,39.0,27.0,10.0,11.0,2.0,6.0,0.0,3.0,64.0,48.0,25.0,5.0,11.0,4.0,10.0,2,40.0,33.33333333333333
2016-1005,Rabat,Clay,32,I,20160425,277,201709,8,,Yulia Putintseva,R,163.0,KAZ,21.29774127,55.0,1073.0,201590,,,Alison Riske,R,175.0,USA,25.81245722,90.0,747.0,6-3 7-6(1),3,R32,110.0,0.0,3.0,69.0,47.0,29.0,14.0,11.0,3.0,6.0,0.0,7.0,65.0,40.0,25.0,10.0,10.0,3.0,7.0,2,42.857142857142854,50.0
2016-M001,Sydney,Hard,32,I,20160111,295,201662,5,,Karolina Pliskova,R,184.0,CZE,23.80835044,11.0,3285.0,201499,,,Anastasia Pavlyuchenkova,R,177.0,RUS,24.52566735,28.0,1880.0,6-3 6-0,3,R16,58.0,3.0,2.0,43.0,22.0,18.0,12.0,8.0,0.0,1.0,2.0,9.0,51.0,24.0,13.0,9.0,7.0,6.0,11.0,2,54.54545454545454,0.0
2016-0804,Charleston,Clay,64,I,20160404,277,201506,5,,Sara Errani,R,164.0,ITA,28.93360712,20.0,2420.0,201468,,,Yaroslava Shvedova,R,180.0,KAZ,28.56125941,70.0,914.0,6-0 6-3,3,R32,68.0,0.0,0.0,47.0,40.0,20.0,5.0,7.0,4.0,7.0,0.0,2.0,50.0,30.0,11.0,4.0,8.0,6.0,14.0,2,42.857142857142854,57.14285714285714
