surface,winner_hand,winner_ht,winner_age,winner_rank,loser_name,loser_hand,loser_ht,loser_age,loser_rank,score,num_sets
Hard,R,177.0,24.5065024,28.0,Timea Bacsinszky,R,170.0,26.57357974,12.0,6-2 6-1,2
Hard,R,173.0,25.94934976,43.0,Kristina Mladenovic,R,184.0,22.64202601,29.0,6-3 6-4,2
Hard,R,168.0,25.75496235,40.0,Kateryna Bondarenko,R,175.0,29.407255300000006,89.0,6-4 4-6 6-4,3
Hard,L,173.0,27.96167009,10.0,Camila Giorgi,R,168.0,24.01368925,35.0,5-7 6-3 6-0,3
Hard,R,162.0,27.33470226,13.0,Ajla Tomljanovic,R,180.0,22.66119097,65.0,6-1 6-2,2
Hard,R,172.0,31.76454483,27.0,Jana Cepelova,R,168.0,22.60095825,147.0,6-4 3-6 6-4,3
Hard,L,180.0,29.62354552,47.0,Anna Karolina Schmiedlova,R,176.0,21.30869268,26.0,6-2 6-1,2
Hard,R,170.0,26.83093771,5.0,Alison Riske,R,175.0,25.50581793,97.0,6-3 6-2,2
Hard,R,170.0,26.83093771,5.0,Anna Lena Friedsam,R,174.0,21.92197125,95.0,6-2 6-4,2
Hard,R,175.0,25.50581793,97.0,Timea Babos,R,179.0,22.65297741,70.0,6-2 6-4,2
Hard,R,170.0,26.83093771,5.0,Qiang Wang,R,172.0,23.97262149,110.0,6-3 6-2,2
Hard,R,174.0,21.92197125,95.0,Katerina Siniakova,R,174.0,19.65229295,102.0,6-4 2-6 6-1,3
Hard,R,179.0,22.65297741,70.0,Eugenie Bouchard,R,178.0,21.85626283,49.0,6-4 6-4,2
Hard,R,175.0,25.50581793,97.0,Anett Kontaveit,R,174.0,20.03011636,91.0,6-1 3-6 6-3,3
Hard,R,170.0,26.83093771,5.0,Shuai Zhang,R,177.0,26.95140315,139.0,6-1 7-5,2
Hard,R,172.0,23.97262149,110.0,Vania King,R,165.0,26.83915127,412.0,7-6(3) 6-3,2
Hard,R,174.0,21.92197125,95.0,Irina Camelia Begu,R,181.0,25.35797399,31.0,7-5 3-2 RET,2
Hard,R,174.0,19.65229295,102.0,Zarina Diyas,R,172.0,22.21218344,52.0,6-0 6-4,2
Hard,R,178.0,21.85626283,49.0,Nicole Gibbs,R,168.0,22.83915127,109.0,6-4 6-2,2
Hard,R,179.0,22.65297741,70.0,Monica Niculescu,R,168.0,28.27652293,39.0,6-1 6-4,2
Hard,R,175.0,25.50581793,97.0,Su Wei Hsieh,R,169.0,29.99863107,93.0,3-6 7-5 6-1,3
Hard,R,174.0,20.03011636,91.0,Saisai Zheng,R,170.0,21.91101985,72.0,6-1 6-2,2
Hard,R,170.0,26.83093771,5.0,Aleksandra Krunic,R,163.0,22.80629706,108.0,6-4 6-3,2
Hard,R,177.0,26.95140315,139.0,Irina Khromacheva,L,167.0,20.64887064,180.0,6-3 6-3,2
Hard,R,165.0,26.83915127,412.0,Stefanie Voegele,R,170.0,25.82067077,119.0,7-5 6-4,2
Hard,R,172.0,23.97262149,110.0,Johanna Konta,R,180.0,24.63518138,48.0,6-3 3-6 6-3,3
Hard,R,181.0,25.35797399,31.0,Lara Arruabarrena,R,166.0,23.79192334,86.0,6-3 6-2,2
Hard,R,174.0,21.92197125,95.0,Bojana Jovanovski,R,175.0,24.0109514,79.0,6-0 6-3,2
Hard,R,174.0,19.65229295,102.0,Cristina Andreea Mitu,R,175.0,24.28473648,96.0,6-3 6-3,2
Hard,R,172.0,22.21218344,52.0,Kai Lin Zhang,U,173.0,25.93292266,140.0,6-4 7-6(3),2
Hard,R,178.0,21.85626283,49.0,Donna Vekic,R,179.0,19.51813826,103.0,6-4 1-6 7-5,3
Hard,R,168.0,22.83915127,109.0,Tereza Smitkova,R,176.0,21.23477071,125.0,6-0 6-2,2
Hard,R,179.0,22.65297741,70.0,Evgeniya Rodina,R,170.0,26.91307324,87.0,6-3 6-2,2
Hard,R,168.0,28.27652293,39.0,Anastasija Sevastova,U,169.0,25.72758385,113.0,1-6 6-4 6-3,3
Hard,R,175.0,25.50581793,97.0,Annika Beck,R,170.0,21.88090349,58.0,6-7(3) 6-3 6-2,3
Hard,R,169.0,29.99863107,93.0,Ying Ying Duan,R,186.0,26.58726899,118.0,6-4 7-5,2
Hard,R,174.0,20.03011636,91.0,Yaroslava Shvedova,R,180.0,28.31211499,67.0,6-4 7-6(5),2
Hard,R,170.0,21.91101985,72.0,Petra Kvitova,L,183.0,25.82614648,6.0,6-2 0-0 RET,2
