tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets
2017-1049,Auckland,Hard,32,I,20170102,300,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,6-3 6-1,3,F,71.0,1.0,1.0,54.0,26.0,19.0,18.0,8.0,2.0,3.0,2.0,5.0,51.0,23.0,14.0,10.0,8.0,3.0,8.0,2
2017-1049,Auckland,Hard,32,I,20170102,299,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,19.57015743,44.0,1225.0,4-6 6-4 4-1 RET,3,SF,116.0,3.0,6.0,94.0,61.0,42.0,13.0,13.0,11.0,15.0,5.0,10.0,76.0,46.0,31.0,8.0,12.0,5.0,10.0,3
2017-1049,Auckland,Hard,32,I,20170102,298,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,201504,,,Julia Goerges,R,180.0,GER,28.1670089,53.0,1110.0,6-3 4-6 6-3,3,SF,123.0,4.0,8.0,94.0,46.0,33.0,28.0,14.0,7.0,9.0,7.0,4.0,91.0,51.0,35.0,19.0,14.0,8.0,12.0,3
2017-1049,Auckland,Hard,32,I,20170102,297,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,19.57015743,44.0,1225.0,201483,,,Madison Brengle,R,168.0,USA,26.75154004,72.0,870.0,7-5 6-3,3,QF,87.0,4.0,6.0,72.0,40.0,27.0,14.0,11.0,6.0,10.0,0.0,2.0,68.0,39.0,22.0,10.0,10.0,5.0,11.0,2
2017-1049,Auckland,Hard,32,I,20170102,296,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,201366,4.0,,Barbora Zahlavova Strycova,R,164.0,CZE,30.76796715,20.0,2170.0,6-1 7-6(4),3,QF,104.0,0.0,3.0,78.0,50.0,35.0,13.0,10.0,5.0,7.0,1.0,3.0,65.0,45.0,28.0,5.0,9.0,6.0,10.0,2
2017-1049,Auckland,Hard,32,I,20170102,295,201504,,,Julia Goerges,R,180.0,GER,28.1670089,53.0,1110.0,201496,3.0,,Caroline Wozniacki,R,177.0,DEN,26.48049281,19.0,2185.0,1-6 6-3 6-4,3,QF,107.0,9.0,10.0,79.0,48.0,33.0,12.0,13.0,4.0,9.0,1.0,3.0,77.0,57.0,34.0,9.0,13.0,5.0,10.0,3
2017-1049,Auckland,Hard,32,I,20170102,294,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,211768,,,Naomi Osaka,R,180.0,JPN,19.21423682,48.0,1161.0,2-0 RET,3,QF,13.0,1.0,3.0,8.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,2.0,1.0,2.0,1.0,0.0,1.0,1
2017-1049,Auckland,Hard,32,I,20170102,293,201483,,,Madison Brengle,R,168.0,USA,26.75154004,72.0,870.0,200033,1.0,,Serena Williams,R,175.0,USA,35.26899384,2.0,7050.0,6-4 6-7(3) 6-4,3,R16,133.0,0.0,4.0,115.0,82.0,55.0,17.0,16.0,10.0,12.0,9.0,4.0,95.0,59.0,44.0,17.0,16.0,4.0,8.0,3
2017-1049,Auckland,Hard,32,I,20170102,292,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,19.57015743,44.0,1225.0,200002,,,Mirjana Lucic,R,181.0,CRO,34.81998631,79.0,781.0,6-2 7-6(3),3,R16,83.0,3.0,9.0,59.0,26.0,18.0,18.0,10.0,2.0,5.0,5.0,6.0,81.0,43.0,22.0,17.0,10.0,8.0,13.0,2
2017-1049,Auckland,Hard,32,I,20170102,291,201366,4.0,,Barbora Zahlavova Strycova,R,164.0,CZE,30.76796715,20.0,2170.0,201425,,,Lucie Safarova,L,177.0,CZE,29.91101985,62.0,940.0,7-5 3-6 7-6(4),3,R16,169.0,6.0,2.0,108.0,75.0,52.0,15.0,17.0,8.0,13.0,7.0,1.0,110.0,63.0,40.0,25.0,16.0,7.0,11.0,3
2017-1049,Auckland,Hard,32,I,20170102,290,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,201597,,,Kurumi Nara,R,171.0,JPN,25.01026694,76.0,797.0,6-3 6-3,3,R16,85.0,2.0,4.0,70.0,43.0,26.0,13.0,9.0,3.0,6.0,0.0,3.0,54.0,31.0,15.0,7.0,9.0,6.0,12.0,2
2017-1049,Auckland,Hard,32,I,20170102,289,201504,,,Julia Goerges,R,180.0,GER,28.1670089,53.0,1110.0,201648,,,Naomi Broady,R,189.0,GBR,26.84462697,90.0,720.0,7-5 6-4,3,R16,83.0,4.0,5.0,59.0,35.0,29.0,13.0,11.0,1.0,3.0,7.0,3.0,73.0,45.0,26.0,12.0,11.0,5.0,9.0,2
2017-1049,Auckland,Hard,32,I,20170102,288,201496,3.0,,Caroline Wozniacki,R,177.0,DEN,26.48049281,19.0,2185.0,201478,,,Varvara Lepchenko,L,180.0,USA,30.620123200000002,89.0,723.0,6-3 6-3,3,R16,77.0,0.0,1.0,46.0,32.0,19.0,8.0,9.0,0.0,3.0,0.0,3.0,60.0,40.0,21.0,5.0,9.0,4.0,10.0,2
2017-1049,Auckland,Hard,32,I,20170102,287,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,201518,,,Yanina Wickmayer,R,182.0,BEL,27.20328542,58.0,984.0,6-1 6-2,3,R16,57.0,8.0,0.0,44.0,22.0,15.0,18.0,7.0,2.0,2.0,1.0,2.0,48.0,32.0,17.0,6.0,8.0,4.0,9.0,2
2017-1049,Auckland,Hard,32,I,20170102,286,211768,,,Naomi Osaka,R,180.0,JPN,19.21423682,48.0,1161.0,200748,2.0,,Venus Williams,R,185.0,USA,36.54483231,17.0,2240.0,W/O,3,R16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017-1049,Auckland,Hard,32,I,20170102,285,200033,1.0,,Serena Williams,R,175.0,USA,35.26899384,2.0,7050.0,201426,,,Pauline Parmentier,R,175.0,FRA,30.92128679,69.0,886.0,6-3 6-4,3,R32,75.0,8.0,4.0,63.0,30.0,24.0,17.0,10.0,8.0,10.0,2.0,2.0,49.0,29.0,17.0,10.0,9.0,1.0,5.0,2
2017-1049,Auckland,Hard,32,I,20170102,284,201483,,,Madison Brengle,R,168.0,USA,26.75154004,72.0,870.0,211222,,Q,Jamie Loeb,U,,USA,21.82340862,188.0,287.0,6-4 7-6(5),3,R32,94.0,1.0,0.0,76.0,61.0,36.0,6.0,11.0,3.0,6.0,1.0,3.0,75.0,41.0,27.0,13.0,11.0,0.0,4.0,2
2017-1049,Auckland,Hard,32,I,20170102,283,200002,,,Mirjana Lucic,R,181.0,CRO,34.81998631,79.0,781.0,201621,,Q,Mona Barthel,R,185.0,GER,26.48049281,157.0,354.0,6-3 3-6 6-3,3,R32,110.0,3.0,9.0,106.0,63.0,44.0,22.0,14.0,10.0,12.0,6.0,6.0,90.0,57.0,37.0,17.0,13.0,12.0,15.0,3
2017-1049,Auckland,Hard,32,I,20170102,282,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,19.57015743,44.0,1225.0,201523,,WC,Marina Erakovic,R,174.0,NZL,28.82683094,105.0,611.0,6-1 6-2,3,R32,69.0,5.0,4.0,48.0,31.0,23.0,7.0,7.0,0.0,1.0,4.0,4.0,63.0,36.0,20.0,7.0,8.0,7.0,13.0,2
2017-1049,Auckland,Hard,32,I,20170102,281,201366,4.0,,Barbora Zahlavova Strycova,R,164.0,CZE,30.76796715,20.0,2170.0,211700,,Q,Barbora Stefkova,U,,CZE,21.74948665,171.0,332.0,6-4 6-3,3,R32,96.0,1.0,2.0,65.0,44.0,26.0,9.0,9.0,4.0,7.0,0.0,6.0,73.0,48.0,26.0,9.0,10.0,3.0,9.0,2
2017-1049,Auckland,Hard,32,I,20170102,280,201425,,,Lucie Safarova,L,177.0,CZE,29.91101985,62.0,940.0,202653,,,Denisa Allertova,R,180.0,CZE,23.82477755,91.0,718.0,6-1 6-2,3,R32,63.0,8.0,3.0,41.0,23.0,18.0,9.0,7.0,0.0,1.0,3.0,9.0,57.0,30.0,15.0,7.0,8.0,5.0,11.0,2
2017-1049,Auckland,Hard,32,I,20170102,279,201597,,,Kurumi Nara,R,171.0,JPN,25.01026694,76.0,797.0,204430,,WC,Antonia Lottner,R,,GER,20.38877481,180.0,313.0,6-2 6-2,3,R32,64.0,2.0,1.0,53.0,37.0,24.0,7.0,8.0,4.0,6.0,1.0,2.0,40.0,28.0,10.0,5.0,8.0,3.0,9.0,2
2017-1049,Auckland,Hard,32,I,20170102,278,201616,,,Lauren Davis,R,157.0,USA,23.23340178,61.0,960.0,202428,5.0,,Kiki Bertens,R,182.0,NED,25.06502396,22.0,1977.0,7-6(3) 6-4,3,R32,150.0,1.0,2.0,74.0,44.0,28.0,17.0,11.0,1.0,4.0,6.0,5.0,74.0,46.0,28.0,14.0,11.0,2.0,6.0,2
2017-1049,Auckland,Hard,32,I,20170102,277,201504,,,Julia Goerges,R,180.0,GER,28.1670089,53.0,1110.0,201499,6.0,,Anastasia Pavlyuchenkova,R,177.0,RUS,25.50308008,27.0,1620.0,6-3 6-4,3,R32,86.0,8.0,2.0,70.0,48.0,37.0,11.0,10.0,6.0,6.0,2.0,1.0,66.0,40.0,25.0,15.0,9.0,8.0,10.0,2
2017-1049,Auckland,Hard,32,I,20170102,276,201648,,,Naomi Broady,R,189.0,GBR,26.84462697,90.0,720.0,203575,,,Danka Kovinic,R,169.0,MNE,22.12457221,70.0,885.0,7-6(5) 6-3,3,R32,108.0,5.0,4.0,72.0,37.0,28.0,15.0,10.0,4.0,7.0,4.0,2.0,97.0,64.0,40.0,11.0,11.0,12.0,17.0,2
2017-1049,Auckland,Hard,32,I,20170102,275,201478,,,Varvara Lepchenko,L,180.0,USA,30.620123200000002,89.0,723.0,201613,,Q,Arina Rodionova,R,168.0,RUS,27.04996578,187.0,290.0,6-3 6-4,3,R32,71.0,3.0,1.0,54.0,35.0,27.0,15.0,10.0,0.0,0.0,1.0,0.0,46.0,37.0,25.0,6.0,9.0,2.0,4.0,2
2017-1049,Auckland,Hard,32,I,20170102,274,201496,3.0,,Caroline Wozniacki,R,177.0,DEN,26.48049281,19.0,2185.0,202484,,,Nicole Gibbs,R,168.0,USA,23.83572895,88.0,742.0,6-1 6-0,3,R32,50.0,1.0,0.0,36.0,25.0,22.0,7.0,7.0,0.0,0.0,0.0,4.0,38.0,21.0,10.0,5.0,6.0,3.0,8.0,2
2017-1049,Auckland,Hard,32,I,20170102,273,211951,8.0,,Ana Konjuh,R,174.0,CRO,19.01711157,47.0,1189.0,201465,,,Kirsten Flipkens,R,165.0,BEL,30.97878166,64.0,923.0,6-4 3-6 6-3,3,R32,124.0,10.0,6.0,105.0,57.0,41.0,25.0,14.0,6.0,8.0,2.0,3.0,87.0,47.0,33.0,22.0,14.0,4.0,7.0,3
2017-1049,Auckland,Hard,32,I,20170102,272,201518,,,Yanina Wickmayer,R,182.0,BEL,27.20328542,58.0,984.0,201596,,,Johanna Larsson,R,174.0,SWE,28.37782341,50.0,1150.0,6-1 6-2,3,R32,60.0,6.0,1.0,46.0,31.0,27.0,6.0,8.0,2.0,2.0,0.0,3.0,50.0,31.0,15.0,8.0,7.0,7.0,11.0,2
2017-1049,Auckland,Hard,32,I,20170102,271,211768,,,Naomi Osaka,R,180.0,JPN,19.21423682,48.0,1161.0,202470,,,Annika Beck,R,170.0,GER,22.87748118,51.0,1125.0,6-2 6-4,3,R32,94.0,6.0,3.0,45.0,22.0,18.0,13.0,9.0,2.0,4.0,0.0,2.0,67.0,48.0,27.0,6.0,9.0,7.0,12.0,2
2017-1049,Auckland,Hard,32,I,20170102,270,200748,2.0,,Venus Williams,R,185.0,USA,36.54483231,17.0,2240.0,213674,,WC,Jade Lewis,R,,NZL,18.04243669,1099.0,6.0,7-6(2) 6-2,3,R32,88.0,4.0,8.0,80.0,52.0,32.0,11.0,10.0,8.0,12.0,0.0,1.0,72.0,51.0,25.0,6.0,10.0,3.0,9.0,2
2017-M020,Brisbane,Hard,32,I,20170102,300,201662,3.0,,Karolina Pliskova,R,184.0,CZE,24.78576318,6.0,4600.0,201427,,,Alize Cornet,R,173.0,FRA,26.94592745,41.0,1242.0,6-0 6-3,3,F,66.0,7.0,0.0,45.0,21.0,19.0,13.0,7.0,0.0,0.0,1.0,3.0,50.0,24.0,15.0,6.0,8.0,3.0,8.0,2
2017-M020,Brisbane,Hard,32,I,20170102,299,201662,3.0,,Karolina Pliskova,R,184.0,CZE,24.78576318,6.0,4600.0,202494,6.0,,Elina Svitolina,R,174.0,UKR,22.30800821,14.0,2895.0,6-2 6-4,3,SF,64.0,7.0,3.0,52.0,28.0,27.0,11.0,9.0,3.0,3.0,1.0,6.0,50.0,30.0,23.0,6.0,9.0,4.0,7.0,2
2017-M020,Brisbane,Hard,32,I,20170102,298,201427,,,Alize Cornet,R,173.0,FRA,26.94592745,41.0,1242.0,202469,4.0,,Garbine Muguruza,R,182.0,ESP,23.23613963,7.0,4236.0,4-1 RET,3,SF,28.0,0.0,1.0,17.0,11.0,9.0,4.0,3.0,2.0,2.0,0.0,3.0,24.0,13.0,9.0,3.0,2.0,2.0,3.0,1
2017-M020,Brisbane,Hard,32,I,20170102,297,202494,6.0,,Elina Svitolina,R,174.0,UKR,22.30800821,14.0,2895.0,201493,1.0,,Angelique Kerber,L,173.0,GER,28.95824778,1.0,9080.0,6-4 3-6 6-3,3,QF,117.0,7.0,1.0,84.0,56.0,34.0,16.0,14.0,3.0,7.0,1.0,5.0,102.0,69.0,38.0,16.0,14.0,7.0,12.0,3
2017-M020,Brisbane,Hard,32,I,20170102,296,201662,3.0,,Karolina Pliskova,R,184.0,CZE,24.78576318,6.0,4600.0,201311,8.0,,Roberta Vinci,R,163.0,ITA,33.87268994,18.0,2210.0,3-6 6-2 6-2,3,QF,111.0,11.0,3.0,74.0,37.0,30.0,18.0,12.0,5.0,7.0,6.0,4.0,101.0,53.0,29.0,23.0,13.0,13.0,18.0,3
2017-M020,Brisbane,Hard,32,I,20170102,295,202469,4.0,,Garbine Muguruza,R,182.0,ESP,23.23613963,7.0,4236.0,201320,5.0,,Svetlana Kuznetsova,R,174.0,RUS,31.51813826,9.0,4115.0,7-5 6-4,3,QF,109.0,1.0,2.0,74.0,52.0,38.0,7.0,11.0,4.0,6.0,5.0,5.0,72.0,32.0,21.0,19.0,11.0,5.0,9.0,2
2017-M020,Brisbane,Hard,32,I,20170102,294,201427,,,Alize Cornet,R,173.0,FRA,26.94592745,41.0,1242.0,201495,2.0,,Dominika Cibulkova,R,161.0,SVK,27.6605065,5.0,4875.0,6-3 7-5,3,QF,123.0,6.0,10.0,78.0,42.0,29.0,15.0,11.0,8.0,11.0,0.0,3.0,75.0,47.0,25.0,13.0,10.0,4.0,9.0,2
2017-M020,Brisbane,Hard,32,I,20170102,293,201493,1.0,,Angelique Kerber,L,173.0,GER,28.95824778,1.0,9080.0,202458,,WC,Ashleigh Barty,R,166.0,AUS,20.69267625,271.0,167.0,6-3 2-6 6-3,3,R16,104.0,5.0,9.0,93.0,55.0,34.0,19.0,13.0,7.0,10.0,3.0,2.0,81.0,49.0,32.0,14.0,13.0,6.0,10.0,3
2017-M020,Brisbane,Hard,32,I,20170102,292,202494,6.0,,Elina Svitolina,R,174.0,UKR,22.30800821,14.0,2895.0,201603,,,Shelby Rogers,R,175.0,USA,24.22176591,59.0,977.0,7-5 2-6 7-5,3,R16,141.0,4.0,3.0,91.0,50.0,32.0,20.0,16.0,3.0,9.0,3.0,3.0,100.0,59.0,34.0,19.0,16.0,5.0,11.0,3
2017-M020,Brisbane,Hard,32,I,20170102,291,201662,3.0,,Karolina Pliskova,R,184.0,CZE,24.78576318,6.0,4600.0,201534,,Q,Asia Muhammed,R,,USA,25.74948665,189.0,286.0,6-1 6-4,3,R16,74.0,4.0,3.0,49.0,26.0,20.0,13.0,8.0,0.0,1.0,2.0,3.0,61.0,41.0,24.0,5.0,9.0,0.0,5.0,2
2017-M020,Brisbane,Hard,32,I,20170102,290,201311,8.0,,Roberta Vinci,R,163.0,ITA,33.87268994,18.0,2210.0,201595,,,Misaki Doi,L,159.0,JPN,25.68104038,40.0,1245.0,6-4 6-2,3,R16,79.0,0.0,2.0,51.0,23.0,16.0,19.0,9.0,0.0,1.0,3.0,2.0,70.0,48.0,28.0,8.0,9.0,8.0,12.0,2
2017-M020,Brisbane,Hard,32,I,20170102,289,201320,5.0,,Svetlana Kuznetsova,R,174.0,RUS,31.51813826,9.0,4115.0,215018,,Q,Destanee Aiava,R,,AUS,16.64887064,386.0,92.0,6-4 6-3,3,R16,70.0,8.0,2.0,46.0,33.0,27.0,6.0,9.0,2.0,3.0,2.0,3.0,63.0,31.0,21.0,14.0,10.0,2.0,6.0,2
2017-M020,Brisbane,Hard,32,I,20170102,288,202469,4.0,,Garbine Muguruza,R,182.0,ESP,23.23613963,7.0,4236.0,214082,,,Darya Kasatkina,R,170.0,RUS,19.65776865,26.0,1630.0,7-5 3-6 7-6(7),3,R16,178.0,3.0,4.0,98.0,69.0,37.0,12.0,16.0,4.0,12.0,6.0,6.0,134.0,77.0,39.0,26.0,17.0,11.0,19.0,3
2017-M020,Brisbane,Hard,32,I,20170102,287,201427,,,Alize Cornet,R,173.0,FRA,26.94592745,41.0,1242.0,201539,,,Christina Mchale,R,170.0,USA,24.64613279,45.0,1225.0,6-2 6-1,3,R16,81.0,3.0,4.0,51.0,30.0,20.0,13.0,8.0,3.0,4.0,1.0,1.0,46.0,25.0,13.0,6.0,7.0,7.0,12.0,2
2017-M020,Brisbane,Hard,32,I,20170102,286,201495,2.0,,Dominika Cibulkova,R,161.0,SVK,27.6605065,5.0,4875.0,201533,,,Shuai Zhang,R,177.0,CHN,27.94798084,23.0,1860.0,2-6 6-4 6-4,3,R16,138.0,0.0,7.0,103.0,67.0,37.0,20.0,14.0,6.0,11.0,9.0,3.0,89.0,52.0,34.0,15.0,14.0,1.0,6.0,3
2017-M020,Brisbane,Hard,32,I,20170102,284,202458,,WC,Ashleigh Barty,R,166.0,AUS,20.69267625,271.0,167.0,202434,,Q,Aleksandra Krunic,R,163.0,SRB,23.80287474,141.0,419.0,6-2 6-2,3,R32,66.0,5.0,1.0,48.0,30.0,23.0,8.0,8.0,2.0,4.0,0.0,0.0,52.0,36.0,17.0,5.0,8.0,2.0,8.0,2
2017-M020,Brisbane,Hard,32,I,20170102,283,201603,,,Shelby Rogers,R,175.0,USA,24.22176591,59.0,977.0,202446,,,Eugenie Bouchard,R,178.0,CAN,22.85284052,46.0,1210.0,6-2 2-6 6-1,3,R32,113.0,8.0,1.0,94.0,61.0,42.0,11.0,12.0,9.0,12.0,7.0,4.0,72.0,47.0,30.0,9.0,11.0,3.0,8.0,3
2017-M020,Brisbane,Hard,32,I,20170102,282,202494,6.0,,Elina Svitolina,R,174.0,UKR,22.30800821,14.0,2895.0,201620,,,Monica Puig,R,170.0,PUR,23.26625599,32.0,1490.0,6-3 6-3,3,R32,76.0,3.0,6.0,58.0,29.0,23.0,15.0,9.0,1.0,2.0,2.0,4.0,55.0,28.0,19.0,9.0,9.0,6.0,10.0,2
2017-M020,Brisbane,Hard,32,I,20170102,281,201662,3.0,,Karolina Pliskova,R,184.0,CZE,24.78576318,6.0,4600.0,201709,,,Yulia Putintseva,R,163.0,KAZ,21.98767967,33.0,1450.0,6-3 6-1,3,R32,62.0,12.0,0.0,39.0,24.0,22.0,4.0,8.0,0.0,2.0,1.0,3.0,58.0,36.0,18.0,8.0,8.0,6.0,12.0,2
2017-M020,Brisbane,Hard,32,I,20170102,280,201534,,Q,Asia Muhammed,R,,USA,25.74948665,189.0,286.0,202499,,WC,Donna Vekic,R,179.0,CRO,20.51471595,99.0,658.0,7-6(5) 6-1,3,R32,81.0,6.0,2.0,64.0,48.0,34.0,9.0,10.0,2.0,4.0,0.0,4.0,54.0,30.0,18.0,12.0,9.0,1.0,5.0,2
2017-M020,Brisbane,Hard,32,I,20170102,279,201595,,,Misaki Doi,L,159.0,JPN,25.68104038,40.0,1245.0,201505,,,Ekaterina Makarova,L,178.0,RUS,28.57221081,30.0,1530.0,7-6(1) 6-4,3,R32,88.0,1.0,1.0,61.0,31.0,24.0,19.0,11.0,0.0,3.0,4.0,4.0,70.0,49.0,29.0,9.0,11.0,1.0,5.0,2
2017-M020,Brisbane,Hard,32,I,20170102,278,201311,8.0,,Roberta Vinci,R,163.0,ITA,33.87268994,18.0,2210.0,201435,,LL,Kateryna Bondarenko,R,175.0,UKR,30.40383299,68.0,890.0,7-6(4) 6-7(4) 7-6(5),3,R32,166.0,1.0,2.0,148.0,93.0,56.0,26.0,18.0,6.0,11.0,4.0,14.0,135.0,85.0,59.0,20.0,18.0,10.0,15.0,3
2017-M020,Brisbane,Hard,32,I,20170102,277,201320,5.0,,Svetlana Kuznetsova,R,174.0,RUS,31.51813826,9.0,4115.0,211635,,,Louisa Chirico,R,,USA,20.63244353,67.0,908.0,6-2 6-4,3,R32,80.0,2.0,3.0,57.0,33.0,23.0,12.0,9.0,4.0,6.0,2.0,1.0,58.0,31.0,15.0,14.0,9.0,0.0,5.0,2
2017-M020,Brisbane,Hard,32,I,20170102,276,215018,,Q,Destanee Aiava,R,,AUS,16.64887064,386.0,92.0,201318,,Q,Bethanie Mattek Sands,R,168.0,USA,31.78097194,177.0,319.0,2-6 6-3 6-4,3,R32,138.0,4.0,8.0,99.0,51.0,38.0,21.0,14.0,5.0,8.0,3.0,2.0,87.0,50.0,33.0,18.0,13.0,3.0,6.0,3
2017-M020,Brisbane,Hard,32,I,20170102,275,214082,,,Darya Kasatkina,R,170.0,RUS,19.65776865,26.0,1630.0,201593,,,Irina Camelia Begu,R,181.0,ROU,26.35455168,29.0,1531.0,6-3 6-3,3,R32,90.0,3.0,3.0,54.0,30.0,26.0,12.0,9.0,0.0,1.0,2.0,5.0,74.0,44.0,26.0,12.0,9.0,9.0,13.0,2
2017-M020,Brisbane,Hard,32,I,20170102,274,202469,4.0,,Garbine Muguruza,R,182.0,ESP,23.23613963,7.0,4236.0,201325,,,Samantha Stosur,R,172.0,AUS,32.76112252,21.0,2115.0,7-5 6-7(2) 7-5,3,R32,165.0,11.0,6.0,111.0,70.0,52.0,21.0,18.0,6.0,8.0,10.0,3.0,106.0,59.0,43.0,26.0,18.0,4.0,8.0,3
2017-M020,Brisbane,Hard,32,I,20170102,273,201427,,,Alize Cornet,R,173.0,FRA,26.94592745,41.0,1242.0,201455,7.0,,Elena Vesnina,R,176.0,RUS,30.42299795,16.0,2252.0,3-6 6-4 7-6(5),3,R32,157.0,5.0,8.0,98.0,58.0,47.0,17.0,16.0,0.0,3.0,2.0,7.0,115.0,66.0,47.0,25.0,15.0,4.0,6.0,3
2017-M020,Brisbane,Hard,32,I,20170102,272,201539,,,Christina Mchale,R,170.0,USA,24.64613279,45.0,1225.0,201506,,,Sara Errani,R,164.0,ITA,29.68104038,49.0,1155.0,6-3 6-3,3,R32,79.0,1.0,3.0,53.0,34.0,23.0,12.0,9.0,0.0,1.0,1.0,1.0,53.0,39.0,22.0,5.0,9.0,3.0,7.0,2
2017-M020,Brisbane,Hard,32,I,20170102,271,201533,,,Shuai Zhang,R,177.0,CHN,27.94798084,23.0,1860.0,201696,,,Laura Siegemund,R,168.0,GER,28.83230664,31.0,1513.0,4-6 7-6(3) 6-3,3,R32,167.0,4.0,5.0,103.0,70.0,40.0,18.0,15.0,6.0,11.0,0.0,9.0,107.0,63.0,38.0,19.0,16.0,3.0,9.0,3
2017-1063,Shenzhen,Hard,32,I,20170102,300,211701,,,Katerina Siniakova,R,174.0,CZE,20.64887064,52.0,1123.0,201590,8.0,,Alison Riske,R,175.0,USA,26.50239562,39.0,1247.0,6-3 6-4,3,F,77.0,1.0,5.0,67.0,45.0,30.0,10.0,10.0,5.0,7.0,0.0,3.0,49.0,33.0,19.0,7.0,9.0,2.0,6.0,2
2017-1063,Shenzhen,Hard,32,I,20170102,299,201590,8.0,,Alison Riske,R,175.0,USA,26.50239562,39.0,1247.0,202429,,,Camila Giorgi,R,168.0,ITA,25.01026694,81.0,769.0,6-3 6-3,3,SF,76.0,2.0,4.0,56.0,42.0,33.0,7.0,9.0,3.0,3.0,6.0,3.0,56.0,30.0,19.0,14.0,9.0,1.0,4.0,2
2017-1063,Shenzhen,Hard,32,I,20170102,298,211701,,,Katerina Siniakova,R,174.0,CZE,20.64887064,52.0,1123.0,202427,3.0,,Johanna Konta,R,180.0,GBR,25.63175907,10.0,3640.0,1-6 6-4 6-4,3,SF,103.0,3.0,4.0,90.0,58.0,37.0,12.0,14.0,5.0,11.0,4.0,3.0,62.0,42.0,27.0,11.0,13.0,3.0,8.0,3
2017-1063,Shenzhen,Hard,32,I,20170102,297,201590,8.0,,Alison Riske,R,175.0,USA,26.50239562,39.0,1247.0,201474,1.0,,Agnieszka Radwanska,R,170.0,POL,27.8275154,3.0,5600.0,6-2 3-6 6-0,3,QF,101.0,1.0,3.0,63.0,45.0,30.0,9.0,11.0,2.0,5.0,3.0,0.0,73.0,49.0,25.0,8.0,12.0,6.0,13.0,3
2017-1063,Shenzhen,Hard,32,I,20170102,296,202429,,,Camila Giorgi,R,168.0,ITA,25.01026694,81.0,769.0,202492,,,Qiang Wang,R,172.0,CHN,24.96919918,71.0,874.0,6-0 6-2,3,QF,64.0,2.0,3.0,56.0,36.0,24.0,10.0,7.0,5.0,6.0,2.0,0.0,44.0,31.0,13.0,3.0,7.0,6.0,12.0,2
2017-1063,Shenzhen,Hard,32,I,20170102,295,202427,3.0,,Johanna Konta,R,180.0,GBR,25.63175907,10.0,3640.0,201697,,,Kristyna Pliskova,L,184.0,CZE,24.78576318,60.0,965.0,6-4 6-7(11) 6-3,3,QF,132.0,7.0,2.0,105.0,69.0,59.0,20.0,16.0,3.0,3.0,15.0,6.0,105.0,76.0,58.0,13.0,15.0,1.0,3.0,3
2017-1063,Shenzhen,Hard,32,I,20170102,294,211701,,,Katerina Siniakova,R,174.0,CZE,20.64887064,52.0,1123.0,211411,,Q,Nina Stojanovic,R,176.0,SRB,20.42710472,142.0,417.0,6-3 6-4,3,QF,77.0,8.0,3.0,61.0,41.0,35.0,9.0,10.0,3.0,3.0,3.0,2.0,53.0,32.0,21.0,11.0,9.0,6.0,8.0,2
2017-1063,Shenzhen,Hard,32,I,20170102,293,201474,1.0,,Agnieszka Radwanska,R,170.0,POL,27.8275154,3.0,5600.0,201514,,,Sorana Cirstea,R,176.0,ROU,26.74058864,78.0,787.0,6-0 6-3,3,R16,78.0,3.0,1.0,48.0,31.0,24.0,7.0,7.0,4.0,5.0,2.0,2.0,66.0,35.0,13.0,15.0,8.0,8.0,14.0,2
2017-1063,Shenzhen,Hard,32,I,20170102,292,201590,8.0,,Alison Riske,R,175.0,USA,26.50239562,39.0,1247.0,201450,,,Tsvetana Pironkova,R,180.0,BUL,29.30595483,63.0,932.0,6-1 6-1,3,R16,69.0,0.0,2.0,36.0,20.0,18.0,11.0,7.0,0.0,0.0,2.0,0.0,62.0,35.0,15.0,14.0,7.0,12.0,17.0,2
