tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-0804,Charleston,Clay,64,I,20160404,258,214082,14,,Darya Kasatkina,R,170.0,RUS,18.91033539,35.0,1367.0,202453,,,Saisai Zheng,R,170.0,CHN,22.16016427,66.0,990.0,6-2 6-1,3,R64,67.0,1.0,3.0,42.0,26.0,18.0,10.0,7.0,5.0,6.0,0.0,1.0,47.0,28.0,9.0,8.0,8.0,4.0,10.0,2,40.0,83.33333333333334
2016-0406,Strasbourg,Hard,32,I,20160516,282,201455,7,,Elena Vesnina,R,176.0,RUS,29.79055441,47.0,1159.0,202453,,,Saisai Zheng,R,170.0,CHN,22.275154,82.0,805.0,7-5 2-6 7-6(5),3,R32,189.0,3.0,3.0,124.0,72.0,44.0,26.0,16.0,12.0,18.0,8.0,5.0,121.0,64.0,39.0,28.0,16.0,12.0,17.0,3,70.58823529411765,66.66666666666666
2016-520,French Open,Clay,128,G,20160523,111,201495,22,,Dominika Cibulkova,R,161.0,SVK,27.04722793,25.0,1951.0,202453,,,Saisai Zheng,R,170.0,CHN,22.29431896,85.0,790.0,6-3 6-1,3,R128,86.0,0.0,1.0,59.0,34.0,22.0,14.0,8.0,3.0,4.0,1.0,6.0,50.0,26.0,15.0,9.0,8.0,5.0,10.0,2,50.0,75.0
2016-1080,Nottingham,Grass,32,I,20160606,298,201590,,,Alison Riske,R,175.0,USA,25.92744695,89.0,787.0,202453,,,Saisai Zheng,R,170.0,CHN,22.33264887,86.0,790.0,6-1 7-5,3,SF,86.0,3.0,4.0,59.0,46.0,31.0,6.0,10.0,5.0,8.0,1.0,1.0,59.0,39.0,20.0,5.0,9.0,8.0,14.0,2,57.14285714285714,62.5
2016-1080,Nottingham,Grass,32,I,20160606,294,202453,,,Saisai Zheng,R,170.0,CHN,22.33264887,86.0,790.0,202478,,Q,Tara Moore,R,163.0,GBR,23.8329911,280.0,157.0,6-2 6-4,3,QF,83.0,1.0,2.0,61.0,37.0,27.0,16.0,9.0,4.0,4.0,2.0,5.0,50.0,30.0,21.0,10.0,9.0,2.0,5.0,2,40.0,100.0
2016-1080,Nottingham,Grass,32,I,20160606,286,202453,,,Saisai Zheng,R,170.0,CHN,22.33264887,86.0,790.0,202427,2,,Johanna Konta,R,180.0,GBR,25.0568104,18.0,2250.0,6-4 7-5,3,R16,120.0,0.0,1.0,76.0,39.0,24.0,17.0,11.0,7.0,10.0,2.0,4.0,63.0,39.0,24.0,9.0,11.0,3.0,8.0,2,37.5,70.0
2016-1080,Nottingham,Grass,32,I,20160606,271,202453,,,Saisai Zheng,R,170.0,CHN,22.33264887,86.0,790.0,212043,,WC,Freya Christie,U,,GBR,18.57631759,314.0,126.0,6-4 6-2,3,R32,87.0,0.0,0.0,56.0,31.0,21.0,19.0,9.0,3.0,3.0,6.0,3.0,63.0,45.0,25.0,10.0,9.0,8.0,11.0,2,72.72727272727273,100.0
2016-1091,Mallorca,Grass,32,I,20160613,283,202705,,Q,Veronica Cepede Royg,R,163.0,PAR,24.39425051,135.0,425.0,202453,,,Saisai Zheng,R,170.0,CHN,22.35181383,78.0,885.0,6-4 6-3,3,R32,78.0,0.0,2.0,57.0,38.0,24.0,10.0,10.0,2.0,5.0,3.0,3.0,51.0,33.0,18.0,7.0,9.0,2.0,7.0,2,28.57142857142857,40.0
2016-0710,Eastbourne,Grass,64,I,20160620,240,201492,,,Andrea Petkovic,R,180.0,GER,28.78028747,34.0,1485.0,202453,,LL,Saisai Zheng,R,170.0,CHN,22.37097878,79.0,885.0,5-7 6-2 6-4,3,R64,162.0,0.0,5.0,96.0,72.0,43.0,10.0,15.0,3.0,9.0,1.0,6.0,102.0,55.0,31.0,20.0,15.0,5.0,13.0,3,38.46153846153847,33.33333333333333
2016-540,Wimbledon,Grass,128,G,20160627,149,206289,,,Maria Sakkari,R,172.0,GRE,20.92539357,115.0,580.0,202453,,,Saisai Zheng,R,170.0,CHN,22.39014374,79.0,885.0,6-3 6-2,3,R128,82.0,0.0,1.0,62.0,44.0,31.0,7.0,9.0,4.0,6.0,0.0,2.0,57.0,34.0,20.0,7.0,8.0,6.0,11.0,2,54.54545454545454,66.66666666666666
