tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,num_sets,l_pctbpSaved,w_pctbpSaved
2016-M007,Miami,Hard,128,P,20160321,262,201520,8,,Petra Kvitova,L,183.0,CZE,26.03696099,7.0,3698.0,201604,,,Irina Falconi,R,163.0,USA,25.88090349,83.0,775.0,6-1 6-4,3,R64,74.0,4.0,5.0,51.0,27.0,24.0,11.0,9.0,0.0,1.0,0.0,2.0,61.0,44.0,25.0,6.0,8.0,8.0,12.0,2,66.66666666666666,0.0
2016-1051,Stuttgart,Clay,32,I,20160418,298,201493,2,,Angelique Kerber,L,173.0,GER,28.24914442,3.0,5740.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.11362081,7.0,3763.0,6-4 4-6 6-2,3,SF,123.0,1.0,4.0,100.0,68.0,47.0,13.0,14.0,10.0,13.0,4.0,9.0,79.0,52.0,38.0,8.0,14.0,5.0,10.0,3,50.0,76.92307692307693
2016-1051,Stuttgart,Clay,32,I,20160418,295,201520,5,,Petra Kvitova,L,183.0,CZE,26.11362081,7.0,3763.0,202469,3,,Garbine Muguruza,R,182.0,ESP,22.52703628,4.0,4831.0,6-1 3-6 6-0,3,QF,99.0,6.0,0.0,65.0,44.0,33.0,10.0,11.0,0.0,1.0,6.0,7.0,77.0,51.0,33.0,7.0,11.0,5.0,10.0,3,50.0,0.0
2016-1051,Stuttgart,Clay,32,I,20160418,289,201520,5,,Petra Kvitova,L,183.0,CZE,26.11362081,7.0,3763.0,201512,,,Monica Niculescu,R,168.0,ROU,28.56399726,31.0,1495.0,2-6 7-6(5) 6-2,3,R16,162.0,3.0,5.0,97.0,55.0,34.0,21.0,14.0,6.0,11.0,0.0,2.0,106.0,81.0,47.0,12.0,14.0,6.0,11.0,3,54.54545454545454,54.54545454545454
2016-1051,Stuttgart,Clay,32,I,20160418,277,201520,5,,Petra Kvitova,L,183.0,CZE,26.11362081,7.0,3763.0,211635,,Q,Louisa Chirico,R,175.0,USA,19.92334018,121.0,510.0,6-0 6-0,3,R32,54.0,3.0,0.0,32.0,19.0,17.0,8.0,6.0,1.0,1.0,0.0,3.0,51.0,31.0,14.0,5.0,6.0,4.0,10.0,2,40.0,100.0
2016-M021,Madrid,Clay,64,P,20160502,290,201611,,,Daria Gavrilova,R,166.0,AUS,22.16016427,39.0,1295.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.15195072,6.0,3947.0,6-3 6-4,3,R16,102.0,2.0,2.0,73.0,53.0,34.0,12.0,10.0,6.0,7.0,2.0,3.0,75.0,47.0,25.0,16.0,9.0,6.0,9.0,2,66.66666666666666,85.71428571428571
2016-M021,Madrid,Clay,64,P,20160502,278,201520,5,,Petra Kvitova,L,183.0,CZE,26.15195072,6.0,3947.0,201455,,Q,Elena Vesnina,R,176.0,RUS,29.7522245,55.0,1076.0,6-3 6-3,3,R32,74.0,5.0,7.0,59.0,28.0,20.0,20.0,9.0,2.0,2.0,3.0,1.0,51.0,37.0,21.0,8.0,9.0,2.0,5.0,2,40.0,100.0
2016-M021,Madrid,Clay,64,P,20160502,254,201520,5,,Petra Kvitova,L,183.0,CZE,26.15195072,6.0,3947.0,202418,,WC,Lara Arruabarrena,R,166.0,ESP,24.11772758,77.0,828.0,6-3 6-2,3,R64,74.0,3.0,3.0,54.0,29.0,23.0,17.0,9.0,1.0,1.0,1.0,1.0,52.0,37.0,20.0,8.0,8.0,6.0,9.0,2,66.66666666666666,100.0
2016-M009,Rome,Clay,64,P,20160509,273,201619,,,Madison Keys,R,178.0,USA,21.2238193,24.0,2016.0,201520,5,,Petra Kvitova,L,183.0,CZE,26.17111567,9.0,3067.0,6-3 6-4,3,R32,78.0,8.0,0.0,53.0,45.0,33.0,4.0,10.0,0.0,1.0,1.0,4.0,68.0,41.0,23.0,15.0,9.0,5.0,8.0,2,62.5,0.0
2016-520,French Open,Clay,128,G,20160523,139,201520,10,,Petra Kvitova,L,183.0,CZE,26.20944559,12.0,2878.0,203575,,,Danka Kovinic,R,169.0,MNE,21.51129363,59.0,1035.0,6-2 4-6 7-5,3,R128,136.0,3.0,10.0,100.0,59.0,42.0,18.0,15.0,8.0,12.0,5.0,2.0,91.0,46.0,32.0,19.0,15.0,8.0,14.0,3,57.14285714285714,66.66666666666666
