,global_id,Departamental_Affiliation,Location,geodata_coordinates
0,660599284,Moscow Department of housing and communal services and improvement,"ТиНАО, посел. Первомайское, М-3 Украина- г.Троицк (М-1 Беларусь-Крекшино-Троицк)","[[[37.157132239276, 55.549413245372], [37.156178327272, 55.547646225529], [37.156360717485, 55.546946718418], [37.159311147402, 55.546040381917], [37.16187533922, 55.545492920173], [37.170498737528, 55.543594266524], [37.175712951853, 55.542395848739], [37.183543137178, 55.540482686296], [37.193942043317, 55.539470242686], [37.19995019151, 55.536914926877], [37.205915424359, 55.534627169332], [37.228918048871, 55.532168897892], [37.232716056836, 55.53159690172], [37.235226604475, 55.529321004418], [37.236969022613, 55.527222632844], [37.237767303178, 55.524978081809], [37.239346477521, 55.520094354792], [37.240591022504, 55.512583059127], [37.241749736798, 55.511682015275], [37.261705371869, 55.50510620324], [37.266597721113, 55.502987095463], [37.268528911603, 55.502670437337], [37.280716869367, 55.50303581187], [37.280416461957, 55.503425540953], [37.268571826947, 55.503060170051], [37.266125652326, 55.503498614724], [37.260889980329, 55.505836903501], [37.250633213056, 55.509295366582], [37.242845224015, 55.511776134675], [37.241214440934, 55.512567591319], [37.240683778177, 55.515696089585], [37.239958577071, 55.520126644145], [37.238220505629, 55.525129750099], [37.237533860121, 55.527337925483], [37.234658532057, 55.53047805789], [37.234100632582, 55.53141518041], [37.233403258238, 55.532011519418], [37.232362561141, 55.532218410426], [37.225903801833, 55.532960775056], [37.206425903177, 55.53493889111], [37.20012708003, 55.537521315749], [37.193990185804, 55.539979251183], [37.185879185743, 55.54077013818], [37.178283169813, 55.542339697383], [37.156792360409, 55.547079513485], [37.157221513851, 55.548247375277], [37.157993990048, 55.549682824322]]]"
1,860145501,Moscow Department of culture ,"улица Крымский Вал, дом 9","[[[37.55852194817532, 55.709525418221176], [37.559278331117525, 55.70953601872823], [37.5600293496417, 55.70953601873135], [37.561236343698404, 55.709537533089666], [37.56166507256036, 55.70953984087156], [37.56204787590662, 55.709536185322435], [37.562781296090975, 55.70954661923858], [37.56328286917667, 55.709572363306314], [37.563803217725564, 55.709617793985885], [37.56486805470456, 55.70973591351877], [37.56555201800331, 55.70983131749007], [37.56635936291679, 55.70998578057281], [37.568537316636935, 55.710491567139165], [37.569610200242906, 55.71077777278876], [37.57064553292263, 55.71104580474782], [37.572340689020045, 55.71149100629457], [37.5738427260684, 55.71189077475861], [37.574786863641634, 55.71219362693151], [37.57548960240355, 55.712410164775775], [37.57596703560818, 55.71259641665373], [37.57777928247827, 55.713365363197774]]]"
2,660584272,Moscow Department of housing and communal services and improvement,Арбатская площадь,"[[[37.600506884173, 55.752788849066], [37.600480062083, 55.752319917194], [37.600291868767, 55.751556025522], [37.600248953423, 55.751247428935], [37.600179215989, 55.750963033831], [37.600481320246, 55.750947072763], [37.60079415334, 55.750912958729], [37.601910622842, 55.750879300069], [37.60214196337, 55.751045323889], [37.601885812409, 55.751207943347]]]"
3,859835758,Prefecture of North-Eastern    Administrative Okrug of Moscow,от Олонецкой улицы дом 15Б до Березовой аллеи дом 7,"[[[37.616323092814, 55.852861584692], [37.614391902323, 55.853594842302996], [37.614241698619, 55.853688384456], [37.61415586793, 55.853775891426], [37.613935926791, 55.853742699151], [37.613791087504, 55.853754769072], [37.613651612635, 55.853772873948], [37.613506773348, 55.85378494386], [37.613361934062, 55.853778908905], [37.611580947276, 55.854382399817]], [[37.611123694906, 55.854325931387], [37.611075415144, 55.853981942225], [37.610909118185, 55.853653037441], [37.610764278898, 55.853444830215], [37.61035121871, 55.853040482548], [37.610630168448, 55.852937886199], [37.610630168448, 55.852717604884], [37.612598830675, 55.85210431419], [37.612796351995, 55.852043863538], [37.613804862584, 55.853051733285]]]"
4,860363093,Prefecture of Northern  Administrative Okrug of Moscow,Бескудниковский район,"[[[37.562031696518, 55.857838993942], [37.561988781174, 55.860566411778], [37.559843013962, 55.864258980844], [37.556452701767, 55.868723381179], [37.553834865768, 55.872029118522], [37.548255871017, 55.873573307742]]]"
5,59678455,Moscow Department of natural resources and environmental protection ,в границах Бирюлевского дендропарка,"[[[37.674492552067, 55.591772596096], [37.675393774298, 55.591748344814], [37.675844385414, 55.591639215897], [37.676938726567, 55.591433082894], [37.677925780127, 55.59056003503], [37.679213240199, 55.589311058849], [37.679513647609, 55.589032155801], [37.679578020882, 55.58894727185], [37.678118899045, 55.589056408254], [37.677582456599, 55.589177670286], [37.676402285015, 55.589796103105996], [37.67505045167, 55.590681292926], [37.67475004426, 55.591105692096], [37.67475004426, 55.591275450479], [37.674492552067, 55.591772596096], [37.674299433145, 55.591760470457]]]"
6,861509421,Moscow Department of housing and communal services and improvement,Боровское шоссе,"[[[37.426839485168, 55.661478955512], [37.424564971924, 55.661333397305], [37.422655239105, 55.66116357871], [37.420359268188, 55.661005889352], [37.418192043304, 55.660872459397], [37.415359630585, 55.660654118485], [37.413235321045, 55.66054494757]]]"
7,861394970,Prefecture of Central Administrative Okrug of Moscow,Бронная М. ул.,"[[[37.598575963974, 55.758676633124], [37.598055615425, 55.758915598699], [37.597639873028, 55.759207497712], [37.597355558872, 55.759443435197], [37.597016631594, 55.759793936161], [37.596820830336, 55.760075241826], [37.596678673259, 55.760371669246], [37.596230744353, 55.761171709509], [37.595525323382, 55.762180432427], [37.595215432606, 55.762556655114], [37.59389578577, 55.763687834492], [37.59179246343, 55.765191692735], [37.590956770783, 55.76567830728]]]"
8,860416691,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 8-10","[[[37.524074069656, 55.819056569455], [37.525039664901, 55.820010936222]]]"
9,860425796,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 14","[[[37.526169035299, 55.8213216591], [37.526598188741, 55.821768617798]]]"
10,860429699,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 18","[[[37.526666831167, 55.821793563739], [37.526843856962, 55.82199892128]]]"
11,860953881,Prefecture of Western   Administrative Okrug of Moscow,от улицы Славянский бульвар дом 15 до улицы Кременчугская дом 22,"[[[37.461080565453, 55.725370419909], [37.461217358112, 55.724702853966], [37.461311235428, 55.72428051041], [37.461330010891, 55.724121562722], [37.461407794952, 55.723811234411], [37.461582041816, 55.723062572343], [37.461616910534, 55.722871829065], [37.461678601341, 55.722644752514], [37.461820347743, 55.722147156882], [37.461948146859, 55.721557849842], [37.461956193486, 55.721503349749], [37.46194546465, 55.721114277424], [37.461965086774, 55.72096137056], [37.46211260827, 55.72018321117], [37.462048235254, 55.720039386232], [37.4620026377, 55.720012135131], [37.461543979959, 55.719857711865004]], [[37.461750510053, 55.719494360586], [37.461817565278, 55.719411092106], [37.46192217143, 55.718899365535], [37.462028857419, 55.718409290248], [37.462106641481, 55.718109514523], [37.462233036558, 55.71754367365], [37.462168408514, 55.717389597984], [37.462168408514, 55.717303296886]], [[37.462168408514, 55.717280586039], [37.462227417112, 55.717054990904], [37.462411323095, 55.716187949701]]]"
12,918424685,Prefecture of Western   Administrative Okrug of Moscow,Парк школьников,"[[[37.466355481595, 55.670858458278], [37.46655932948, 55.670694744668], [37.466548600644, 55.670567411384], [37.466409125775, 55.670446141203], [37.465979972333, 55.670324870645], [37.465894141644, 55.670203599709], [37.465786853283, 55.669942865919], [37.465668836087, 55.669833721024], [37.465379157513, 55.669754893965], [37.464971461743, 55.669536602815], [37.464166799038, 55.669051506993], [37.463533797711, 55.66877863794], [37.463276305646, 55.668627043195], [37.462890067547, 55.668578532752], [37.462804236859, 55.668499703154], [37.462739863843, 55.668323851936], [37.462525287121, 55.668147999925], [37.462192693203, 55.667941827591], [37.462096133679, 55.667808421382], [37.462235608548, 55.66746883988], [37.462407269925, 55.667177767665], [37.462514558285, 55.666953398016], [37.46255747363, 55.666795732084], [37.462428727597, 55.666729027074], [37.462267795056, 55.666795732084], [37.462063947171, 55.666898821419], [37.461881556958, 55.666838180666], [37.461881556958, 55.666747219361], [37.462053218335, 55.666644129624], [37.462224879712, 55.666541039615], [37.462289252728, 55.666456141755], [37.462192693203, 55.666213575424], [37.462021031827, 55.666116548468], [37.461913743466, 55.666225703776], [37.461870828122, 55.666359115404], [37.461624064892, 55.66640762861], [37.461398759335, 55.666365179558], [37.461216369122, 55.666419756902], [37.461227097958, 55.66660168083], [37.461033978909, 55.666917013626], [37.460915961712, 55.666953398016], [37.460830131024, 55.666856372902], [37.460830131024, 55.666741155266], [37.460755029172, 55.666674450163], [37.460615554303, 55.666668386057], [37.460454621762, 55.666850308824], [37.460637011975, 55.666868501048], [37.460701384991, 55.667007974536], [37.460776486844, 55.667299048019], [37.460744300335, 55.667644694956], [37.460411706418, 55.667832677091], [37.460100570172, 55.668026722214], [37.460025468319, 55.668154063801], [37.460164943188, 55.668263213402], [37.460368791073, 55.668269277259], [37.460561910122, 55.668220766371], [37.460776486844, 55.668038850002], [37.461033978909, 55.667778101726], [37.46114126727, 55.667687142614], [37.461130538434, 55.667602247252], [37.461237826794, 55.667565863468], [37.461398759335, 55.6675779914], [37.461398759335, 55.667693206561], [37.461184182614, 55.667790229591], [37.461076894253, 55.667978211024], [37.461023250073, 55.668190447035], [37.461012521237, 55.668329915785], [37.461205640286, 55.668372362696], [37.461420217007, 55.668323851936], [37.461720624417, 55.668329915785], [37.461881556958, 55.668426937229], [37.462299981564, 55.668536086065004], [37.462729135006, 55.668651298394], [37.462793508023, 55.668772574161], [37.462761321515, 55.669184908947]], [[37.458823838681, 55.667675014715996], [37.458491244763, 55.667844804939], [37.458169379681, 55.668087361117], [37.457976260632, 55.668160127676], [37.457718768567, 55.667990338827], [37.457944074124, 55.668105552769], [37.457815328091, 55.668226830235], [37.457375445813, 55.668718000112], [37.45724669978, 55.668869594503], [37.456914105862, 55.669021188304], [37.456420579403, 55.669136399198], [37.456206002682, 55.669178845231], [37.456055798977, 55.669300119357], [37.455927052945, 55.669439584134], [37.455390611142, 55.669579048413], [37.454929271191, 55.669688194021], [37.45466105029, 55.669882229904], [37.454639592618, 55.670088391971], [37.454725423306, 55.670173281916], [37.454703965634, 55.670312743568], [37.454478660077, 55.67047039527], [37.454682507962, 55.670579538381], [37.454875627011, 55.670670490741], [37.454972186535, 55.670743252476], [37.454982915371, 55.671301087928], [37.454736152142, 55.671555749283]], [[37.454403558224, 55.670476458784], [37.454038777798, 55.670409760075], [37.45370618388, 55.670464331754], [37.453373589963, 55.67059772887], [37.453148284405, 55.670773569825], [37.453201928586, 55.670900902435], [37.453470149487, 55.670967600303], [37.453716912716, 55.671034298056], [37.454049506634, 55.671355658359], [37.454382100552, 55.671476925708], [37.454671779126, 55.671537559242], [37.455154576748, 55.671731585914], [37.455379882306, 55.67190135846], [37.455562272519, 55.672083256796]]]"
13,860372830,Prefecture of Northern  Administrative Okrug of Moscow,"Большая Академическая улица, дом 2","[[[37.523212991441, 55.819176917462], [37.524009498508, 55.819894628482]]]"
14,859852727,Prefecture of Troitsky and Novomoskovsky Administrative Okrugs of Moscow,г. Московский место массового отдыха населения между микрорайоном 3 и поселком института полиомиелита,"[[[37.337208617642, 55.594125259557], [37.337466109707, 55.595012256577], [37.338066924527, 55.59546182272], [37.338817943051, 55.595704829291], [37.339955199673, 55.595911383689], [37.340448726132, 55.596130087155], [37.340019572689, 55.596713290413], [37.339483130886, 55.597211436302], [37.339139808133, 55.597369383672], [37.339290011837, 55.597928269239], [37.339440215542, 55.598122662344], [37.33911835046, 55.598657238397], [37.339032519772, 55.59920395634], [37.339139808133, 55.599774964688], [37.338345874264, 55.600236624911], [37.337530482724, 55.600090838061], [37.336929667904, 55.600005795481], [37.335577834561, 55.600078689133], [37.33465515466, 55.600254848222], [37.335513461544, 55.60000883271], [37.335298884823, 55.599685365515], [37.335642207577, 55.59931329901], [37.336049903347, 55.599033867133], [37.338066924527, 55.595619777157], [37.337144244626, 55.595000106069], [37.336994040921, 55.594088807194]]]"
