,Administrative_Area,geodata_coordinates
76,Yuzhny'j administrativny'j okrug,"[37.649600000266, 55.583297999756]"
77,Yuzhny'j administrativny'j okrug,"[37.688359999698, 55.581578000153]"
78,Yuzhny'j administrativny'j okrug,"[37.75546699998, 55.62082999987]"
79,Zapadny'j administrativny'j okrug,"[37.464755999872, 55.669119999748]"
80,Zapadny'j administrativny'j okrug,"[37.41392699985, 55.77069900009]"
81,Zapadny'j administrativny'j okrug,"[37.414947000024, 55.764806999816]"
82,Yuzhny'j administrativny'j okrug,"[37.701210999912, 55.619606999923]"
83,Yuzhny'j administrativny'j okrug,"[37.699527000114, 55.618747999939]"
84,Yuzhny'j administrativny'j okrug,"[37.725744000203, 55.616073999991]"
85,Yuzhny'j administrativny'j okrug,"[37.672739000288, 55.584611000134]"
86,Yuzhny'j administrativny'j okrug,"[37.666886000105, 55.574838999808]"
87,Yuzhny'j administrativny'j okrug,"[37.746390000141, 55.617627999847]"
88,Yuzhny'j administrativny'j okrug,"[37.736765999956, 55.615196999931]"
89,Yuzhny'j administrativny'j okrug,"[37.674110999917, 55.584997000155]"
90,Yuzhny'j administrativny'j okrug,"[37.677701999994, 55.582642000234]"
91,Yuzhny'j administrativny'j okrug,"[37.689123999779, 55.583418000092]"
92,Yuzhny'j administrativny'j okrug,"[37.751249999914, 55.609139000191]"
93,Yuzhny'j administrativny'j okrug,"[37.63198499964, 55.676756999977]"
94,Yuzhny'j administrativny'j okrug,"[37.643427000415, 55.681644999798]"
95,Yuzhny'j administrativny'j okrug,"[37.746020000245, 55.60296100021]"
96,Yuzhny'j administrativny'j okrug,"[37.675003000044, 55.640799999981]"
97,Yuzhny'j administrativny'j okrug,"[37.757402999673, 55.620703000241]"
98,Yuzhny'j administrativny'j okrug,"[37.749330999939, 55.624698000049]"
99,Yuzhny'j administrativny'j okrug,"[37.739679000165, 55.619474999758]"
100,Yugo-Zapadny'j administrativny'j okrug,"[37.540129999881, 55.592246000049]"
101,Yugo-Zapadny'j administrativny'j okrug,"[37.577988999863, 55.704896000005]"
102,Yugo-Zapadny'j administrativny'j okrug,"[37.52229599987, 55.62904099979]"
103,Yugo-Zapadny'j administrativny'j okrug,"[37.563356999767, 55.548351000115]"
104,Yugo-Zapadny'j administrativny'j okrug,"[37.551231999999, 55.674091999793]"
105,Yugo-Zapadny'j administrativny'j okrug,"[37.543376000175996, 55.60193000006]"
106,Yugo-Zapadny'j administrativny'j okrug,"[37.568629999992, 55.571140000107]"
107,Yuzhny'j administrativny'j okrug,"[37.746045000359, 55.6283860002]"
108,Yuzhny'j administrativny'j okrug,"[37.723026999812, 55.626621999827]"
109,Yugo-Zapadny'j administrativny'j okrug,"[37.550801999829, 55.550330000097]"
110,Yugo-Zapadny'j administrativny'j okrug,"[37.514934999616, 55.530849000016]"
111,Yugo-Zapadny'j administrativny'j okrug,"[37.497772999625, 55.646245000171]"
112,Yugo-Zapadny'j administrativny'j okrug,"[37.532653999999, 55.544580000062]"
113,Yugo-Zapadny'j administrativny'j okrug,"[37.578784999731, 55.503558999793]"
114,Yugo-Zapadny'j administrativny'j okrug,"[37.571583000384, 55.569312000198]"
115,Yugo-Zapadny'j administrativny'j okrug,"[37.581352000334, 55.567413999873]"
116,Yuzhny'j administrativny'j okrug,"[37.757064999564, 55.632977000106]"
117,Yuzhny'j administrativny'j okrug,"[37.680898999885, 55.684277999837]"
118,Yuzhny'j administrativny'j okrug,"[37.627036000178, 55.660207999747]"
119,Yuzhny'j administrativny'j okrug,"[37.595048999747, 55.631507000116]"
120,Yuzhny'j administrativny'j okrug,"[37.594519999842, 55.629562999855]"
121,Yuzhny'j administrativny'j okrug,"[37.595625000405, 55.599061000247]"
122,Yuzhny'j administrativny'j okrug,"[37.59419900035, 55.616679000166]"
123,Yuzhny'j administrativny'j okrug,"[37.61954100003, 55.708899999852]"
124,Yuzhny'j administrativny'j okrug,"[37.639740000079, 55.709342999926]"
125,Yuzhny'j administrativny'j okrug,"[37.702322000323, 55.623251000195]"
126,Yuzhny'j administrativny'j okrug,"[37.718423999957, 55.599144000198]"
127,Yuzhny'j administrativny'j okrug,"[37.601803000279, 55.603095000125]"
128,Yuzhny'j administrativny'j okrug,"[37.593575999836, 55.634635000043]"
129,Yuzhny'j administrativny'j okrug,"[37.612095000285, 55.653738000113]"
130,Severo-Vostochny'j administrativny'j okrug,"[37.609974999571, 55.865558999896]"
131,Severo-Vostochny'j administrativny'j okrug,"[37.600277999591, 55.795116999859]"
132,Yuzhny'j administrativny'j okrug,"[37.704728000369, 55.605278000046]"
133,Yuzhny'j administrativny'j okrug,"[37.653839000073, 55.626169000006]"
134,Yuzhny'j administrativny'j okrug,"[37.605690999558, 55.592078000202]"
135,Yuzhny'j administrativny'j okrug,"[37.607022000077, 55.628149000114]"
136,Yuzhny'j administrativny'j okrug,"[37.607966000083, 55.636552000015]"
137,Yuzhny'j administrativny'j okrug,"[37.60225500019, 55.615576999933]"
138,Yuzhny'j administrativny'j okrug,"[37.617747999554, 55.599890000159]"
139,Severo-Vostochny'j administrativny'j okrug,"[37.629370000254, 55.876083000049]"
140,Severo-Vostochny'j administrativny'j okrug,"[37.660340999811, 55.868189999913]"
141,Severo-Vostochny'j administrativny'j okrug,"[37.579892999769, 55.880032999938]"
142,Severo-Vostochny'j administrativny'j okrug,"[37.634014000117, 55.818397999957]"
143,Severo-Vostochny'j administrativny'j okrug,"[37.580132000144, 55.875446000242]"
144,Severo-Vostochny'j administrativny'j okrug,"[37.642371000256, 55.807141000031]"
145,Yuzhny'j administrativny'j okrug,"[37.585265999553, 55.620733000047]"
146,Yuzhny'j administrativny'j okrug,"[37.756250000328, 55.637004999987]"
147,Yuzhny'j administrativny'j okrug,"[37.653224999779, 55.621264000212]"
148,Yuzhny'j administrativny'j okrug,"[37.663196000294, 55.624217000056]"
149,Yuzhny'j administrativny'j okrug,"[37.662758999553, 55.621517000217]"
150,Yuzhny'j administrativny'j okrug,"[37.665787000288, 55.593413999819]"
151,Severo-Vostochny'j administrativny'j okrug,"[37.688455999958, 55.851474999947]"
152,Severo-Vostochny'j administrativny'j okrug,"[37.670197999625, 55.870578999798]"
153,Severo-Vostochny'j administrativny'j okrug,"[37.69489800032, 55.884148999846]"
154,Yuzhny'j administrativny'j okrug,"[37.580732000193, 55.610674000038]"
155,Yuzhny'j administrativny'j okrug,"[37.620024999729, 55.605602000086]"
156,Yuzhny'j administrativny'j okrug,"[37.608211000306, 55.629802000143]"
157,Yuzhny'j administrativny'j okrug,"[37.596053000028, 55.591927999948]"
158,Yuzhny'j administrativny'j okrug,"[37.59483799986, 55.713758999948]"
159,Severo-Vostochny'j administrativny'j okrug,"[37.636029000351, 55.895300000203]"
160,Severo-Vostochny'j administrativny'j okrug,"[37.642945000366, 55.867514000145]"
161,Severo-Vostochny'j administrativny'j okrug,"[37.593928000189, 55.881087999779]"
162,Severo-Vostochny'j administrativny'j okrug,"[37.593088999765, 55.859861000154]"
163,Severo-Vostochny'j administrativny'j okrug,"[37.659549999966, 55.818639999833]"
164,Severo-Vostochny'j administrativny'j okrug,"[37.613950999612, 55.87228500021]"
165,Severo-Vostochny'j administrativny'j okrug,"[37.581549999803, 55.894999999826]"
166,Severo-Vostochny'j administrativny'j okrug,"[37.556128999582, 55.935552999748]"
167,Yuzhny'j administrativny'j okrug,"[37.724538000256, 55.616475000028]"
168,Yugo-Vostochny'j administrativny'j okrug,"[37.814409999568, 55.701123999932]"
169,Yugo-Vostochny'j administrativny'j okrug,"[37.816572000115, 55.708718999749]"
170,Vostochny'j administrativny'j okrug,"[37.77182800008, 55.801957000094]"
171,Vostochny'j administrativny'j okrug,"[37.834713000273, 55.724503999902]"
172,Vostochny'j administrativny'j okrug,"[37.78630600019, 55.753742999922]"
173,Vostochny'j administrativny'j okrug,"[37.889755000163, 55.715022000116]"
174,Vostochny'j administrativny'j okrug,"[37.838249999923, 55.762045000235]"
175,Severo-Vostochny'j administrativny'j okrug,"[37.622961000403, 55.864549000197]"
176,Severo-Vostochny'j administrativny'j okrug,"[37.60388700011, 55.892806999807]"
177,Severo-Vostochny'j administrativny'j okrug,"[37.598571000227, 55.894244999785]"
178,Severo-Vostochny'j administrativny'j okrug,"[37.582860000405, 55.817583999973]"
179,Severo-Vostochny'j administrativny'j okrug,"[37.596338000433, 55.884057000227]"
180,Severo-Vostochny'j administrativny'j okrug,"[37.704062000197, 55.868594999764]"
181,Severo-Vostochny'j administrativny'j okrug,"[37.548555999616, 55.915061999929]"
182,Severo-Vostochny'j administrativny'j okrug,"[37.69116199958, 55.873158999833]"
183,Severo-Vostochny'j administrativny'j okrug,"[37.601213000275, 55.866554000094]"
184,Severo-Vostochny'j administrativny'j okrug,"[37.58165399956, 55.893573000233]"
185,Severo-Vostochny'j administrativny'j okrug,"[37.541750000104, 55.926996999785]"
186,Severo-Vostochny'j administrativny'j okrug,"[37.590443000417, 55.893756999978]"
187,Severo-Vostochny'j administrativny'j okrug,"[37.677291999915, 55.891917000035]"
188,Severo-Vostochny'j administrativny'j okrug,"[37.589248000341, 55.89606700008]"
189,Severo-Vostochny'j administrativny'j okrug,"[37.577714000402, 55.900664999956]"
190,Severo-Vostochny'j administrativny'j okrug,"[37.570000999795, 55.894774999909004]"
191,Severo-Vostochny'j administrativny'j okrug,"[37.655906000185, 55.81298599975]"
192,Severo-Vostochny'j administrativny'j okrug,"[37.644956000403, 55.813659000109]"
193,Severo-Vostochny'j administrativny'j okrug,"[37.588454999947, 55.855079000154]"
194,Severo-Vostochny'j administrativny'j okrug,"[37.554748999558, 55.903454999937]"
195,Severo-Vostochny'j administrativny'j okrug,"[37.590265000142, 55.864846999853]"
196,Severo-Vostochny'j administrativny'j okrug,"[37.632131999953, 55.808701999815]"
197,Severo-Vostochny'j administrativny'j okrug,"[37.723635000258, 55.874079000067]"
198,Severo-Vostochny'j administrativny'j okrug,"[37.634567000311, 55.803641000023]"
199,Yuzhny'j administrativny'j okrug,"[37.671613999634, 55.679528999978]"
200,Yuzhny'j administrativny'j okrug,"[37.687747999953, 55.680952999764]"
201,Yuzhny'j administrativny'j okrug,"[37.687475999967, 55.682231000039]"
202,Yugo-Vostochny'j administrativny'j okrug,"[37.809939999782, 55.674267999974]"
203,Yugo-Vostochny'j administrativny'j okrug,"[37.750950000338, 55.686571999786]"
204,Yugo-Vostochny'j administrativny'j okrug,"[37.823761999767, 55.706565000247]"
205,Yugo-Vostochny'j administrativny'j okrug,"[37.823468999864, 55.707512999802]"
206,Yugo-Vostochny'j administrativny'j okrug,"[37.926624000108, 55.682256999869]"
207,Severo-Vostochny'j administrativny'j okrug,"[37.633055999868, 55.80354100016]"
208,Severo-Vostochny'j administrativny'j okrug,"[37.642157999821, 55.810235000123]"
209,Severo-Vostochny'j administrativny'j okrug,"[37.611783000116, 55.865776999752]"
210,Severo-Vostochny'j administrativny'j okrug,"[37.553273000173, 55.906734000037]"
211,Yugo-Zapadny'j administrativny'j okrug,"[37.567587000251, 55.56794800013]"
212,Yugo-Zapadny'j administrativny'j okrug,"[37.573986999882, 55.578721000107]"
213,Yugo-Zapadny'j administrativny'j okrug,"[37.57676000035, 55.577064000157]"
214,Yugo-Zapadny'j administrativny'j okrug,"[37.57356099991, 55.56653199997]"
215,Yugo-Zapadny'j administrativny'j okrug,"[37.579763000073, 55.574780999924]"
216,Yuzhny'j administrativny'j okrug,"[37.595207999756, 55.588036999771]"
217,Yuzhny'j administrativny'j okrug,"[37.619638999939, 55.697360000178]"
218,Yuzhny'j administrativny'j okrug,"[37.6981839999, 55.613942999921]"
219,Yuzhny'j administrativny'j okrug,"[37.589197000287, 55.609866000097]"
220,Yuzhny'j administrativny'j okrug,"[37.729685000084, 55.607037000229]"
221,Yuzhny'j administrativny'j okrug,"[37.745031000033, 55.62460600014]"
222,Yuzhny'j administrativny'j okrug,"[37.736672000244, 55.608376999881]"
223,Yuzhny'j administrativny'j okrug,"[37.73900999962, 55.608038000252]"
224,Yuzhny'j administrativny'j okrug,"[37.614452999753, 55.600012999956]"
225,Yuzhny'j administrativny'j okrug,"[37.616842000081, 55.605505999808]"
226,Yuzhny'j administrativny'j okrug,"[37.666539999601, 55.59609300004]"
227,Yugo-Zapadny'j administrativny'j okrug,"[37.570930999558, 55.565312999867]"
228,Yugo-Zapadny'j administrativny'j okrug,"[37.585429999585, 55.570218000131]"
229,Yugo-Zapadny'j administrativny'j okrug,"[37.582729999811, 55.566214999956]"
230,Yuzhny'j administrativny'j okrug,"[37.621290000125, 55.664292999948]"
231,Yuzhny'j administrativny'j okrug,"[37.627385000158, 55.667875999827]"
232,Yuzhny'j administrativny'j okrug,"[37.65397799999, 55.668586999861]"
233,Yuzhny'j administrativny'j okrug,"[37.653450999735, 55.665652000089]"
234,Yuzhny'j administrativny'j okrug,"[37.655722999887, 55.600361999978]"
235,Yuzhny'j administrativny'j okrug,"[37.701528000105, 55.610250000241]"
236,Yuzhny'j administrativny'j okrug,"[37.613794999977, 55.65111099979]"
237,Yuzhny'j administrativny'j okrug,"[37.734034000395, 55.62400400019]"
238,Yuzhny'j administrativny'j okrug,"[37.714924999942, 55.607176000093]"
239,Yuzhny'j administrativny'j okrug,"[37.608910000089, 55.650114000215]"
240,Yuzhny'j administrativny'j okrug,"[37.718423999957, 55.599144000198]"
241,Severo-Vostochny'j administrativny'j okrug,"[37.576228999897, 55.904487000037]"
242,Severo-Vostochny'j administrativny'j okrug,"[37.663269000089, 55.873534000223]"
243,Zapadny'j administrativny'j okrug,"[37.524624000098, 55.699176000012]"
244,Yugo-Zapadny'j administrativny'j okrug,"[37.562021000124, 55.69225400007]"
245,Yugo-Zapadny'j administrativny'j okrug,"[37.520944000333, 55.631880000158]"
246,Severo-Vostochny'j administrativny'j okrug,"[37.615694999685, 55.851051999828]"
247,Zelenogradskij administrativny'j okrug,"[37.214558000389, 55.9905870001]"
248,Yugo-Zapadny'j administrativny'j okrug,"[37.514460000138, 55.537724999999]"
249,Yugo-Zapadny'j administrativny'j okrug,"[37.514460000138, 55.537724999999]"
250,Yugo-Zapadny'j administrativny'j okrug,"[37.55320700005, 55.547767000105]"
251,Yugo-Zapadny'j administrativny'j okrug,"[37.534525000293, 55.691727999926]"
252,Yugo-Zapadny'j administrativny'j okrug,"[37.564005000395, 55.678545000192]"
253,Yugo-Zapadny'j administrativny'j okrug,"[37.520460999561, 55.633897999835]"
254,Yugo-Zapadny'j administrativny'j okrug,"[37.505650000263, 55.62014900001]"
255,Yugo-Zapadny'j administrativny'j okrug,"[37.508960000132, 55.618715999945]"
256,Severo-Vostochny'j administrativny'j okrug,"[37.587973999723, 55.897694999962]"
257,Yugo-Zapadny'j administrativny'j okrug,"[37.575236000386, 55.568514000081]"
258,Severo-Vostochny'j administrativny'j okrug,"[37.665271999729, 55.870119000005]"
259,Severo-Vostochny'j administrativny'j okrug,"[37.664687999573, 55.870462000181]"
260,Vostochny'j administrativny'j okrug,"[37.815085999786, 55.75170999992]"
261,Vostochny'j administrativny'j okrug,"[37.818737000137, 55.751219000153]"
262,Severo-Vostochny'j administrativny'j okrug,"[37.554048000124, 55.897176000029]"
263,Yuzhny'j administrativny'j okrug,"[37.657815000114, 55.635050999865]"
264,Yuzhny'j administrativny'j okrug,"[37.656245999944, 55.636792000156]"
265,Yuzhny'j administrativny'j okrug,"[37.606370000149, 55.640886000187]"
266,Yugo-Vostochny'j administrativny'j okrug,"[37.716708000372, 55.751851000222]"
267,Yugo-Vostochny'j administrativny'j okrug,"[37.725492000308, 55.693736000163]"
268,Severo-Vostochny'j administrativny'j okrug,"[37.579443000406, 55.808214999991]"
269,Severny'j administrativny'j okrug,"[37.497969000342, 55.817889999922]"
270,Severny'j administrativny'j okrug,"[37.476985000295, 55.85464000005]"
271,Severny'j administrativny'j okrug,"[37.476985000295, 55.85464000005]"
272,Severny'j administrativny'j okrug,"[37.544384999581, 55.774037999931]"
273,Severo-Zapadny'j administrativny'j okrug,"[37.462821999829, 55.80906800025]"
274,Yuzhny'j administrativny'j okrug,"[37.618801000238, 55.653697000131]"
275,Yuzhny'j administrativny'j okrug,"[37.610256999603, 55.673057999769]"
276,Severny'j administrativny'j okrug,"[37.570340999554, 55.882047000161]"
277,Severo-Zapadny'j administrativny'j okrug,"[37.400894000061, 55.803219999801]"
278,Severo-Zapadny'j administrativny'j okrug,"[37.401053999895, 55.80519600004]"
279,Yuzhny'j administrativny'j okrug,"[37.737012000003, 55.613562999811]"
280,Yuzhny'j administrativny'j okrug,"[37.74134700007, 55.61336600005]"
281,Yuzhny'j administrativny'j okrug,"[37.74134700007, 55.61336600005]"
282,Yugo-Zapadny'j administrativny'j okrug,"[37.565448999994, 55.571656000037]"
283,Vostochny'j administrativny'j okrug,"[37.738799999558, 55.781968999795]"
284,Severo-Vostochny'j administrativny'j okrug,"[37.661400000343, 55.822488000065]"
285,Severo-Vostochny'j administrativny'j okrug,"[37.662115999845, 55.83727300004]"
286,Severny'j administrativny'j okrug,"[37.554828999924, 55.776698999811]"
287,Severny'j administrativny'j okrug,"[37.559964999882, 55.790520999852]"
288,Severo-Zapadny'j administrativny'j okrug,"[37.442928000277, 55.85195599986]"
289,Severo-Zapadny'j administrativny'j okrug,"[37.419610999979, 55.857258999878]"
290,Severo-Zapadny'j administrativny'j okrug,"[37.433497000435, 55.863318999836]"
291,Severo-Zapadny'j administrativny'j okrug,"[37.494020999889, 55.773438999987]"
292,Czentral`ny'j administrativny'j okrug,"[37.642346999967, 55.773499999968]"
293,Zapadny'j administrativny'j okrug,"[37.530038999715, 55.700525999945]"
294,Zapadny'j administrativny'j okrug,"[37.538697999978, 55.698408999783]"
295,Zapadny'j administrativny'j okrug,"[37.525471999845, 55.703358999812]"
296,Zapadny'j administrativny'j okrug,"[37.522204999633, 55.704283000234]"
297,Yugo-Zapadny'j administrativny'j okrug,"[37.535968999891, 55.646308999793]"
298,Yugo-Zapadny'j administrativny'j okrug,"[37.596124000173, 55.503011999934]"
299,Yuzhny'j administrativny'j okrug,"[37.706438000107, 55.680732000129]"
300,Yuzhny'j administrativny'j okrug,"[37.657083999645, 55.672662000057]"
301,Yugo-Vostochny'j administrativny'j okrug,"[37.663476999603, 55.721659000093]"
302,Vostochny'j administrativny'j okrug,"[37.705273999992, 55.799949000218]"
303,Vostochny'j administrativny'j okrug,"[37.820841999885, 55.809004999849]"
304,Vostochny'j administrativny'j okrug,"[37.669775000025, 55.789809000222]"
305,Vostochny'j administrativny'j okrug,"[37.740763999739, 55.787168000238]"
306,Vostochny'j administrativny'j okrug,"[37.728669999933, 55.795512999987]"
