,bicycle_count,bicycle_death_count,crash_year,dec_lat,dec_long
4655,1,0,2017,39.9965,-75.11399999999999
4661,1,0,2017,39.9434,-75.2156
4663,1,0,2017,39.9287,-75.2298
4670,1,0,2017,40.0487,-75.0516
4682,1,0,2017,39.9505,-75.1923
4701,1,0,2017,39.9444,-75.2098
4728,1,0,2017,39.9393,-75.161
4781,1,0,2017,39.9452,-75.1613
4786,1,0,2017,39.9384,-75.1718
4807,1,0,2017,39.9865,-75.2051
4830,1,0,2017,40.0186,-75.2112
4846,1,0,2017,39.9634,-75.1873
4870,1,0,2017,39.954,-75.1682
4890,1,0,2017,39.9402,-75.168
4942,1,0,2017,39.9231,-75.1699
4949,1,0,2017,39.9424,-75.1474
4975,1,0,2017,39.9599,-75.1938
4998,1,0,2017,39.9442,-75.2222
5045,1,0,2017,40.0047,-75.1521
5065,1,0,2017,39.9575,-75.1658
5072,1,0,2017,39.9726,-75.1445
5148,1,0,2017,40.0054,-75.0782
5164,1,0,2017,39.9649,-75.17699999999999
5170,1,0,2017,39.9595,-75.16199999999999
5173,1,0,2017,39.9969,-75.1469
5228,1,0,2017,39.9536,-75.1986
5242,1,0,2017,39.9287,-75.165
5243,1,0,2017,40.0257,-75.0451
5251,1,0,2017,39.9632,-75.1996
5267,1,0,2017,39.9265,-75.2285
5304,1,0,2017,40.0179,-75.0807
5307,1,0,2017,39.9214,-75.1467
5311,1,0,2017,40.0016,-75.1286
5321,1,0,2017,40.0207,-75.07600000000001
5330,1,0,2017,39.9472,-75.1665
5369,1,0,2017,39.9159,-75.1645
5442,1,0,2017,39.9272,-75.1757
5511,1,0,2017,39.951,-75.1773
5528,1,0,2017,40.0008,-75.1714
5554,1,0,2017,40.0449,-75.1225
5564,1,0,2017,39.9515,-75.2008
5568,1,0,2017,39.9987,-75.0946
5572,1,0,2017,40.0132,-75.0704
5574,1,0,2017,39.9359,-75.1569
5583,1,0,2017,39.9382,-75.1499
5595,1,0,2017,39.9088,-75.2333
5611,1,0,2017,40.0598,-75.166
5668,1,0,2017,39.9524,-75.1533
5706,1,0,2017,39.9505,-75.1929
5717,1,0,2017,39.9314,-75.1854
5718,1,0,2017,40.0254,-75.0733
5726,1,0,2017,39.9241,-75.1579
5760,1,0,2017,39.9507,-75.1947
5768,1,0,2017,39.9478,-75.1712
5793,1,0,2017,39.9339,-75.1944
5800,1,0,2017,40.0948,-75.0507
5805,1,0,2017,39.9635,-75.1428
5808,1,0,2017,40.0339,-75.0904
5850,1,0,2017,39.9847,-75.1565
5852,1,0,2017,40.0224,-75.0781
5879,1,0,2017,39.9762,-75.1718
5933,1,0,2017,39.9801,-75.1718
5954,1,0,2017,39.9539,-75.2103
5959,1,0,2017,39.9705,-75.1596
5962,1,0,2017,39.9734,-75.1854
5995,1,1,2017,40.0287,-75.1177
6040,1,0,2017,39.9696,-75.1638
6068,1,0,2017,39.9724,-75.2533
6086,1,0,2017,39.9202,-75.1572
6113,1,0,2017,40.0528,-75.0509
6120,1,0,2017,40.114000000000004,-75.0247
6132,1,0,2017,39.9556,-75.2258
6140,2,0,2017,40.0084,-75.211
6148,1,0,2017,39.9693,-75.1846
6150,1,0,2017,39.9229,-75.1581
6162,1,0,2017,40.016999999999996,-75.1883
6184,1,0,2017,39.9379,-75.1667
6202,1,0,2017,39.9507,-75.1502
6210,1,0,2017,39.9467,-75.1626
6226,1,0,2017,39.9972,-75.1194
6239,1,0,2017,39.9531,-75.1819
6264,1,0,2017,39.963,-75.1662
6296,1,0,2017,40.0686,-75.0398
6357,1,0,2017,39.9746,-75.1995
6379,1,0,2017,39.9685,-75.1651
6463,1,0,2017,40.0167,-75.2111
6486,1,0,2017,40.0267,-75.1594
6524,1,0,2017,40.0009,-75.1226
6528,1,0,2017,40.1025,-75.0385
6548,1,0,2017,39.9832,-75.1568
6576,1,0,2017,40.0233,-75.0768
6638,1,0,2017,39.9897,-75.1252
6649,1,0,2017,40.0236,-75.0593
6699,1,0,2017,40.0189,-75.1471
6716,1,0,2017,39.9655,-75.236
6735,1,0,2017,39.9591,-75.1972
6788,1,0,2017,39.968,-75.2078
6836,1,0,2017,39.9788,-75.1591
6900,1,0,2017,40.0309,-75.1317
6905,1,0,2017,39.938,-75.1678
6910,1,0,2017,40.0003,-75.2284
6931,1,0,2017,39.9289,-75.2383
6986,1,0,2017,39.9455,-75.2204
7046,1,0,2017,39.9447,-75.1719
7125,1,0,2017,40.0376,-75.138
7152,1,0,2017,39.9166,-75.2311
7176,1,0,2017,40.0109,-75.1676
7238,1,0,2017,39.931999999999995,-75.2295
7251,1,0,2017,39.9488,-75.215
7301,1,0,2017,39.9793,-75.1388
7322,1,0,2017,40.0202,-75.0755
7339,1,0,2017,40.0054,-75.1094
7340,1,0,2017,39.9643,-75.1762
7358,1,0,2017,40.0778,-75.1729
7393,1,0,2017,39.9758,-75.1584
7426,1,0,2017,40.0153,-75.2081
7502,1,0,2017,40.003,-75.1142
7517,1,0,2017,39.9592,-75.2192
7556,1,0,2017,39.9836,-75.142
7563,1,0,2017,39.9684,-75.2228
7575,1,0,2017,39.9392,-75.1782
7651,1,0,2017,39.9631,-75.1899
7659,1,0,2017,39.9767,-75.1863
7668,1,0,2017,39.9214,-75.1766
7679,1,0,2017,39.9892,-75.2266
7691,1,0,2017,39.9978,-75.111
7733,1,0,2017,39.9541,-75.1606
7740,1,0,2017,40.0309,-75.0733
7789,1,0,2017,39.9623,-75.2008
7801,1,0,2017,39.9994,-75.1271
7876,1,0,2017,39.9243,-75.1595
7885,1,0,2017,39.9587,-75.1672
7904,1,0,2017,39.9641,-75.2214
7925,1,0,2017,39.9755,-75.1918
7930,1,0,2017,39.9754,-75.19
7954,1,0,2017,39.9496,-75.1643
7977,1,0,2017,39.9926,-75.1481
7996,1,0,2017,39.9416,-75.1725
8030,1,0,2017,39.9941,-75.1916
8033,1,0,2017,39.9211,-75.1939
8037,1,0,2017,39.9657,-75.1606
8070,1,0,2017,40.0273,-75.0288
8078,1,0,2017,39.9307,-75.1701
8098,1,0,2017,39.9993,-75.1668
8100,1,0,2017,39.9607,-75.1422
8112,1,0,2017,39.9925,-75.1309
8125,1,0,2017,39.9455,-75.1807
8141,1,0,2017,40.0315,-75.0325
8160,1,0,2017,39.9805,-75.1716
8214,2,0,2017,39.9505,-75.1933
8215,1,0,2017,39.9994,-75.1229
8244,1,0,2017,39.9916,-75.1551
8283,1,0,2017,40.0073,-75.1037
8288,1,0,2017,39.9614,-75.1485
8308,1,0,2017,40.0188,-75.1153
8313,1,0,2017,39.9644,-75.1764
8323,1,0,2017,39.9864,-75.1698
8331,1,0,2017,39.9119,-75.1728
8338,1,0,2017,40.0427,-75.1179
8362,1,0,2017,40.0647,-74.9823
8395,1,0,2017,39.9498,-75.207
8405,1,0,2017,39.9374,-75.163
8413,1,0,2017,40.0949,-75.0193
8416,1,0,2017,39.997,-75.1538
8428,1,0,2017,39.9896,-75.2462
8433,1,0,2017,39.9339,-75.1493
8502,1,0,2017,39.9448,-75.1751
8508,1,0,2017,39.9761,-75.1195
8512,1,0,2017,40.0385,-75.1248
8514,1,0,2017,39.9732,-75.2121
8522,1,0,2017,39.9298,-75.1635
8537,1,0,2017,39.9919,-75.1627
8557,1,0,2017,39.9669,-75.1921
8576,1,0,2017,39.9442,-75.2222
8604,1,0,2017,40.0016,-75.1528
8644,1,0,2017,40.0915,-74.9656
8679,1,0,2017,39.9211,-75.2242
8682,1,0,2017,39.9658,-75.1657
8691,1,0,2017,39.9183,-75.2254
8736,1,0,2017,40.113,-75.023
8745,1,0,2017,39.9733,-75.2517
8748,1,0,2017,39.9379,-75.1667
8756,1,0,2017,39.9984,-75.1033
8757,1,0,2017,39.9605,-75.1595
8758,1,0,2017,39.9662,-75.2493
8766,1,0,2017,39.9473,-75.2336
8772,1,0,2017,39.9574,-75.1603
8777,1,0,2017,39.9823,-75.15
8791,1,0,2017,39.9658,-75.2075
8802,1,0,2017,39.9613,-75.2246
8807,1,0,2017,39.946999999999996,-75.1647
8818,1,0,2017,39.9503,-75.1926
8898,1,0,2017,40.0269,-75.1213
8904,1,0,2017,39.917,-75.1517
8911,1,0,2017,39.9852,-75.1137
8914,1,0,2017,39.9402,-75.1979
8920,1,0,2017,39.9606,-75.17
8922,1,0,2017,39.9451,-75.1717
8963,1,0,2017,39.9516,-75.1637
9002,1,0,2017,39.9791,-75.1138
9064,1,0,2017,39.9355,-75.1973
9065,1,0,2017,39.9484,-75.1678
9145,1,0,2017,39.969,-75.2372
9184,1,0,2017,40.0308,-75.068
