,kiosk_id,geometry_coordinates,street_address,zip_code,Launch_Date
78,3102,"[-75.17952, 39.96759]",2601 Pennsylvania Avenue,19130,5/3/2016
79,3104,"[-75.19209, 39.96664]",712 N. 34th Street,19104,5/3/2016
80,3106,"[-75.18637, 39.99179]",2300 N. 33rd Street,19132,5/5/2016
81,3107,"[-75.18866, 39.98203]",1626 N. 33rd Street,19121,5/4/2016
82,3108,"[-75.16551, 39.95316]",1515 Market Street,19102,5/4/2016
83,3110,"[-75.13641, 39.96175]",779 Delaware Ave,19123,5/4/2016
84,3111,"[-75.21323, 39.97779]",4601 Parkside Ave,19104,5/5/2016
85,3112,"[-75.21825, 39.95373]",310 S. 48th Street,19139,5/5/2016
86,3113,"[-75.19781, 39.97472]",1046 N. 34th Street,19104,5/6/2016
87,3114,"[-75.18012, 39.93775]",22nd & Federal St.,19146,5/5/2016
88,3115,"[-75.16757, 39.97263]",1901 W. Girard St..,19130,5/4/2016
89,3116,"[-75.17198, 39.96006]",2025 Benjamin Franklin Pkwy,19122,12/14/2017
90,3117,"[-75.22399, 39.97841]",1575 N 52nd St.,19131,4/15/2016
91,3118,"[-75.21323, 39.95866]",4628 Market Street,19139,4/25/2016
92,3119,"[-75.20799, 39.96674]",4209 Lancaster Avenue,19104,4/25/2016
93,3120,"[-75.18669, 39.97522]",1210 N. 31st Street,19121,4/26/2016
94,3121,"[-75.18022, 39.97414]",2698 W Girard,19130,4/26/2016
95,3123,"[-75.17088, 39.98004]",1637 N. 22nd Street,19121,4/27/2016
96,3124,"[-75.13954, 39.95362]",190 N Christopher Columbus Blvd (approx.),19106,3/31/2016
97,3125,"[-75.16735, 39.94391]",1505 South St. ,19146,4/8/2016
98,3129,"[-75.19507, 39.94727]",East Service Drive,19104,5/24/2016
99,3150,"[-75.17021, 39.92884]",1487 Castle Street,19145,6/7/2017
100,3152,"[-75.20286, 39.94993]","3960 Baltimore Ave,",19104,6/5/2017
101,3153,"[-75.12994, 39.97216]",448 East Thompson Street,19125,6/7/2017
102,3154,"[-75.15821, 39.95924]",403 N. 12th Street,19123,6/7/2017
103,3155,"[-75.15442, 39.94018]",736 S. 7th St.,19147,9/26/2017
104,3156,"[-75.17407, 39.95381]",2005 market street,19103,6/8/2017
105,3157,"[-75.15954, 39.92545]",808 Mifflin St.,19148,6/8/2017
106,3158,"[-75.16904, 39.92552]",1384 McKean Street,19148,
107,3159,"[-75.19962, 39.95121]",3804 spruce street,19104,6/6/2017
108,3160,"[-75.19862, 39.95662]",3810 Market St.,19104,6/6/2017
109,3161,"[-75.18091, 39.95486]",Market & Schuylkill Ave,19104,6/6/2017
110,3162,"[-75.18475, 39.94595]",630 Schuylkill Ave,19146,6/9/2017
111,3163,"[-75.18097, 39.94974]",229 S. 25th Street ,19122,6/9/2017
112,3164,"[-75.16515, 39.92814]",1724 S. 12th St,19122,9/26/2017
113,3165,"[-75.1782, 39.95819]",2317 Race St,19103,9/27/2017
114,3166,"[-75.13445, 39.97235]",1424 Frankford Ave,19122,5/9/2018
115,3167,"[-75.16028, 39.95025]",118 S. 12th St.,19122,1/24/2018
116,3168,"[-75.17394, 39.95134]",129 S. 20th St.,19122,12/13/2017
117,3169,"[-75.14263, 39.95382]",151 Race St,19106,9/27/2017
118,3170,"[-75.18134, 39.94426]",2332 Grays Ferry Ave,19146,6/5/2017
119,3181,"[-75.17514, 39.89629]","Crescent Park, Crescent Drive",19112,6/26/2018
120,3182,"[-75.16953, 39.95081]",17th & Sansom,19112,10/17/2018
121,3183,"[-75.17679, 39.88994]",S. 15th & Kitty Hawk Ave,19112,6/19/2018
122,3184,"[-75.19551, 39.94573]",Health Sciences Drive,19104,11/1/2018
123,3185,"[-75.15888, 39.95169]",11th & Market,19107,
124,3186,"[-75.17168, 39.89307]",12th & Normandy Place,19112,6/19/2018
125,3187,"[-75.17232, 39.95725]",20th & Race,19103,9/25/2018
126,3188,"[-75.1734, 39.90471]",3701 Broad Street,19148,6/19/2018
127,3190,"[-75.16991, 39.94892]",1700 Locust Street,19103,9/14/2018
128,3192,"[-75.14111, 39.96207]",703 N 2nd St.,19125,8/14/2018
129,3195,"[-75.16965, 39.9541]",1780 John F. Kennedy Boulevard,19103,4/6/2019
130,3196,"[-75.17477, 39.98717]",2501 Diamond Street,19121,4/18/2019
131,3197,"[-75.17033, 39.92083]",2301 S Broad St.,19148,5/14/2019
132,3200,"[-75.16846, 39.97583]",2001 Ridge Ave.,19121,6/27/2019
133,3201,"[-75.1662, 39.95523]",107 16th Street,19102,9/10/2019
134,3202,"[-75.16758, 39.95134]",1603 Chestnut St.,19102,8/30/2019
135,3203,"[-75.17227, 39.94077]",1798 Christian St,19146,
136,3206,"[-75.17063, 39.95174]",1805 Chestnut St,19103,8/29/2019
137,3208,"[-75.19324, 39.95048]",3566 Spruce St,19104,
138,3209,"[-75.21278, 39.949]",980 45th St,19104,9/11/2019
139,3210,"[-75.15668, 39.98492]",2108 N Broad St,19121,8/28/2019
