School Year,SRC School ID,School Name,Learning Network,Grade Level,Student Enrollment,ELL Count,ELL Pct,Not ELL Count,Not ELL Pct,IEP Count,IEP Pct,Not IEP Count,Not IEP Pct,Female Count,Female Pct,Male Count,Male Pct,American Indian Count,American Indian Pct,Asian Count,Asian Pct,Black/African American Count,Black/African American Pct,Hispanic Count,Hispanic Pct,Multi-Race Count,Multi-Race Pct,Pacific Islander Count,Pacific Islander Pct,White Count,White Pct,CEP Economically Disadvantaged Rate
2018-2019,821,Joseph H. Brown School,Network 9,03,78,11,14.10,67,85.90,8,10.26,70,89.74,40,51.28,38,48.72,0,0.00,2,2.56,26,33.33,18,23.08,8,10.26,0,0.00,24,30.77,.
2018-2019,821,Joseph H. Brown School,Network 9,04,84,19,22.62,65,77.38,18,21.43,66,78.57,37,44.05,47,55.95,0,0.00,6,7.14,22,26.19,26,30.95,10,11.90,0,0.00,20,23.81,.
2018-2019,821,Joseph H. Brown School,Network 9,05,87,7,8.05,80,91.95,22,25.29,65,74.71,41,47.13,46,52.87,1,1.15,1,1.15,19,21.84,23,26.44,9,10.34,0,0.00,34,39.08,.
2018-2019,821,Joseph H. Brown School,Network 9,06,76,6,7.89,70,92.11,15,19.74,61,80.26,39,51.32,37,48.68,0,0.00,4,5.26,26,34.21,16,21.05,9,11.84,0,0.00,21,27.63,.
2018-2019,821,Joseph H. Brown School,Network 9,All Grades,605,71,11.74,534,88.26,99,16.36,506,83.64,275,45.45,330,54.55,1,0.17,24,3.97,188,31.07,142,23.47,63,10.41,1,0.17,186,30.74,100.00
2018-2019,823,Kennedy C. Crossan School,Network 8,00,59,5,8.47,54,91.53,3,5.08,56,94.92,34,57.63,25,42.37,0,0.00,10,16.95,19,32.20,6,10.17,2,3.39,0,0.00,22,37.29,.
2018-2019,823,Kennedy C. Crossan School,Network 8,01,62,6,9.68,56,90.32,1,1.61,61,98.39,29,46.77,33,53.23,0,0.00,2,3.23,30,48.39,13,20.97,2,3.23,0,0.00,15,24.19,.
2018-2019,823,Kennedy C. Crossan School,Network 8,02,52,8,15.38,44,84.62,5,9.62,47,90.38,24,46.15,28,53.85,0,0.00,6,11.54,11,21.15,11,21.15,7,13.46,0,0.00,17,32.69,.
2018-2019,823,Kennedy C. Crossan School,Network 8,03,45,9,20.00,36,80.00,9,20.00,36,80.00,22,48.89,23,51.11,0,0.00,6,13.33,16,35.56,5,11.11,7,15.56,1,2.22,10,22.22,.
2018-2019,823,Kennedy C. Crossan School,Network 8,04,45,7,15.56,38,84.44,9,20.00,36,80.00,21,46.67,24,53.33,0,0.00,3,6.67,15,33.33,9,20.00,6,13.33,0,0.00,12,26.67,.
