School Year,SRC School ID,School Name,Learning Network,Grade Level,Student Enrollment,ELL Count,ELL Pct,Not ELL Count,Not ELL Pct,IEP Count,IEP Pct,Not IEP Count,Not IEP Pct,Female Count,Female Pct,Male Count,Male Pct,American Indian Count,American Indian Pct,Asian Count,Asian Pct,Black/African American Count,Black/African American Pct,Hispanic Count,Hispanic Pct,Multi-Race Count,Multi-Race Pct,Pacific Islander Count,Pacific Islander Pct,White Count,White Pct,CEP Economically Disadvantaged Rate
2018-2019,101,John Bartram High School,Network 13,09,142,7,4.93,135,95.07,43,30.28,99,69.72,70,49.30,72,50.70,0,0.00,6,4.23,119,83.80,8,5.63,6,4.23,0,0.00,3,2.11,.
2018-2019,101,John Bartram High School,Network 13,10,145,10,6.90,135,93.10,37,25.52,108,74.48,58,40.00,87,60.00,1,0.69,6,4.14,126,86.90,8,5.52,3,2.07,0,0.00,1,0.69,.
2018-2019,101,John Bartram High School,Network 13,11,153,11,7.19,142,92.81,39,25.49,114,74.51,59,38.56,94,61.44,0,0.00,10,6.54,136,88.89,4,2.61,2,1.31,1,0.65,0,0.00,.
2018-2019,101,John Bartram High School,Network 13,12,94,9,9.57,85,90.43,28,29.79,66,70.21,45,47.87,49,52.13,0,0.00,1,1.06,88,93.62,3,3.19,2,2.13,0,0.00,0,0.00,.
2018-2019,101,John Bartram High School,Network 13,All Grades,534,37,6.93,497,93.07,147,27.53,387,72.47,232,43.45,302,56.55,1,0.19,23,4.31,469,87.83,23,4.31,13,2.43,1,0.19,4,0.75,100.00
2018-2019,102,West Philadelphia High School,Acceleration,09,134,2,1.49,132,98.51,53,39.55,81,60.45,46,34.33,88,65.67,0,0.00,0,0.00,120,89.55,6,4.48,7,5.22,0,0.00,1,0.75,.
2018-2019,102,West Philadelphia High School,Acceleration,10,106,1,0.94,105,99.06,35,33.02,71,66.98,42,39.62,64,60.38,0,0.00,1,0.94,98,92.45,0,0.00,5,4.72,0,0.00,2,1.89,.
2018-2019,102,West Philadelphia High School,Acceleration,11,106,2,1.89,104,98.11,33,31.13,73,68.87,46,43.40,60,56.60,1,0.94,0,0.00,100,94.34,1,0.94,3,2.83,0,0.00,1,0.94,.
2018-2019,102,West Philadelphia High School,Acceleration,12,102,1,0.98,101,99.02,35,34.31,67,65.69,50,49.02,52,50.98,1,0.98,1,0.98,100,98.04,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,102,West Philadelphia High School,Acceleration,All Grades,448,6,1.34,442,98.66,156,34.82,292,65.18,184,41.07,264,58.93,2,0.45,2,0.45,418,93.30,7,1.56,15,3.35,0,0.00,4,0.89,100.00
2018-2019,103,High School of the Future,Network 1,09,200,6,3.00,194,97.00,47,23.50,153,76.50,89,44.50,111,55.50,1,0.50,1,0.50,174,87.00,8,4.00,16,8.00,0,0.00,0,0.00,.
2018-2019,103,High School of the Future,Network 1,10,136,2,1.47,134,98.53,33,24.26,103,75.74,64,47.06,72,52.94,0,0.00,1,0.74,128,94.12,1,0.74,6,4.41,0,0.00,0,0.00,.
2018-2019,103,High School of the Future,Network 1,11,119,2,1.68,117,98.32,27,22.69,92,77.31,60,50.42,59,49.58,1,0.84,3,2.52,104,87.39,7,5.88,1,0.84,0,0.00,3,2.52,.
2018-2019,103,High School of the Future,Network 1,12,96,2,2.08,94,97.92,25,26.04,71,73.96,38,39.58,58,60.42,0,0.00,0,0.00,88,91.67,4,4.17,0,0.00,0,0.00,4,4.17,.
2018-2019,103,High School of the Future,Network 1,All Grades,551,12,2.18,539,97.82,132,23.96,419,76.04,251,45.55,300,54.45,2,0.36,5,0.91,494,89.66,20,3.63,23,4.17,0,0.00,7,1.27,100.00
2018-2019,105,Paul Robeson High School for Human Services,Network 1,09,75,3,4.00,72,96.00,16,21.33,59,78.67,45,60.00,30,40.00,0,0.00,0,0.00,68,90.67,0,0.00,7,9.33,0,0.00,0,0.00,.
2018-2019,105,Paul Robeson High School for Human Services,Network 1,10,77,2,2.60,75,97.40,11,14.29,66,85.71,40,51.95,37,48.05,0,0.00,2,2.60,74,96.10,0,0.00,1,1.30,0,0.00,0,0.00,.
2018-2019,105,Paul Robeson High School for Human Services,Network 1,11,75,3,4.00,72,96.00,15,20.00,60,80.00,47,62.67,28,37.33,0,0.00,1,1.33,72,96.00,2,2.67,0,0.00,0,0.00,0,0.00,.
2018-2019,105,Paul Robeson High School for Human Services,Network 1,12,80,1,1.25,79,98.75,9,11.25,71,88.75,48,60.00,32,40.00,0,0.00,0,0.00,76,95.00,2,2.50,2,2.50,0,0.00,0,0.00,.
2018-2019,105,Paul Robeson High School for Human Services,Network 1,All Grades,307,9,2.93,298,97.07,51,16.61,256,83.39,180,58.63,127,41.37,0,0.00,3,0.98,290,94.46,4,1.30,10,3.26,0,0.00,0,0.00,100.00
2018-2019,110,William L. Sayre High School,Network 13,09,113,1,0.88,112,99.12,47,41.59,66,58.41,41,36.28,72,63.72,0,0.00,1,0.88,98,86.73,3,2.65,10,8.85,0,0.00,1,0.88,.
2018-2019,110,William L. Sayre High School,Network 13,10,110,1,0.91,109,99.09,50,45.45,60,54.55,47,42.73,63,57.27,0,0.00,0,0.00,104,94.55,2,1.82,4,3.64,0,0.00,0,0.00,.
2018-2019,110,William L. Sayre High School,Network 13,11,102,0,0.00,102,100.00,37,36.27,65,63.73,43,42.16,59,57.84,0,0.00,0,0.00,100,98.04,1,0.98,1,0.98,0,0.00,0,0.00,.
2018-2019,110,William L. Sayre High School,Network 13,12,87,1,1.15,86,98.85,35,40.23,52,59.77,34,39.08,53,60.92,0,0.00,1,1.15,81,93.10,2,2.30,1,1.15,0,0.00,2,2.30,.
2018-2019,110,William L. Sayre High School,Network 13,All Grades,412,3,0.73,409,99.27,169,41.02,243,58.98,165,40.05,247,59.95,0,0.00,2,0.49,383,92.96,8,1.94,16,3.88,0,0.00,3,0.73,100.00
2018-2019,113,William T. Tilden School,Network 10,05,41,9,21.95,32,78.05,6,14.63,35,85.37,17,41.46,24,58.54,1,2.44,3,7.32,31,75.61,4,9.76,2,4.88,0,0.00,0,0.00,.
2018-2019,113,William T. Tilden School,Network 10,06,113,17,15.04,96,84.96,20,17.70,93,82.30,52,46.02,61,53.98,0,0.00,3,2.65,94,83.19,7,6.19,7,6.19,0,0.00,2,1.77,.
2018-2019,113,William T. Tilden School,Network 10,07,116,27,23.28,89,76.72,26,22.41,90,77.59,49,42.24,67,57.76,0,0.00,5,4.31,95,81.90,12,10.34,2,1.72,0,0.00,2,1.72,.
2018-2019,113,William T. Tilden School,Network 10,08,90,9,10.00,81,90.00,27,30.00,63,70.00,37,41.11,53,58.89,0,0.00,12,13.33,67,74.44,4,4.44,7,7.78,0,0.00,0,0.00,.
2018-2019,113,William T. Tilden School,Network 10,All Grades,360,62,17.22,298,82.78,79,21.94,281,78.06,155,43.06,205,56.94,1,0.28,23,6.39,287,79.72,27,7.50,18,5.00,0,0.00,4,1.11,100.00
2018-2019,119,Motivation High School,Network 1,09,103,14,13.59,89,86.41,7,6.80,96,93.20,55,53.40,48,46.60,1,0.97,1,0.97,94,91.26,3,2.91,2,1.94,0,0.00,2,1.94,.
2018-2019,119,Motivation High School,Network 1,10,105,8,7.62,97,92.38,17,16.19,88,83.81,63,60.00,42,40.00,0,0.00,5,4.76,96,91.43,0,0.00,4,3.81,0,0.00,0,0.00,.
2018-2019,119,Motivation High School,Network 1,11,110,17,15.45,93,84.55,15,13.64,95,86.36,55,50.00,55,50.00,0,0.00,3,2.73,103,93.64,4,3.64,0,0.00,0,0.00,0,0.00,.
2018-2019,119,Motivation High School,Network 1,12,83,8,9.64,75,90.36,8,9.64,75,90.36,44,53.01,39,46.99,0,0.00,6,7.23,75,90.36,0,0.00,2,2.41,0,0.00,0,0.00,.
2018-2019,119,Motivation High School,Network 1,All Grades,401,47,11.72,354,88.28,47,11.72,354,88.28,217,54.11,184,45.89,1,0.25,15,3.74,368,91.77,7,1.75,8,2.00,0,0.00,2,0.50,100.00
2018-2019,120,John Barry School,Acceleration,00,87,0,0.00,87,100.00,4,4.60,83,95.40,40,45.98,47,54.02,0,0.00,0,0.00,86,98.85,0,0.00,1,1.15,0,0.00,0,0.00,.
2018-2019,120,John Barry School,Acceleration,01,82,0,0.00,82,100.00,9,10.98,73,89.02,36,43.90,46,56.10,0,0.00,0,0.00,77,93.90,0,0.00,1,1.22,0,0.00,4,4.88,.
2018-2019,120,John Barry School,Acceleration,02,83,0,0.00,83,100.00,10,12.05,73,87.95,47,56.63,36,43.37,0,0.00,0,0.00,82,98.80,0,0.00,0,0.00,0,0.00,1,1.20,.
2018-2019,120,John Barry School,Acceleration,03,77,0,0.00,77,100.00,13,16.88,64,83.12,37,48.05,40,51.95,0,0.00,1,1.30,73,94.81,2,2.60,1,1.30,0,0.00,0,0.00,.
2018-2019,120,John Barry School,Acceleration,04,74,0,0.00,74,100.00,11,14.86,63,85.14,44,59.46,30,40.54,0,0.00,0,0.00,73,98.65,0,0.00,1,1.35,0,0.00,0,0.00,.
2018-2019,120,John Barry School,Acceleration,05,61,1,1.64,60,98.36,8,13.11,53,86.89,35,57.38,26,42.62,0,0.00,0,0.00,59,96.72,0,0.00,2,3.28,0,0.00,0,0.00,.
2018-2019,120,John Barry School,Acceleration,06,69,0,0.00,69,100.00,7,10.14,62,89.86,40,57.97,29,42.03,0,0.00,0,0.00,66,95.65,2,2.90,1,1.45,0,0.00,0,0.00,.
2018-2019,120,John Barry School,Acceleration,07,55,0,0.00,55,100.00,10,18.18,45,81.82,27,49.09,28,50.91,0,0.00,0,0.00,51,92.73,0,0.00,4,7.27,0,0.00,0,0.00,.
2018-2019,120,John Barry School,Acceleration,08,66,0,0.00,66,100.00,13,19.70,53,80.30,31,46.97,35,53.03,0,0.00,0,0.00,60,90.91,1,1.52,5,7.58,0,0.00,0,0.00,.
2018-2019,120,John Barry School,Acceleration,All Grades,654,1,0.15,653,99.85,85,13.00,569,87.00,337,51.53,317,48.47,0,0.00,1,0.15,627,95.87,5,0.76,16,2.45,0,0.00,5,0.76,100.00
2018-2019,123,William C. Bryant School,Acceleration,00,56,0,0.00,56,100.00,1,1.79,55,98.21,26,46.43,30,53.57,0,0.00,1,1.79,55,98.21,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,123,William C. Bryant School,Acceleration,01,64,0,0.00,64,100.00,4,6.25,60,93.75,35,54.69,29,45.31,0,0.00,0,0.00,64,100.00,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,123,William C. Bryant School,Acceleration,02,62,0,0.00,62,100.00,6,9.68,56,90.32,28,45.16,34,54.84,0,0.00,0,0.00,61,98.39,0,0.00,1,1.61,0,0.00,0,0.00,.
2018-2019,123,William C. Bryant School,Acceleration,03,48,0,0.00,48,100.00,5,10.42,43,89.58,28,58.33,20,41.67,0,0.00,0,0.00,45,93.75,1,2.08,1,2.08,0,0.00,1,2.08,.
2018-2019,123,William C. Bryant School,Acceleration,04,56,0,0.00,56,100.00,6,10.71,50,89.29,33,58.93,23,41.07,2,3.57,0,0.00,53,94.64,0,0.00,0,0.00,0,0.00,1,1.79,.
2018-2019,123,William C. Bryant School,Acceleration,05,44,0,0.00,44,100.00,4,9.09,40,90.91,19,43.18,25,56.82,0,0.00,0,0.00,42,95.45,0,0.00,0,0.00,0,0.00,2,4.55,.
2018-2019,123,William C. Bryant School,Acceleration,06,47,2,4.26,45,95.74,7,14.89,40,85.11,30,63.83,17,36.17,0,0.00,0,0.00,43,91.49,1,2.13,3,6.38,0,0.00,0,0.00,.
2018-2019,123,William C. Bryant School,Acceleration,07,29,0,0.00,29,100.00,6,20.69,23,79.31,14,48.28,15,51.72,0,0.00,0,0.00,27,93.10,0,0.00,1,3.45,0,0.00,1,3.45,.
2018-2019,123,William C. Bryant School,Acceleration,08,34,0,0.00,34,100.00,11,32.35,23,67.65,14,41.18,20,58.82,0,0.00,0,0.00,34,100.00,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,123,William C. Bryant School,Acceleration,All Grades,440,2,0.45,438,99.55,50,11.36,390,88.64,227,51.59,213,48.41,2,0.45,1,0.23,424,96.36,2,0.45,6,1.36,0,0.00,5,1.14,100.00
2018-2019,125,Joseph W. Catharine School,Network 12,00,79,9,11.39,70,88.61,9,11.39,70,88.61,41,51.90,38,48.10,0,0.00,5,6.33,57,72.15,8,10.13,8,10.13,0,0.00,1,1.27,.
2018-2019,125,Joseph W. Catharine School,Network 12,01,77,11,14.29,66,85.71,5,6.49,72,93.51,36,46.75,41,53.25,0,0.00,5,6.49,60,77.92,6,7.79,5,6.49,0,0.00,1,1.30,.
2018-2019,125,Joseph W. Catharine School,Network 12,02,67,6,8.96,61,91.04,12,17.91,55,82.09,34,50.75,33,49.25,0,0.00,2,2.99,55,82.09,7,10.45,1,1.49,0,0.00,2,2.99,.
2018-2019,125,Joseph W. Catharine School,Network 12,03,92,12,13.04,80,86.96,23,25.00,69,75.00,44,47.83,48,52.17,0,0.00,6,6.52,68,73.91,5,5.43,12,13.04,0,0.00,1,1.09,.
2018-2019,125,Joseph W. Catharine School,Network 12,04,73,19,26.03,54,73.97,10,13.70,63,86.30,31,42.47,42,57.53,0,0.00,9,12.33,53,72.60,7,9.59,4,5.48,0,0.00,0,0.00,.
2018-2019,125,Joseph W. Catharine School,Network 12,05,72,10,13.89,62,86.11,9,12.50,63,87.50,38,52.78,34,47.22,0,0.00,10,13.89,55,76.39,2,2.78,4,5.56,0,0.00,1,1.39,.
2018-2019,125,Joseph W. Catharine School,Network 12,All Grades,460,67,14.57,393,85.43,68,14.78,392,85.22,224,48.70,236,51.30,0,0.00,37,8.04,348,75.65,35,7.61,34,7.39,0,0.00,6,1.30,100.00
2018-2019,126,Benjamin B. Comegys School,Network 10,00,58,0,0.00,58,100.00,3,5.17,55,94.83,25,43.10,33,56.90,0,0.00,0,0.00,54,93.10,3,5.17,1,1.72,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,01,52,2,3.85,50,96.15,1,1.92,51,98.08,24,46.15,28,53.85,1,1.92,0,0.00,48,92.31,3,5.77,0,0.00,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,02,66,3,4.55,63,95.45,7,10.61,59,89.39,29,43.94,37,56.06,0,0.00,0,0.00,63,95.45,2,3.03,1,1.52,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,03,60,1,1.67,59,98.33,7,11.67,53,88.33,29,48.33,31,51.67,0,0.00,0,0.00,54,90.00,2,3.33,3,5.00,0,0.00,1,1.67,.
2018-2019,126,Benjamin B. Comegys School,Network 10,04,46,0,0.00,46,100.00,7,15.22,39,84.78,28,60.87,18,39.13,0,0.00,0,0.00,44,95.65,1,2.17,1,2.17,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,05,61,0,0.00,61,100.00,6,9.84,55,90.16,35,57.38,26,42.62,0,0.00,0,0.00,58,95.08,2,3.28,1,1.64,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,06,45,1,2.22,44,97.78,5,11.11,40,88.89,19,42.22,26,57.78,0,0.00,0,0.00,41,91.11,3,6.67,1,2.22,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,07,49,1,2.04,48,97.96,9,18.37,40,81.63,17,34.69,32,65.31,0,0.00,0,0.00,48,97.96,1,2.04,0,0.00,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,08,48,0,0.00,48,100.00,5,10.42,43,89.58,20,41.67,28,58.33,0,0.00,0,0.00,45,93.75,0,0.00,3,6.25,0,0.00,0,0.00,.
2018-2019,126,Benjamin B. Comegys School,Network 10,All Grades,485,8,1.65,477,98.35,50,10.31,435,89.69,226,46.60,259,53.40,1,0.21,0,0.00,455,93.81,17,3.51,11,2.27,0,0.00,1,0.21,100.00
2018-2019,128,Sadie Alexander School,Network 2,00,80,5,6.25,75,93.75,6,7.50,74,92.50,43,53.75,37,46.25,0,0.00,16,20.00,12,15.00,1,1.25,9,11.25,0,0.00,42,52.50,.
2018-2019,128,Sadie Alexander School,Network 2,01,77,8,10.39,69,89.61,3,3.90,74,96.10,40,51.95,37,48.05,0,0.00,29,37.66,14,18.18,1,1.30,4,5.19,1,1.30,28,36.36,.
2018-2019,128,Sadie Alexander School,Network 2,02,72,13,18.06,59,81.94,2,2.78,70,97.22,30,41.67,42,58.33,0,0.00,16,22.22,11,15.28,4,5.56,8,11.11,0,0.00,33,45.83,.
2018-2019,128,Sadie Alexander School,Network 2,03,72,9,12.50,63,87.50,6,8.33,66,91.67,33,45.83,39,54.17,0,0.00,13,18.06,17,23.61,4,5.56,9,12.50,0,0.00,29,40.28,.
2018-2019,128,Sadie Alexander School,Network 2,04,72,10,13.89,62,86.11,7,9.72,65,90.28,35,48.61,37,51.39,0,0.00,15,20.83,15,20.83,5,6.94,11,15.28,1,1.39,25,34.72,.
2018-2019,128,Sadie Alexander School,Network 2,05,56,4,7.14,52,92.86,2,3.57,54,96.43,26,46.43,30,53.57,0,0.00,8,14.29,10,17.86,2,3.57,10,17.86,0,0.00,26,46.43,.
2018-2019,128,Sadie Alexander School,Network 2,06,53,2,3.77,51,96.23,5,9.43,48,90.57,30,56.60,23,43.40,0,0.00,3,5.66,16,30.19,3,5.66,7,13.21,0,0.00,24,45.28,.
2018-2019,128,Sadie Alexander School,Network 2,07,48,6,12.50,42,87.50,4,8.33,44,91.67,21,43.75,27,56.25,0,0.00,7,14.58,11,22.92,4,8.33,4,8.33,0,0.00,22,45.83,.
2018-2019,128,Sadie Alexander School,Network 2,08,46,6,13.04,40,86.96,3,6.52,43,93.48,19,41.30,27,58.70,0,0.00,12,26.09,9,19.57,2,4.35,4,8.70,0,0.00,19,41.30,.
2018-2019,128,Sadie Alexander School,Network 2,All Grades,576,63,10.94,513,89.06,38,6.60,538,93.40,277,48.09,299,51.91,0,0.00,119,20.66,115,19.97,26,4.51,66,11.46,2,0.35,248,43.06,44.44
2018-2019,129,Andrew Hamilton School,Network 2,00,35,1,2.86,34,97.14,1,2.86,34,97.14,16,45.71,19,54.29,0,0.00,0,0.00,35,100.00,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,129,Andrew Hamilton School,Network 2,01,48,0,0.00,48,100.00,6,12.50,42,87.50,23,47.92,25,52.08,0,0.00,0,0.00,47,97.92,1,2.08,0,0.00,0,0.00,0,0.00,.
2018-2019,129,Andrew Hamilton School,Network 2,02,53,1,1.89,52,98.11,3,5.66,50,94.34,18,33.96,35,66.04,0,0.00,0,0.00,52,98.11,0,0.00,1,1.89,0,0.00,0,0.00,.
2018-2019,129,Andrew Hamilton School,Network 2,03,55,1,1.82,54,98.18,5,9.09,50,90.91,24,43.64,31,56.36,0,0.00,0,0.00,50,90.91,1,1.82,4,7.27,0,0.00,0,0.00,.
2018-2019,129,Andrew Hamilton School,Network 2,04,61,0,0.00,61,100.00,11,18.03,50,81.97,28,45.90,33,54.10,0,0.00,0,0.00,57,93.44,1,1.64,3,4.92,0,0.00,0,0.00,.
2018-2019,129,Andrew Hamilton School,Network 2,05,54,1,1.85,53,98.15,9,16.67,45,83.33,24,44.44,30,55.56,1,1.85,1,1.85,48,88.89,2,3.70,1,1.85,0,0.00,1,1.85,.
2018-2019,129,Andrew Hamilton School,Network 2,06,68,2,2.94,66,97.06,22,32.35,46,67.65,29,42.65,39,57.35,0,0.00,1,1.47,57,83.82,2,2.94,6,8.82,0,0.00,2,2.94,.
2018-2019,129,Andrew Hamilton School,Network 2,07,68,0,0.00,68,100.00,28,41.18,40,58.82,36,52.94,32,47.06,0,0.00,0,0.00,58,85.29,1,1.47,9,13.24,0,0.00,0,0.00,.
2018-2019,129,Andrew Hamilton School,Network 2,08,57,0,0.00,57,100.00,20,35.09,37,64.91,23,40.35,34,59.65,0,0.00,0,0.00,49,85.96,0,0.00,7,12.28,1,1.75,0,0.00,.
2018-2019,129,Andrew Hamilton School,Network 2,All Grades,499,6,1.20,493,98.80,105,21.04,394,78.96,221,44.29,278,55.71,1,0.20,2,0.40,453,90.78,8,1.60,31,6.21,1,0.20,3,0.60,100.00
2018-2019,130,Avery D. Harrington School,Network 2,00,49,0,0.00,49,100.00,1,2.04,48,97.96,23,46.94,26,53.06,0,0.00,1,2.04,48,97.96,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,130,Avery D. Harrington School,Network 2,01,69,0,0.00,69,100.00,3,4.35,66,95.65,30,43.48,39,56.52,0,0.00,0,0.00,61,88.41,2,2.90,0,0.00,0,0.00,6,8.70,.
2018-2019,130,Avery D. Harrington School,Network 2,02,60,0,0.00,60,100.00,9,15.00,51,85.00,27,45.00,33,55.00,0,0.00,0,0.00,57,95.00,2,3.33,1,1.67,0,0.00,0,0.00,.
2018-2019,130,Avery D. Harrington School,Network 2,03,61,1,1.64,60,98.36,14,22.95,47,77.05,23,37.70,38,62.30,0,0.00,0,0.00,56,91.80,2,3.28,3,4.92,0,0.00,0,0.00,.
2018-2019,130,Avery D. Harrington School,Network 2,04,57,0,0.00,57,100.00,13,22.81,44,77.19,27,47.37,30,52.63,0,0.00,0,0.00,54,94.74,1,1.75,2,3.51,0,0.00,0,0.00,.
2018-2019,130,Avery D. Harrington School,Network 2,05,55,1,1.82,54,98.18,9,16.36,46,83.64,29,52.73,26,47.27,0,0.00,0,0.00,52,94.55,1,1.82,1,1.82,0,0.00,1,1.82,.
2018-2019,130,Avery D. Harrington School,Network 2,06,40,0,0.00,40,100.00,12,30.00,28,70.00,22,55.00,18,45.00,0,0.00,0,0.00,37,92.50,0,0.00,2,5.00,0,0.00,1,2.50,.
2018-2019,130,Avery D. Harrington School,Network 2,07,38,0,0.00,38,100.00,17,44.74,21,55.26,13,34.21,25,65.79,0,0.00,0,0.00,32,84.21,0,0.00,5,13.16,0,0.00,1,2.63,.
2018-2019,130,Avery D. Harrington School,Network 2,08,48,1,2.08,47,97.92,9,18.75,39,81.25,29,60.42,19,39.58,0,0.00,0,0.00,46,95.83,2,4.17,0,0.00,0,0.00,0,0.00,.
2018-2019,130,Avery D. Harrington School,Network 2,All Grades,477,3,0.63,474,99.37,87,18.24,390,81.76,223,46.75,254,53.25,0,0.00,1,0.21,443,92.87,10,2.10,14,2.94,0,0.00,9,1.89,100.00
2018-2019,134,Henry C. Lea School,Network 2,00,68,5,7.35,63,92.65,3,4.41,65,95.59,35,51.47,33,48.53,0,0.00,10,14.71,37,54.41,1,1.47,5,7.35,0,0.00,15,22.06,.
2018-2019,134,Henry C. Lea School,Network 2,01,78,11,14.10,67,85.90,7,8.97,71,91.03,36,46.15,42,53.85,0,0.00,2,2.56,51,65.38,5,6.41,1,1.28,0,0.00,19,24.36,.
2018-2019,134,Henry C. Lea School,Network 2,02,43,2,4.65,41,95.35,12,27.91,31,72.09,19,44.19,24,55.81,0,0.00,3,6.98,32,74.42,1,2.33,3,6.98,0,0.00,4,9.30,.
2018-2019,134,Henry C. Lea School,Network 2,03,64,8,12.50,56,87.50,9,14.06,55,85.94,24,37.50,40,62.50,0,0.00,7,10.94,48,75.00,1,1.56,4,6.25,0,0.00,4,6.25,.
2018-2019,134,Henry C. Lea School,Network 2,04,48,8,16.67,40,83.33,7,14.58,41,85.42,19,39.58,29,60.42,0,0.00,4,8.33,35,72.92,2,4.17,4,8.33,0,0.00,3,6.25,.
2018-2019,134,Henry C. Lea School,Network 2,05,61,11,18.03,50,81.97,6,9.84,55,90.16,28,45.90,33,54.10,1,1.64,7,11.48,49,80.33,0,0.00,1,1.64,0,0.00,3,4.92,.
2018-2019,134,Henry C. Lea School,Network 2,06,63,9,14.29,54,85.71,15,23.81,48,76.19,20,31.75,43,68.25,1,1.59,8,12.70,47,74.60,2,3.17,5,7.94,0,0.00,0,0.00,.
2018-2019,134,Henry C. Lea School,Network 2,07,52,9,17.31,43,82.69,7,13.46,45,86.54,29,55.77,23,44.23,0,0.00,4,7.69,41,78.85,5,9.62,2,3.85,0,0.00,0,0.00,.
2018-2019,134,Henry C. Lea School,Network 2,08,48,8,16.67,40,83.33,14,29.17,34,70.83,17,35.42,31,64.58,0,0.00,3,6.25,36,75.00,2,4.17,6,12.50,0,0.00,1,2.08,.
2018-2019,134,Henry C. Lea School,Network 2,All Grades,525,71,13.52,454,86.48,80,15.24,445,84.76,227,43.24,298,56.76,2,0.38,48,9.14,376,71.62,19,3.62,31,5.90,0,0.00,49,9.33,100.00
2018-2019,135,William C. Longstreth School,Network 12,00,56,0,0.00,56,100.00,4,7.14,52,92.86,29,51.79,27,48.21,0,0.00,0,0.00,49,87.50,1,1.79,6,10.71,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,01,53,1,1.89,52,98.11,2,3.77,51,96.23,28,52.83,25,47.17,0,0.00,0,0.00,51,96.23,2,3.77,0,0.00,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,02,29,0,0.00,29,100.00,4,13.79,25,86.21,10,34.48,19,65.52,0,0.00,0,0.00,29,100.00,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,03,44,2,4.55,42,95.45,5,11.36,39,88.64,17,38.64,27,61.36,0,0.00,0,0.00,41,93.18,0,0.00,3,6.82,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,04,39,1,2.56,38,97.44,5,12.82,34,87.18,21,53.85,18,46.15,0,0.00,0,0.00,39,100.00,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,05,38,1,2.63,37,97.37,2,5.26,36,94.74,17,44.74,21,55.26,0,0.00,0,0.00,36,94.74,1,2.63,1,2.63,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,06,43,3,6.98,40,93.02,9,20.93,34,79.07,19,44.19,24,55.81,0,0.00,0,0.00,42,97.67,0,0.00,1,2.33,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,07,40,2,5.00,38,95.00,9,22.50,31,77.50,17,42.50,23,57.50,0,0.00,0,0.00,37,92.50,1,2.50,2,5.00,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,08,48,0,0.00,48,100.00,9,18.75,39,81.25,26,54.17,22,45.83,0,0.00,1,2.08,46,95.83,1,2.08,0,0.00,0,0.00,0,0.00,.
2018-2019,135,William C. Longstreth School,Network 12,All Grades,390,10,2.56,380,97.44,49,12.56,341,87.44,184,47.18,206,52.82,0,0.00,1,0.26,370,94.87,6,1.54,13,3.33,0,0.00,0,0.00,100.00
2018-2019,136,Morton McMichael School,Acceleration,00,41,0,0.00,41,100.00,3,7.32,38,92.68,17,41.46,24,58.54,0,0.00,0,0.00,41,100.00,0,0.00,0,0.00,0,0.00,0,0.00,.
2018-2019,136,Morton McMichael School,Acceleration,01,38,0,0.00,38,100.00,4,10.53,34,89.47,13,34.21,25,65.79,0,0.00,0,0.00,36,94.74,0,0.00,0,0.00,0,0.00,2,5.26,.
2018-2019,136,Morton McMichael School,Acceleration,02,43,0,0.00,43,100.00,11,25.58,32,74.42,24,55.81,19,44.19,0,0.00,0,0.00,41,95.35,1,2.33,1,2.33,0,0.00,0,0.00,.
2018-2019,136,Morton McMichael School,Acceleration,03,41,0,0.00,41,100.00,10,24.39,31,75.61,21,51.22,20,48.78,0,0.00,0,0.00,39,95.12,0,0.00,2,4.88,0,0.00,0,0.00,.
2018-2019,136,Morton McMichael School,Acceleration,04,40,0,0.00,40,100.00,8,20.00,32,80.00,16,40.00,24,60.00,0,0.00,0,0.00,38,95.00,0,0.00,0,0.00,1,2.50,1,2.50,.
